考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,0,5,0,0,5,0,5,5,6,6,6,43,,43,"Q2,Q4,Q5,Q7"
100002,日代千鹤,0,0,0,0,5,0,5,0,0,0,0,0,10,,10,"Q1,Q2,Q3,Q4,Q6,Q8,Q9,Q10,Q11,Q12"
100003,高坂京介,5,5,5,0,0,5,0,0,5,6,0,6,37,,37,"Q4,Q5,Q7,Q8,Q11"
100004,高坂桐乃,0,0,5,0,0,0,0,0,0,6,0,0,11,,11,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q12"
100005,逢坂大河,0,0,5,5,5,0,0,5,5,6,3,0,34,,34,"Q1,Q2,Q6,Q7,Q12"
100006,牧之原翔子,5,5,5,5,5,5,5,5,0,0,0,6,46,,46,"Q9,Q10,Q11"
100007,折木奉太郎,5,5,0,5,5,5,5,5,5,4,6,0,50,,50,"Q3,Q12"
100008,千反田爱瑠,0,0,0,0,5,0,0,0,0,0,2,0,7,,7,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q12"
100009,福部里志,0,5,0,5,0,5,5,5,0,6,0,0,31,,31,"Q1,Q3,Q5,Q9,Q11,Q12"
100010,伊原摩耶花,0,0,0,0,0,5,0,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12"
100011,凉宫春日,5,5,0,0,0,0,0,5,5,0,0,0,20,,20,"Q3,Q4,Q5,Q6,Q7,Q10,Q11,Q12"
100012,长门有希,0,0,0,5,5,5,5,0,5,0,6,0,31,,31,"Q1,Q2,Q3,Q8,Q10,Q12"
100013,朝比奈实玖瑠,0,0,0,5,0,0,0,0,0,3,0,0,8,,8,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q11,Q12"
100014,古泉一树,0,5,0,5,5,0,5,0,0,0,6,0,26,,26,"Q1,Q3,Q6,Q8,Q9,Q10,Q12"
100015,佐佐木,0,0,5,5,0,5,5,5,5,0,0,6,36,,36,"Q1,Q2,Q5,Q10,Q11"
100016,小鸟游六花,5,0,5,0,5,0,5,0,5,6,6,0,37,,37,"Q2,Q4,Q6,Q8,Q12"
100017,富樫勇太,0,5,5,0,0,0,5,0,5,0,6,6,32,,32,"Q1,Q4,Q5,Q6,Q8,Q10"
100018,丹生谷森夏,5,5,5,5,5,0,5,5,0,6,2,6,49,,49,"Q6,Q9"
100019,凸守早苗,0,5,5,5,0,5,5,5,5,0,6,3,44,,44,"Q1,Q5,Q10"
100020,七宫智音,0,0,0,0,5,0,0,0,0,0,6,0,11,,11,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q12"
100021,神田空太,5,5,5,5,5,5,0,0,0,6,0,6,42,,42,"Q7,Q8,Q9,Q11"
100022,椎名真白,5,5,5,5,0,5,5,5,5,3,6,6,55,,55,Q5
100023,青山七海,5,0,0,0,0,0,5,5,5,3,0,0,23,,23,"Q2,Q3,Q4,Q5,Q6,Q11,Q12"
100024,上井草美咲,0,0,0,5,0,5,0,0,5,0,0,6,21,,21,"Q1,Q2,Q3,Q5,Q7,Q8,Q10,Q11"
100025,三鹰仁,5,5,5,5,5,5,5,5,5,6,6,5,62,,62,
100026,赤坂龙之介,0,0,5,0,5,5,0,5,0,0,6,6,32,,32,"Q1,Q2,Q4,Q7,Q9,Q10"
100027,绫小路清隆,0,5,5,5,0,5,5,5,5,6,6,0,47,,47,"Q1,Q5,Q12"
100028,堀北铃音,5,5,0,5,5,5,5,5,5,6,6,6,58,,58,Q3
100029,栉田桔梗,5,5,0,0,5,5,0,5,5,3,4,0,37,,37,"Q3,Q4,Q7,Q12"
100030,轻井泽惠,0,5,5,0,5,5,5,5,0,6,0,0,36,,36,"Q1,Q4,Q9,Q11,Q12"
100031,一之濑帆波,5,5,5,5,5,5,5,5,5,0,2,6,53,,53,Q10
100032,坂柳有栖,5,0,5,5,5,5,5,5,5,6,6,6,58,,58,Q2
100033,龙园翔,5,5,5,5,0,0,0,5,5,6,3,6,45,,45,"Q5,Q6,Q7"
100034,比企谷八幡,5,5,5,5,5,5,5,5,5,6,6,0,57,,57,Q12
100035,雪之下雪乃,5,5,0,5,0,0,0,5,5,6,6,2,39,,39,"Q3,Q5,Q6,Q7"
100036,由比滨结衣,0,5,5,0,5,0,5,5,0,4,0,6,35,,35,"Q1,Q4,Q6,Q9,Q11"
100037,一色彩羽,5,5,5,5,5,5,0,5,5,6,6,6,58,,58,Q7
100038,户冢彩加,0,5,5,5,5,5,5,5,0,3,0,6,44,,44,"Q1,Q9,Q11"
100039,平泽唯,5,5,5,5,5,5,5,5,5,6,6,5,62,,62,
100040,秋山澪,5,5,0,5,0,0,0,0,0,0,6,6,27,,27,"Q3,Q5,Q6,Q7,Q8,Q9,Q10"
