考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,0,5,5,5,5,5,0,0,0,6,31,,31,"Q1,Q7,Q8,Q9"
100102,影山飞雄,0,5,5,5,5,0,0,0,0,0,20,,20,"Q1,Q6,Q7,Q8,Q9,Q10"
100103,黑子哲也,0,5,5,0,0,5,5,0,0,0,20,,20,"Q1,Q4,Q5,Q8,Q9,Q10"
100104,越前龙马,0,5,5,5,0,0,5,0,0,6,26,,26,"Q1,Q5,Q6,Q8,Q9"
100105,洁世一,0,5,5,0,0,0,0,0,4,0,14,,14,"Q1,Q4,Q5,Q6,Q7,Q8,Q10"
100106,星野裕,5,5,0,5,5,5,5,6,0,0,36,,36,"Q3,Q9,Q10"
100107,月本诚,5,0,0,0,5,0,0,0,6,0,16,,16,"Q2,Q3,Q4,Q6,Q7,Q8,Q10"
100108,风间龙一,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100109,佐久间学,0,5,0,5,0,0,0,0,0,0,10,,10,"Q1,Q3,Q5,Q6,Q7,Q8,Q9,Q10"
100110,矢口八虎,0,5,0,5,5,5,5,0,4,0,29,,29,"Q1,Q3,Q8,Q10"
100111,高桥世田介,5,5,5,5,5,5,5,0,0,6,41,,41,"Q8,Q9"
100112,桥田悠,5,0,5,5,0,5,5,0,0,0,25,,25,"Q2,Q5,Q8,Q9,Q10"
100113,桑名真希,0,0,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10"
100114,进藤光,0,0,5,0,0,0,0,3,3,0,11,,11,"Q1,Q2,Q4,Q5,Q6,Q7,Q10"
100115,塔矢亮,0,0,0,5,0,5,0,0,6,0,16,,16,"Q1,Q2,Q3,Q5,Q7,Q8,Q10"
100116,藤原佐为,5,5,0,0,5,0,0,0,0,6,21,,21,"Q3,Q4,Q6,Q7,Q8,Q9"
100117,和谷义高,0,5,5,5,0,0,0,6,6,6,33,,33,"Q1,Q5,Q6,Q7"
100118,竹本祐太,5,5,5,5,0,5,5,6,2,0,38,,38,"Q5,Q10"
100119,森田忍,5,5,5,0,0,5,5,6,2,0,33,,33,"Q4,Q5,Q10"
100120,真山巧,5,5,0,5,0,5,0,0,6,6,32,,32,"Q3,Q5,Q7,Q8"
100121,山田亚弓,5,5,5,0,5,5,5,6,0,0,36,,36,"Q4,Q9,Q10"
100122,花本育,0,0,0,5,0,5,0,6,0,0,16,,16,"Q1,Q2,Q3,Q5,Q7,Q9,Q10"
100123,野田惠,0,5,5,0,5,0,0,3,0,0,18,,18,"Q1,Q4,Q6,Q7,Q9,Q10"
100124,千秋真一,5,5,5,5,5,5,5,6,0,2,43,,43,Q9
100125,奥山真澄,0,5,0,5,0,0,0,0,0,0,10,,10,"Q1,Q3,Q5,Q6,Q7,Q8,Q9,Q10"
100126,峰龙太郎,5,0,0,0,5,0,0,0,6,6,22,,22,"Q2,Q3,Q4,Q6,Q7,Q8"
100127,日野香穗子,5,5,5,5,5,5,5,6,6,0,47,,47,Q10
100128,月森莲,0,5,0,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100129,土浦梁太郎,5,5,5,0,5,5,0,6,0,6,37,,37,"Q4,Q7,Q9"
100130,志水桂一,0,0,5,0,5,5,0,0,0,6,21,,21,"Q1,Q2,Q4,Q7,Q8,Q9"
100131,泷岛彗,5,5,5,0,5,5,5,0,3,6,39,,39,"Q4,Q8"
100132,华园光,5,5,5,0,0,5,5,0,6,0,31,,31,"Q4,Q5,Q8,Q10"
100133,杂贺八寻,0,0,0,0,0,0,0,6,6,6,18,,18,"Q1,Q2,Q3,Q4,Q5,Q6,Q7"
100134,狩野宙,0,5,5,5,5,5,5,2,0,0,32,,32,"Q1,Q9,Q10"
100135,鲇泽美咲,0,5,0,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100136,碓冰拓海,0,0,0,0,5,0,0,0,6,0,11,,11,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q10"
100137,花园樱,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100138,加贺静子,0,0,0,5,5,0,0,0,0,0,10,,10,"Q1,Q2,Q3,Q6,Q7,Q8,Q9,Q10"
100139,藤冈春绯,0,5,5,5,5,5,5,0,0,6,36,,36,"Q1,Q8,Q9"
