考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,0,5,0,5,0,5,0,0,0,0,20,,20,"Q2,Q4,Q6,Q8,Q9,Q10,Q11"
100202,流川枫,5,5,0,0,5,5,0,0,6,0,6,32,,32,"Q3,Q4,Q7,Q8,Q10"
100203,赤木刚宪,5,5,5,5,5,5,5,5,0,6,2,48,,48,Q9
100204,三井寿,0,5,0,5,5,5,0,5,0,3,0,28,,28,"Q1,Q3,Q7,Q9,Q11"
100205,宫城良田,0,5,5,0,5,5,5,5,0,0,2,32,,32,"Q1,Q4,Q9,Q10"
100206,木暮公延,0,5,5,5,0,0,5,5,6,6,0,37,,37,"Q1,Q5,Q6,Q11"
100207,彩子,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100208,赤木晴子,5,0,0,0,0,0,5,0,0,6,6,22,,22,"Q2,Q3,Q4,Q5,Q6,Q8,Q9"
100209,仙道彰,5,0,5,5,5,0,0,0,3,0,4,27,,27,"Q2,Q6,Q7,Q8,Q10"
100210,藤真健司,5,0,0,5,0,5,5,5,0,2,6,33,,33,"Q2,Q3,Q5,Q9"
100211,牧绅一,0,5,0,5,0,0,5,5,0,0,6,26,,26,"Q1,Q3,Q5,Q6,Q9,Q10"
100212,清田信长,5,5,5,0,5,5,5,5,0,0,6,41,,41,"Q4,Q9,Q10"
100213,神宗一郎,5,5,5,5,5,5,5,5,6,3,6,55,,55,
100214,鱼住纯,5,0,0,5,5,5,0,0,6,0,0,26,,26,"Q2,Q3,Q7,Q8,Q10,Q11"
100215,福田吉兆,0,5,5,5,0,0,5,5,6,6,0,37,,37,"Q1,Q5,Q6,Q11"
100216,河田雅史,0,0,5,0,0,5,0,5,6,0,6,27,,27,"Q1,Q2,Q4,Q5,Q7,Q10"
100217,泽北荣治,0,5,0,0,0,0,0,5,0,0,0,10,,10,"Q1,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100218,深津一成,5,5,0,5,5,0,0,0,0,0,6,26,,26,"Q3,Q6,Q7,Q8,Q9,Q10"
100219,松本稔,0,0,0,5,0,5,5,0,0,6,6,27,,27,"Q1,Q2,Q3,Q5,Q8,Q9"
100220,野边将广,0,5,0,0,5,0,0,0,0,0,0,10,,10,"Q1,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100221,日向翔阳,0,5,5,0,5,0,0,5,0,0,4,24,,24,"Q1,Q4,Q6,Q7,Q9,Q10"
100222,影山飞雄,0,5,0,0,0,5,0,5,0,0,0,15,,15,"Q1,Q3,Q4,Q5,Q7,Q9,Q10,Q11"
100223,泽村大地,5,5,5,0,5,0,0,0,0,0,0,20,,20,"Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100224,菅原孝支,5,5,5,0,5,0,5,0,3,0,0,28,,28,"Q4,Q6,Q8,Q10,Q11"
100225,缘下力,0,0,5,5,5,5,0,0,6,2,6,34,,34,"Q1,Q2,Q7,Q8"
100226,西谷夕,5,5,0,0,0,0,0,5,0,0,0,15,,15,"Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100227,东峰旭,5,5,5,5,0,5,0,0,0,6,0,31,,31,"Q5,Q7,Q8,Q9,Q11"
100228,月岛萤,5,5,5,5,5,5,5,5,6,4,0,50,,50,Q11
100229,山口忠,5,0,5,0,5,5,5,5,0,3,0,33,,33,"Q2,Q4,Q9,Q11"
100230,及川彻,5,0,5,5,5,0,5,5,0,6,0,36,,36,"Q2,Q6,Q9,Q11"
100231,岩泉一,5,5,5,5,5,5,5,5,6,3,0,49,,49,Q11
100232,黑尾铁朗,5,0,0,0,0,5,5,0,0,0,0,15,,15,"Q2,Q3,Q4,Q5,Q8,Q9,Q10,Q11"
100233,孤爪研磨,5,0,0,0,5,5,0,5,6,6,6,38,,38,"Q2,Q3,Q4,Q7"
100234,木兔光太郎,0,5,5,5,5,0,5,5,0,6,0,36,,36,"Q1,Q6,Q9,Q11"
100235,赤苇京治,0,0,0,0,0,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100236,牛岛若利,0,5,5,5,5,5,5,5,6,6,4,51,,51,Q1
100237,天童觉,0,5,0,0,0,5,5,0,0,0,0,15,,15,"Q1,Q3,Q4,Q5,Q8,Q9,Q10,Q11"
100238,星海光来,0,0,5,0,0,0,5,0,0,0,0,10,,10,"Q1,Q2,Q4,Q5,Q6,Q8,Q9,Q10,Q11"
100239,佐久早圣臣,5,0,5,0,0,5,0,0,0,3,0,18,,18,"Q2,Q4,Q5,Q7,Q8,Q9,Q11"
100240,宫侑,5,5,0,5,0,0,5,5,6,6,0,37,,37,"Q3,Q5,Q6,Q11"
