考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,5,0,0,6,6,0,0,22,,22,"Q3,Q4,Q7,Q8"
100002,日代千鹤,0,0,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7"
100003,高坂京介,5,5,0,0,0,0,6,0,16,,16,"Q3,Q4,Q5,Q6,Q8"
100004,高坂桐乃,5,0,5,0,0,6,0,0,16,,16,"Q2,Q4,Q5,Q7,Q8"
100005,逢坂大河,5,0,5,5,6,0,3,0,24,,24,"Q2,Q6,Q8"
100006,牧之原翔子,5,5,5,5,0,0,0,6,26,,26,"Q5,Q6,Q7"
100007,折木奉太郎,5,5,5,5,6,6,2,0,34,,34,Q8
100008,千反田爱瑠,0,5,0,0,6,0,0,0,11,,11,"Q1,Q3,Q4,Q6,Q7,Q8"
100009,福部里志,0,5,0,0,0,6,0,0,11,,11,"Q1,Q3,Q4,Q5,Q7,Q8"
100010,伊原摩耶花,0,0,5,0,0,0,2,0,7,,7,"Q1,Q2,Q4,Q5,Q6,Q8"
100011,凉宫春日,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8"
100012,长门有希,5,5,5,5,6,6,0,6,38,,38,Q7
100013,朝比奈实玖瑠,0,0,0,0,2,0,0,0,2,,2,"Q1,Q2,Q3,Q4,Q6,Q7,Q8"
100014,古泉一树,0,5,0,5,0,0,2,6,18,,18,"Q1,Q3,Q5,Q6"
100015,佐佐木,5,5,5,5,2,0,4,4,30,,30,Q6
100016,小鸟游六花,5,0,5,0,6,6,6,0,28,,28,"Q2,Q4,Q8"
100017,富樫勇太,5,0,5,5,2,6,6,6,35,,35,Q2
100018,丹生谷森夏,5,5,0,0,3,0,6,3,22,,22,"Q3,Q4,Q6"
100019,凸守早苗,5,5,5,5,0,2,6,0,28,,28,"Q5,Q8"
100020,七宫智音,0,0,0,0,6,0,0,0,6,,6,"Q1,Q2,Q3,Q4,Q6,Q7,Q8"
100021,神田空太,5,5,5,0,6,6,6,4,37,,37,Q4
100022,椎名真白,5,5,0,5,6,6,4,0,31,,31,"Q3,Q8"
100023,青山七海,0,0,0,0,6,6,4,2,18,,18,"Q1,Q2,Q3,Q4"
100024,上井草美咲,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8"
100025,三鹰仁,5,5,5,0,2,6,6,4,33,,33,Q4
100026,赤坂龙之介,0,5,0,0,0,0,6,0,11,,11,"Q1,Q3,Q4,Q5,Q6,Q8"
100027,绫小路清隆,5,5,5,5,6,4,6,0,36,,36,Q8
100028,堀北铃音,0,5,5,5,2,6,0,0,23,,23,"Q1,Q7,Q8"
100029,栉田桔梗,5,5,5,5,6,6,0,6,38,,38,Q7
100030,轻井泽惠,5,5,5,5,6,0,6,6,38,,38,Q6
100031,一之濑帆波,5,0,5,5,0,0,6,6,27,,27,"Q2,Q5,Q6"
100032,坂柳有栖,5,5,5,5,3,3,6,6,38,,38,
100033,龙园翔,5,5,5,5,6,3,0,6,35,,35,Q7
100034,比企谷八幡,5,5,5,5,2,6,6,0,34,,34,Q8
100035,雪之下雪乃,5,0,0,5,0,0,6,0,16,,16,"Q2,Q3,Q5,Q6,Q8"
100036,由比滨结衣,0,0,0,5,0,0,6,0,11,,11,"Q1,Q2,Q3,Q5,Q6,Q8"
100037,一色彩羽,5,0,0,5,0,3,0,3,16,,16,"Q2,Q3,Q5,Q7"
100038,户冢彩加,0,0,0,0,0,6,0,2,8,,8,"Q1,Q2,Q3,Q4,Q5,Q7"
100039,平泽唯,5,5,0,5,6,3,0,2,26,,26,"Q3,Q7"
100040,秋山澪,5,5,0,5,3,4,0,0,22,,22,"Q3,Q7,Q8"
100041,田井中律,5,5,5,5,6,3,6,6,41,,41,
100042,琴吹䌷,5,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100043,中野梓,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8"
100044,黄前久美子,0,5,5,5,6,0,0,6,27,,27,"Q1,Q6,Q7"
100045,高坂丽奈,0,5,0,0,3,0,0,0,8,,8,"Q1,Q3,Q4,Q6,Q7,Q8"
100046,川岛绿辉,0,5,0,0,0,3,6,0,14,,14,"Q1,Q3,Q4,Q5,Q8"
100047,加藤叶月,0,0,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7"
100048,田中明日香,5,5,5,5,0,0,6,6,32,,32,"Q5,Q6"
100049,伞木希美,0,5,0,5,0,0,0,2,12,,12,"Q1,Q3,Q5,Q6,Q7"
100050,铠冢霙,0,0,5,5,6,6,0,0,22,,22,"Q1,Q2,Q7,Q8"
