考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,0,5,0,5,5,3,0,18,,18,"Q1,Q3,Q7"
100102,影山飞雄,0,5,5,5,0,6,0,21,,21,"Q1,Q5,Q7"
100103,黑子哲也,5,0,5,0,0,6,0,16,,16,"Q2,Q4,Q5,Q7"
100104,越前龙马,5,5,5,5,5,0,0,25,,25,"Q6,Q7"
100105,洁世一,5,0,0,5,0,3,6,19,,19,"Q2,Q3,Q5"
100106,星野裕,5,5,5,5,5,6,4,35,,35,
100107,月本诚,5,5,5,5,0,6,0,26,,26,"Q5,Q7"
100108,风间龙一,0,5,0,5,0,6,0,16,,16,"Q1,Q3,Q5,Q7"
100109,佐久间学,0,0,0,5,0,0,2,7,,7,"Q1,Q2,Q3,Q5,Q6"
100110,矢口八虎,5,0,0,5,0,6,0,16,,16,"Q2,Q3,Q5,Q7"
100111,高桥世田介,5,5,5,5,5,0,6,31,,31,Q6
100112,桥田悠,5,5,5,5,0,6,0,26,,26,"Q5,Q7"
100113,桑名真希,5,0,5,0,0,0,0,10,,10,"Q2,Q4,Q5,Q6,Q7"
100114,进藤光,0,5,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7"
100115,塔矢亮,0,0,5,5,0,0,0,10,,10,"Q1,Q2,Q5,Q6,Q7"
100116,藤原佐为,5,5,5,5,0,0,0,20,,20,"Q5,Q6,Q7"
100117,和谷义高,5,0,5,5,0,0,6,21,,21,"Q2,Q5,Q6"
100118,竹本祐太,5,5,5,5,5,6,5,36,,36,
100119,森田忍,5,0,5,5,0,6,0,21,,21,"Q2,Q5,Q7"
100120,真山巧,5,5,5,5,5,6,5,36,,36,
100121,山田亚弓,5,5,0,5,5,6,6,32,,32,Q3
100122,花本育,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7"
100123,野田惠,5,0,5,0,0,0,0,10,,10,"Q2,Q4,Q5,Q6,Q7"
100124,千秋真一,5,5,5,5,0,6,3,29,,29,Q5
100125,奥山真澄,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7"
100126,峰龙太郎,5,5,0,5,5,3,0,23,,23,"Q3,Q7"
100127,日野香穗子,5,5,5,5,0,0,4,24,,24,"Q5,Q6"
100128,月森莲,0,5,0,0,5,6,0,16,,16,"Q1,Q3,Q4,Q7"
100129,土浦梁太郎,5,5,5,0,5,0,0,20,,20,"Q4,Q6,Q7"
100130,志水桂一,5,5,0,5,5,0,6,26,,26,"Q3,Q6"
100131,泷岛彗,0,5,0,5,5,6,6,27,,27,"Q1,Q3"
100132,华园光,0,5,5,5,0,0,0,15,,15,"Q1,Q5,Q6,Q7"
100133,杂贺八寻,5,5,5,5,5,0,0,25,,25,"Q6,Q7"
100134,狩野宙,5,5,0,0,5,3,0,18,,18,"Q3,Q4,Q7"
100135,鲇泽美咲,0,0,0,5,0,0,6,11,,11,"Q1,Q2,Q3,Q5,Q6"
100136,碓冰拓海,5,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7"
100137,花园樱,0,5,0,0,5,0,0,10,,10,"Q1,Q3,Q4,Q6,Q7"
100138,加贺静子,0,5,0,0,5,0,0,10,,10,"Q1,Q3,Q4,Q6,Q7"
100139,藤冈春绯,5,0,0,5,5,3,6,24,,24,"Q2,Q3"
100140,须王环,0,0,0,0,5,0,3,8,,8,"Q1,Q2,Q3,Q4,Q6"
100141,凤镜夜,0,0,0,5,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7"
100142,常陆院光,0,5,0,0,5,6,6,22,,22,"Q1,Q3,Q4"
100143,常陆院馨,5,0,0,0,0,3,0,8,,8,"Q2,Q3,Q4,Q5,Q7"
100144,冢本天满,5,0,0,0,0,3,0,8,,8,"Q2,Q3,Q4,Q5,Q7"
100145,播磨拳儿,0,0,5,5,0,0,3,13,,13,"Q1,Q2,Q5,Q6"
100146,泽近爱理,0,5,5,5,5,0,6,26,,26,"Q1,Q6"
100147,周防美琴,0,0,0,0,5,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7"
100148,宫前佳奈子,0,0,5,0,5,0,0,10,,10,"Q1,Q2,Q4,Q6,Q7"
100149,祇堂鞠也,5,5,0,0,0,6,0,16,,16,"Q3,Q4,Q5,Q7"
100150,汐王寺茉莉花,5,5,5,5,5,0,0,25,,25,"Q6,Q7"
