考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,5,5,5,0,5,5,0,6,6,42,,42,"Q5,Q8"
100002,日代千鹤,5,0,0,0,5,5,5,0,0,6,26,,26,"Q2,Q3,Q4,Q8,Q9"
100003,高坂京介,5,0,5,5,5,5,0,0,0,0,25,,25,"Q2,Q7,Q8,Q9,Q10"
100004,高坂桐乃,5,0,0,0,0,0,0,5,0,6,16,,16,"Q2,Q3,Q4,Q5,Q6,Q7,Q9"
100005,逢坂大河,0,5,5,5,5,5,0,5,6,0,36,,36,"Q1,Q7,Q10"
100006,牧之原翔子,5,5,0,5,5,0,0,5,6,0,31,,31,"Q3,Q6,Q7,Q10"
100007,折木奉太郎,0,5,5,5,5,5,5,5,0,6,41,,41,"Q1,Q9"
100008,千反田爱瑠,0,0,5,0,0,0,5,0,0,0,10,,10,"Q1,Q2,Q4,Q5,Q6,Q8,Q9,Q10"
100009,福部里志,5,5,0,0,5,0,0,0,6,0,21,,21,"Q3,Q4,Q6,Q7,Q8,Q10"
100010,伊原摩耶花,5,0,0,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100011,凉宫春日,0,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100012,长门有希,0,0,5,5,0,0,5,5,2,6,28,,28,"Q1,Q2,Q5,Q6"
100013,朝比奈实玖瑠,0,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100014,古泉一树,0,5,0,0,0,0,0,5,6,6,22,,22,"Q1,Q3,Q4,Q5,Q6,Q7"
100015,佐佐木,0,0,5,5,0,5,5,5,0,3,28,,28,"Q1,Q2,Q5,Q9"
100016,小鸟游六花,0,5,5,0,0,5,5,5,3,0,28,,28,"Q1,Q4,Q5,Q10"
100017,富樫勇太,0,0,0,5,0,5,5,0,0,0,15,,15,"Q1,Q2,Q3,Q5,Q8,Q9,Q10"
100018,丹生谷森夏,0,5,5,5,5,0,0,5,6,4,35,,35,"Q1,Q6,Q7"
100019,凸守早苗,5,5,5,5,5,5,0,5,0,0,35,,35,"Q7,Q9,Q10"
100020,七宫智音,5,0,0,5,0,5,5,0,0,0,20,,20,"Q2,Q3,Q5,Q8,Q9,Q10"
100021,神田空太,5,5,5,0,0,5,0,5,0,6,31,,31,"Q4,Q5,Q7,Q9"
100022,椎名真白,5,5,5,0,5,5,5,5,0,6,41,,41,"Q4,Q9"
100023,青山七海,5,0,0,0,5,0,5,0,3,0,18,,18,"Q2,Q3,Q4,Q6,Q8,Q10"
100024,上井草美咲,0,0,5,0,0,5,5,5,0,3,23,,23,"Q1,Q2,Q4,Q5,Q9"
100025,三鹰仁,5,5,5,5,5,0,5,5,6,0,41,,41,"Q6,Q10"
100026,赤坂龙之介,0,5,5,0,5,5,0,5,0,0,25,,25,"Q1,Q4,Q7,Q9,Q10"
100027,绫小路清隆,5,0,5,5,5,5,5,5,6,6,47,,47,Q2
100028,堀北铃音,5,5,0,0,5,5,5,5,6,6,42,,42,"Q3,Q4"
100029,栉田桔梗,5,5,5,0,5,0,5,0,0,4,29,,29,"Q4,Q6,Q8,Q9"
100030,轻井泽惠,5,5,5,5,5,5,5,5,0,6,46,,46,Q9
100031,一之濑帆波,5,5,5,5,5,5,5,5,3,6,49,,49,
100032,坂柳有栖,5,5,0,5,5,5,5,5,6,6,47,,47,Q3
100033,龙园翔,5,5,5,0,5,5,5,0,6,4,40,,40,"Q4,Q8"
100034,比企谷八幡,5,5,5,5,5,5,0,5,6,6,47,,47,Q7
100035,雪之下雪乃,5,0,0,5,5,0,5,0,0,0,20,,20,"Q2,Q3,Q6,Q8,Q9,Q10"
100036,由比滨结衣,5,5,5,0,5,5,0,5,6,0,36,,36,"Q4,Q7,Q10"
100037,一色彩羽,5,0,5,5,5,5,5,0,6,6,42,,42,"Q2,Q8"
100038,户冢彩加,5,0,0,5,5,0,5,5,0,6,31,,31,"Q2,Q3,Q6,Q9"
100039,平泽唯,5,0,5,5,5,5,5,5,0,6,41,,41,"Q2,Q9"
100040,秋山澪,0,5,0,0,5,0,0,0,3,6,19,,19,"Q1,Q3,Q4,Q6,Q7,Q8"
100041,田井中律,5,5,5,5,5,5,5,0,0,0,35,,35,"Q8,Q9,Q10"
100042,琴吹䌷,5,0,0,0,0,0,0,5,6,0,16,,16,"Q2,Q3,Q4,Q5,Q6,Q7,Q10"
100043,中野梓,0,0,5,0,5,0,5,0,6,0,21,,21,"Q1,Q2,Q4,Q6,Q8,Q10"
100044,黄前久美子,5,5,5,0,0,5,5,0,6,6,37,,37,"Q4,Q5,Q8"
100045,高坂丽奈,5,0,0,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100046,川岛绿辉,0,0,5,0,0,5,0,5,6,0,21,,21,"Q1,Q2,Q4,Q5,Q7,Q10"
100047,加藤叶月,5,0,5,5,0,0,0,0,0,6,21,,21,"Q2,Q5,Q6,Q7,Q8,Q9"
100048,田中明日香,0,5,5,0,0,0,5,5,4,6,30,,30,"Q1,Q4,Q5,Q6"
100049,伞木希美,5,0,0,5,5,5,5,5,6,4,40,,40,"Q2,Q3"
100050,铠冢霙,5,0,5,0,0,0,0,0,6,6,22,,22,"Q2,Q4,Q5,Q6,Q7,Q8"
