考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,5,0,5,5,0,5,0,0,3,6,0,34,,34,"Q3,Q6,Q8,Q9,Q12"
100202,流川枫,0,5,5,5,5,5,5,0,0,6,6,0,42,,42,"Q1,Q8,Q9,Q12"
100203,赤木刚宪,5,5,5,5,5,5,0,5,6,0,6,6,53,,53,"Q7,Q10"
100204,三井寿,0,5,5,5,5,5,5,0,3,6,3,0,42,,42,"Q1,Q8,Q12"
100205,宫城良田,5,0,0,5,5,5,5,0,0,6,6,0,37,,37,"Q2,Q3,Q8,Q9,Q12"
100206,木暮公延,5,5,5,5,5,5,5,5,6,0,3,6,55,,55,Q10
100207,彩子,0,0,0,0,0,0,0,0,0,6,0,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q12"
100208,赤木晴子,0,0,5,5,5,5,5,0,0,6,0,3,34,,34,"Q1,Q2,Q8,Q9,Q11"
100209,仙道彰,0,0,0,0,5,0,5,0,0,6,6,0,22,,22,"Q1,Q2,Q3,Q4,Q6,Q8,Q9,Q12"
100210,藤真健司,5,5,0,5,5,0,5,5,6,4,6,0,46,,46,"Q3,Q6,Q12"
100211,牧绅一,5,5,0,5,5,5,0,0,6,0,6,0,37,,37,"Q3,Q7,Q8,Q10,Q12"
100212,清田信长,5,5,5,5,5,0,5,0,0,6,6,6,48,,48,"Q6,Q8,Q9"
100213,神宗一郎,0,5,5,5,5,5,5,5,0,6,4,2,47,,47,"Q1,Q9"
100214,鱼住纯,5,0,0,0,0,0,0,0,0,6,0,0,11,,11,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q12"
100215,福田吉兆,5,0,5,0,5,0,5,5,0,0,0,0,25,,25,"Q2,Q4,Q6,Q9,Q10,Q11,Q12"
100216,河田雅史,5,0,5,0,0,0,0,5,0,0,6,0,21,,21,"Q2,Q4,Q5,Q6,Q7,Q9,Q10,Q12"
100217,泽北荣治,5,0,0,0,0,0,0,0,6,0,0,0,11,,11,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12"
100218,深津一成,0,0,0,0,0,0,0,0,0,6,3,0,9,,9,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q12"
100219,松本稔,5,5,5,0,5,0,5,0,6,6,6,0,43,,43,"Q4,Q6,Q8,Q12"
100220,野边将广,0,5,0,0,0,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100221,日向翔阳,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100222,影山飞雄,0,0,5,0,5,5,0,5,0,6,3,2,31,,31,"Q1,Q2,Q4,Q7,Q9"
100223,泽村大地,0,0,0,5,0,5,5,0,0,0,0,0,15,,15,"Q1,Q2,Q3,Q5,Q8,Q9,Q10,Q11,Q12"
100224,菅原孝支,0,0,0,0,0,0,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100225,缘下力,5,5,0,5,5,0,0,0,4,0,6,0,30,,30,"Q3,Q6,Q7,Q8,Q10,Q12"
100226,西谷夕,0,0,0,0,0,5,5,5,0,0,0,0,15,,15,"Q1,Q2,Q3,Q4,Q5,Q9,Q10,Q11,Q12"
100227,东峰旭,0,0,0,0,5,5,5,0,6,0,0,0,21,,21,"Q1,Q2,Q3,Q4,Q8,Q10,Q11,Q12"
100228,月岛萤,5,5,5,5,5,5,5,5,3,6,0,0,49,,49,"Q11,Q12"
