考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,5,5,5,0,0,5,5,4,4,6,0,44,,44,"Q5,Q6,Q12"
100102,影山飞雄,5,5,5,0,5,0,5,0,2,6,3,6,42,,42,"Q4,Q6,Q8"
100103,黑子哲也,0,5,5,0,5,0,0,5,6,0,3,0,29,,29,"Q1,Q4,Q6,Q7,Q10,Q12"
100104,越前龙马,5,0,0,5,5,0,0,0,0,3,0,0,18,,18,"Q2,Q3,Q6,Q7,Q8,Q9,Q11,Q12"
100105,洁世一,5,0,0,5,0,5,0,5,6,0,6,4,36,,36,"Q2,Q3,Q5,Q7,Q10"
100106,星野裕,5,5,0,5,5,5,5,5,6,6,0,0,47,,47,"Q3,Q11,Q12"
100107,月本诚,0,5,0,0,0,5,0,0,0,0,0,0,10,,10,"Q1,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12"
100108,风间龙一,0,0,5,0,5,5,5,0,0,0,0,0,20,,20,"Q1,Q2,Q4,Q8,Q9,Q10,Q11,Q12"
100109,佐久间学,0,0,0,0,0,5,0,5,6,0,0,6,22,,22,"Q1,Q2,Q3,Q4,Q5,Q7,Q10,Q11"
100110,矢口八虎,0,5,0,0,0,0,0,5,6,2,6,6,30,,30,"Q1,Q3,Q4,Q5,Q6,Q7"
100111,高桥世田介,5,0,0,0,5,5,5,5,6,6,3,6,46,,46,"Q2,Q3,Q4"
100112,桥田悠,0,5,0,5,5,5,5,0,6,0,0,0,31,,31,"Q1,Q3,Q8,Q10,Q11,Q12"
100113,桑名真希,5,0,0,0,0,0,0,5,0,6,0,0,16,,16,"Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q11,Q12"
100114,进藤光,5,5,5,5,5,5,0,5,0,0,6,0,41,,41,"Q7,Q9,Q10,Q12"
100115,塔矢亮,5,0,5,0,0,0,0,0,0,6,6,0,22,,22,"Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q12"
100116,藤原佐为,0,0,0,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100117,和谷义高,0,0,0,0,5,5,0,5,0,0,6,6,27,,27,"Q1,Q2,Q3,Q4,Q7,Q9,Q10"
100118,竹本祐太,5,0,0,5,5,5,5,5,0,0,6,3,39,,39,"Q2,Q3,Q9,Q10"
100119,森田忍,0,5,5,0,5,5,0,5,0,0,0,0,25,,25,"Q1,Q4,Q7,Q9,Q10,Q11,Q12"
100120,真山巧,0,0,5,5,0,5,5,5,3,0,6,6,40,,40,"Q1,Q2,Q5,Q10"
100121,山田亚弓,5,5,5,0,5,5,5,5,6,6,4,6,57,,57,Q4
100122,花本育,0,0,0,5,5,0,0,0,2,6,0,6,24,,24,"Q1,Q2,Q3,Q6,Q7,Q8,Q11"
100123,野田惠,0,0,0,0,0,5,5,5,6,0,6,6,33,,33,"Q1,Q2,Q3,Q4,Q5,Q10"
100124,千秋真一,5,0,5,5,0,5,5,5,6,3,0,6,45,,45,"Q2,Q5,Q11"
100125,奥山真澄,0,5,0,0,0,0,5,5,2,0,0,0,17,,17,"Q1,Q3,Q4,Q5,Q6,Q10,Q11,Q12"
100126,峰龙太郎,5,0,5,0,0,0,0,0,0,0,2,0,12,,12,"Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12"
100127,日野香穗子,5,5,0,5,5,5,5,5,0,0,0,6,41,,41,"Q3,Q9,Q10,Q11"
100128,月森莲,0,5,0,0,5,5,0,5,0,6,0,3,29,,29,"Q1,Q3,Q4,Q7,Q9,Q11"
100129,土浦梁太郎,5,5,5,5,0,5,5,0,6,0,6,3,45,,45,"Q5,Q8,Q10"
100130,志水桂一,5,5,5,5,5,5,5,5,0,6,0,3,49,,49,"Q9,Q11"
100131,泷岛彗,5,5,5,5,5,5,5,0,3,6,0,6,50,,50,"Q8,Q11"
100132,华园光,0,0,5,0,0,5,0,0,3,4,0,0,17,,17,"Q1,Q2,Q4,Q5,Q7,Q8,Q11,Q12"
100133,杂贺八寻,0,0,0,5,0,0,0,5,0,6,6,0,22,,22,"Q1,Q2,Q3,Q5,Q6,Q7,Q9,Q12"
100134,狩野宙,5,0,5,5,0,0,0,0,4,0,6,0,25,,25,"Q2,Q5,Q6,Q7,Q8,Q10,Q12"
100135,鲇泽美咲,0,0,0,0,0,5,0,0,0,6,0,0,11,,11,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q11,Q12"
100136,碓冰拓海,0,0,0,5,5,0,0,0,0,0,0,6,16,,16,"Q1,Q2,Q3,Q6,Q7,Q8,Q9,Q10,Q11"
100137,花园樱,0,0,5,0,0,5,5,0,0,0,0,6,21,,21,"Q1,Q2,Q4,Q5,Q8,Q9,Q10,Q11"
100138,加贺静子,5,0,5,5,0,0,0,0,6,6,0,0,27,,27,"Q2,Q5,Q6,Q7,Q8,Q11,Q12"
100139,藤冈春绯,5,5,5,5,5,5,5,5,0,6,3,0,49,,49,"Q9,Q12"
100140,须王环,0,0,0,5,5,5,0,5,6,0,0,6,32,,32,"Q1,Q2,Q3,Q7,Q10,Q11"
100141,凤镜夜,5,0,0,0,0,0,0,0,0,0,0,6,11,,11,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100142,常陆院光,5,5,0,0,0,0,0,5,0,0,4,6,25,,25,"Q3,Q4,Q5,Q6,Q7,Q9,Q10"
100143,常陆院馨,0,0,5,0,0,0,0,0,2,0,0,0,7,,7,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12"
100144,冢本天满,0,5,0,0,5,5,0,5,0,6,0,0,26,,26,"Q1,Q3,Q4,Q7,Q9,Q11,Q12"
100145,播磨拳儿,0,0,5,5,0,5,5,5,0,6,6,6,43,,43,"Q1,Q2,Q5,Q9"
100146,泽近爱理,5,0,0,5,0,0,0,5,6,3,6,0,30,,30,"Q2,Q3,Q5,Q6,Q7,Q12"
100147,周防美琴,0,5,5,0,5,0,5,5,0,6,0,0,31,,31,"Q1,Q4,Q6,Q9,Q11,Q12"
100148,宫前佳奈子,0,0,5,5,5,0,0,0,0,0,0,6,21,,21,"Q1,Q2,Q6,Q7,Q8,Q9,Q10,Q11"
100149,祇堂鞠也,5,0,0,5,5,5,5,5,6,6,0,0,42,,42,"Q2,Q3,Q11,Q12"
100150,汐王寺茉莉花,5,5,0,5,5,5,5,5,6,3,0,6,50,,50,"Q3,Q11"
