考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,5,6,6,0,6,28,,28,Q5
100102,影山飞雄,5,5,6,3,6,3,28,,28,
100103,黑子哲也,5,5,2,0,0,0,12,,12,"Q4,Q5,Q6"
100104,越前龙马,0,5,3,0,0,0,8,,8,"Q1,Q4,Q5,Q6"
100105,洁世一,0,0,0,6,6,6,18,,18,"Q1,Q2,Q3"
100106,星野裕,5,5,6,6,6,5,33,,33,
100107,月本诚,0,0,0,0,6,0,6,,6,"Q1,Q2,Q3,Q4,Q6"
100108,风间龙一,5,0,3,0,0,0,8,,8,"Q2,Q4,Q5,Q6"
100109,佐久间学,5,0,3,0,0,0,8,,8,"Q2,Q4,Q5,Q6"
100110,矢口八虎,5,5,0,6,0,0,16,,16,"Q3,Q5,Q6"
100111,高桥世田介,5,5,6,6,6,5,33,,33,
100112,桥田悠,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100113,桑名真希,5,5,0,0,6,0,16,,16,"Q3,Q4,Q6"
100114,进藤光,5,0,0,6,6,0,17,,17,"Q2,Q3,Q6"
100115,塔矢亮,0,0,6,3,0,6,15,,15,"Q1,Q2,Q5"
100116,藤原佐为,5,0,6,0,0,0,11,,11,"Q2,Q4,Q5,Q6"
100117,和谷义高,5,0,2,3,0,6,16,,16,"Q2,Q5"
100118,竹本祐太,5,5,6,0,0,6,22,,22,"Q4,Q5"
100119,森田忍,0,0,0,6,0,2,8,,8,"Q1,Q2,Q3,Q5"
100120,真山巧,5,5,0,0,6,0,16,,16,"Q3,Q4,Q6"
100121,山田亚弓,5,5,6,6,3,6,31,,31,
100122,花本育,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100123,野田惠,0,0,0,0,6,0,6,,6,"Q1,Q2,Q3,Q4,Q6"
100124,千秋真一,5,5,6,0,0,4,20,,20,"Q4,Q5"
100125,奥山真澄,0,0,6,0,0,0,6,,6,"Q1,Q2,Q4,Q5,Q6"
100126,峰龙太郎,0,5,0,0,0,6,11,,11,"Q1,Q3,Q4,Q5"
100127,日野香穗子,5,5,6,0,6,6,28,,28,Q4
100128,月森莲,0,5,3,0,0,0,8,,8,"Q1,Q4,Q5,Q6"
100129,土浦梁太郎,5,0,6,6,0,2,19,,19,"Q2,Q5"
100130,志水桂一,5,5,6,6,0,0,22,,22,"Q5,Q6"
100131,泷岛彗,0,0,6,0,6,0,12,,12,"Q1,Q2,Q4,Q6"
100132,华园光,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100133,杂贺八寻,0,0,6,6,0,6,18,,18,"Q1,Q2,Q5"
100134,狩野宙,0,5,6,0,0,0,11,,11,"Q1,Q4,Q5,Q6"
100135,鲇泽美咲,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100136,碓冰拓海,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100137,花园樱,5,0,6,0,0,0,11,,11,"Q2,Q4,Q5,Q6"
100138,加贺静子,0,0,0,6,0,0,6,,6,"Q1,Q2,Q3,Q5,Q6"
100139,藤冈春绯,0,5,0,0,6,0,11,,11,"Q1,Q3,Q4,Q6"
100140,须王环,5,5,0,0,6,6,22,,22,"Q3,Q4"
100141,凤镜夜,5,0,0,0,4,6,15,,15,"Q2,Q3,Q4"
100142,常陆院光,0,5,0,0,6,6,17,,17,"Q1,Q3,Q4"
100143,常陆院馨,0,5,6,0,0,0,11,,11,"Q1,Q4,Q5,Q6"
100144,冢本天满,0,0,0,0,2,0,2,,2,"Q1,Q2,Q3,Q4,Q6"
100145,播磨拳儿,5,5,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6"
100146,泽近爱理,0,5,0,6,6,0,17,,17,"Q1,Q3,Q6"
100147,周防美琴,0,0,0,0,6,0,6,,6,"Q1,Q2,Q3,Q4,Q6"
100148,宫前佳奈子,5,0,0,0,4,0,9,,9,"Q2,Q3,Q4,Q6"
100149,祇堂鞠也,5,5,6,6,6,0,28,,28,Q6
100150,汐王寺茉莉花,0,5,6,0,0,0,11,,11,"Q1,Q4,Q5,Q6"
