考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,5,5,5,5,5,0,6,0,6,42,,42,"Q7,Q9"
100002,日代千鹤,0,5,0,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100003,高坂京介,5,0,0,0,0,5,0,0,0,0,10,,10,"Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10"
100004,高坂桐乃,5,0,5,0,0,0,0,0,0,6,16,,16,"Q2,Q4,Q5,Q6,Q7,Q8,Q9"
100005,逢坂大河,5,5,5,5,0,5,2,0,3,6,36,,36,"Q5,Q8"
100006,牧之原翔子,5,0,0,5,5,0,0,0,0,6,21,,21,"Q2,Q3,Q6,Q7,Q8,Q9"
100007,折木奉太郎,5,5,5,5,5,5,6,3,0,6,45,,45,Q9
100008,千反田爱瑠,0,0,0,0,0,0,0,3,0,6,9,,9,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9"
100009,福部里志,0,5,0,0,0,5,0,6,0,0,16,,16,"Q1,Q3,Q4,Q5,Q7,Q9,Q10"
100010,伊原摩耶花,0,0,0,0,0,0,6,0,0,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100011,凉宫春日,0,5,0,5,5,0,6,0,0,0,21,,21,"Q1,Q3,Q6,Q8,Q9,Q10"
100012,长门有希,5,0,0,5,0,5,0,0,0,0,15,,15,"Q2,Q3,Q5,Q7,Q8,Q9,Q10"
100013,朝比奈实玖瑠,5,5,0,0,0,0,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100014,古泉一树,0,5,5,0,5,0,0,6,0,0,21,,21,"Q1,Q4,Q6,Q7,Q9,Q10"
100015,佐佐木,0,5,5,5,5,5,6,6,0,0,37,,37,"Q1,Q9,Q10"
100016,小鸟游六花,0,0,5,5,5,0,0,0,6,6,27,,27,"Q1,Q2,Q6,Q7,Q8"
100017,富樫勇太,5,0,5,5,0,0,6,0,0,0,21,,21,"Q2,Q5,Q6,Q8,Q9,Q10"
100018,丹生谷森夏,5,5,5,5,5,0,0,6,6,0,37,,37,"Q6,Q7,Q10"
100019,凸守早苗,5,5,5,0,5,5,0,0,3,4,32,,32,"Q4,Q7,Q8"
100020,七宫智音,0,0,0,5,0,0,0,6,0,0,11,,11,"Q1,Q2,Q3,Q5,Q6,Q7,Q9,Q10"
100021,神田空太,5,5,5,5,5,5,6,6,0,0,42,,42,"Q9,Q10"
100022,椎名真白,5,5,5,5,5,0,6,6,6,0,43,,43,"Q6,Q10"
100023,青山七海,0,5,0,0,5,5,6,0,0,0,21,,21,"Q1,Q3,Q4,Q8,Q9,Q10"
100024,上井草美咲,5,0,0,5,0,5,0,0,0,0,15,,15,"Q2,Q3,Q5,Q7,Q8,Q9,Q10"
100025,三鹰仁,5,5,0,5,5,0,4,3,6,6,39,,39,"Q3,Q6"
100026,赤坂龙之介,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100027,绫小路清隆,0,5,5,5,5,5,6,6,6,0,43,,43,"Q1,Q10"
100028,堀北铃音,5,5,5,5,5,0,6,6,6,3,46,,46,Q6
100029,栉田桔梗,5,5,5,5,5,5,0,0,6,2,38,,38,"Q7,Q8"
100030,轻井泽惠,0,0,0,0,5,0,3,6,0,2,16,,16,"Q1,Q2,Q3,Q4,Q6,Q9"
100031,一之濑帆波,5,5,5,5,5,5,6,3,0,6,45,,45,Q9
100032,坂柳有栖,5,5,5,5,5,5,6,0,0,6,42,,42,"Q8,Q9"
100033,龙园翔,5,5,5,0,5,5,6,6,6,0,43,,43,"Q4,Q10"
100034,比企谷八幡,5,5,0,5,5,5,2,4,3,6,40,,40,Q3
100035,雪之下雪乃,5,5,0,5,0,0,0,0,6,0,21,,21,"Q3,Q5,Q6,Q7,Q8,Q10"
100036,由比滨结衣,5,5,5,5,5,5,0,0,0,6,36,,36,"Q7,Q8,Q9"
100037,一色彩羽,5,5,5,0,5,5,0,0,3,6,34,,34,"Q4,Q7,Q8"
100038,户冢彩加,5,0,5,0,5,0,6,6,3,6,36,,36,"Q2,Q4,Q6"
100039,平泽唯,5,5,5,5,5,0,6,0,4,6,41,,41,"Q6,Q8"
100040,秋山澪,5,5,0,5,0,0,6,3,0,0,24,,24,"Q3,Q5,Q6,Q9,Q10"
100041,田井中律,5,5,5,5,5,5,0,0,6,3,39,,39,"Q7,Q8"
100042,琴吹䌷,0,0,5,5,5,0,0,0,0,0,15,,15,"Q1,Q2,Q6,Q7,Q8,Q9,Q10"
100043,中野梓,0,0,0,0,5,0,6,0,4,0,15,,15,"Q1,Q2,Q3,Q4,Q6,Q8,Q10"
100044,黄前久美子,0,0,5,0,0,0,0,2,0,0,7,,7,"Q1,Q2,Q4,Q5,Q6,Q7,Q9,Q10"
100045,高坂丽奈,0,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100046,川岛绿辉,5,5,0,0,0,0,0,0,0,6,16,,16,"Q3,Q4,Q5,Q6,Q7,Q8,Q9"
100047,加藤叶月,0,5,0,0,0,5,0,0,0,0,10,,10,"Q1,Q3,Q4,Q5,Q7,Q8,Q9,Q10"
100048,田中明日香,0,0,0,5,0,5,0,0,3,0,13,,13,"Q1,Q2,Q3,Q5,Q7,Q8,Q10"
100049,伞木希美,5,5,5,0,0,5,0,0,3,6,29,,29,"Q4,Q5,Q7,Q8"
100050,铠冢霙,0,5,5,0,5,0,0,6,0,2,23,,23,"Q1,Q4,Q6,Q7,Q9"
