考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,0,5,0,0,0,5,0,0,5,0,0,20,,20,"Q2,Q4,Q5,Q6,Q8,Q9,Q11,Q12"
100202,流川枫,0,5,0,5,5,0,5,5,5,0,0,6,36,,36,"Q1,Q3,Q6,Q10,Q11"
100203,赤木刚宪,0,5,5,5,5,5,5,0,5,5,3,6,49,,49,"Q1,Q8"
100204,三井寿,5,5,5,5,5,5,0,5,5,0,0,6,46,,46,"Q7,Q10,Q11"
100205,宫城良田,5,0,0,0,5,5,5,0,0,0,6,0,26,,26,"Q2,Q3,Q4,Q8,Q9,Q10,Q12"
100206,木暮公延,5,5,5,5,0,5,5,5,5,5,6,0,51,,51,"Q5,Q12"
100207,彩子,0,0,0,5,0,0,0,0,0,5,0,3,13,,13,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q11"
100208,赤木晴子,5,0,5,5,0,5,5,5,5,5,6,6,52,,52,"Q2,Q5"
100209,仙道彰,0,5,0,0,0,0,0,0,0,0,6,0,11,,11,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12"
100210,藤真健司,5,5,0,5,5,5,0,0,5,0,0,0,30,,30,"Q3,Q7,Q8,Q10,Q11,Q12"
100211,牧绅一,0,0,5,0,5,5,5,0,0,5,0,6,31,,31,"Q1,Q2,Q4,Q8,Q9,Q11"
100212,清田信长,5,5,5,5,5,0,5,0,5,5,6,0,46,,46,"Q6,Q8,Q12"
100213,神宗一郎,5,5,5,5,5,0,5,5,5,5,0,6,51,,51,"Q6,Q11"
100214,鱼住纯,0,5,0,0,0,5,0,0,0,5,6,6,27,,27,"Q1,Q3,Q4,Q5,Q7,Q8,Q9"
100215,福田吉兆,0,5,5,0,0,0,5,0,5,0,0,6,26,,26,"Q1,Q4,Q5,Q6,Q8,Q10,Q11"
100216,河田雅史,0,0,0,0,0,0,0,0,0,5,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q12"
100217,泽北荣治,0,5,0,0,5,0,0,0,0,0,0,0,10,,10,"Q1,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100218,深津一成,0,5,5,5,5,0,0,5,5,0,0,6,36,,36,"Q1,Q6,Q7,Q10,Q11"
100219,松本稔,5,0,0,5,5,0,0,5,5,0,6,6,37,,37,"Q2,Q3,Q6,Q7,Q10"
100220,野边将广,0,0,0,5,5,5,5,0,0,5,0,6,31,,31,"Q1,Q2,Q3,Q8,Q9,Q11"
100221,日向翔阳,0,0,0,0,0,5,0,0,0,0,0,3,8,,8,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11"
100222,影山飞雄,0,0,0,0,5,0,0,0,0,0,3,0,8,,8,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q12"
