考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,0,5,0,0,0,5,0,0,0,0,0,10,,10,"Q1,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11"
100202,流川枫,0,0,0,0,5,0,5,5,0,0,0,15,,15,"Q1,Q2,Q3,Q4,Q6,Q9,Q10,Q11"
100203,赤木刚宪,5,5,5,0,5,5,5,5,6,6,3,50,,50,Q4
100204,三井寿,5,0,0,5,5,0,0,5,6,6,3,35,,35,"Q2,Q3,Q6,Q7"
100205,宫城良田,5,5,0,0,0,5,5,5,0,0,0,25,,25,"Q3,Q4,Q5,Q9,Q10,Q11"
100206,木暮公延,5,5,5,5,5,5,5,5,0,0,0,40,,40,"Q9,Q10,Q11"
100207,彩子,0,0,0,0,0,5,0,0,0,4,0,9,,9,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q11"
100208,赤木晴子,0,5,0,5,0,0,0,0,6,6,0,22,,22,"Q1,Q3,Q5,Q6,Q7,Q8,Q11"
100209,仙道彰,0,0,0,0,5,5,5,0,0,0,0,15,,15,"Q1,Q2,Q3,Q4,Q8,Q9,Q10,Q11"
100210,藤真健司,0,5,5,5,5,5,5,0,0,0,6,36,,36,"Q1,Q8,Q9,Q10"
100211,牧绅一,0,5,5,0,0,5,0,0,0,0,0,15,,15,"Q1,Q4,Q5,Q7,Q8,Q9,Q10,Q11"
100212,清田信长,5,0,5,5,5,5,5,5,6,6,0,47,,47,"Q2,Q11"
100213,神宗一郎,0,5,5,5,5,5,5,5,3,3,6,47,,47,Q1
100214,鱼住纯,0,0,0,5,0,5,0,0,2,0,6,18,,18,"Q1,Q2,Q3,Q5,Q7,Q8,Q10"
100215,福田吉兆,5,0,0,5,5,5,0,5,0,6,0,31,,31,"Q2,Q3,Q7,Q9,Q11"
100216,河田雅史,0,0,0,5,0,0,5,0,0,6,0,16,,16,"Q1,Q2,Q3,Q5,Q6,Q8,Q9,Q11"
100217,泽北荣治,0,0,0,5,0,0,0,0,6,0,0,11,,11,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q10,Q11"
100218,深津一成,5,5,0,5,0,0,0,5,0,0,3,23,,23,"Q3,Q5,Q6,Q7,Q9,Q10"
100219,松本稔,5,5,5,5,0,0,5,5,0,6,0,36,,36,"Q5,Q6,Q9,Q11"
100220,野边将广,0,5,0,0,5,5,0,5,0,2,0,22,,22,"Q1,Q3,Q4,Q7,Q9,Q11"
100221,日向翔阳,0,0,0,0,5,0,0,0,2,6,0,13,,13,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q11"
100222,影山飞雄,0,5,0,5,0,0,5,5,6,0,6,32,,32,"Q1,Q3,Q5,Q6,Q10"
100223,泽村大地,0,0,0,5,0,0,5,0,0,0,6,16,,16,"Q1,Q2,Q3,Q5,Q6,Q8,Q9,Q10"
100224,菅原孝支,5,0,0,5,0,0,0,5,2,6,3,26,,26,"Q2,Q3,Q5,Q6,Q7"
100225,缘下力,5,0,5,5,0,5,0,0,0,3,6,29,,29,"Q2,Q5,Q7,Q8,Q9"
100226,西谷夕,0,0,0,0,0,5,0,5,0,6,0,16,,16,"Q1,Q2,Q3,Q4,Q5,Q7,Q9,Q11"
100227,东峰旭,0,0,5,0,0,0,0,0,0,6,0,11,,11,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q11"
100228,月岛萤,5,5,5,5,5,5,5,5,6,6,2,54,,54,
100229,山口忠,5,5,0,5,5,5,5,5,0,0,0,35,,35,"Q3,Q9,Q10,Q11"
100230,及川彻,0,5,5,0,0,0,0,0,6,2,0,18,,18,"Q1,Q4,Q5,Q6,Q7,Q8,Q11"
100231,岩泉一,5,0,5,5,0,5,5,0,6,0,2,33,,33,"Q2,Q5,Q8,Q10"
100232,黑尾铁朗,0,0,5,0,0,5,5,5,0,0,0,20,,20,"Q1,Q2,Q4,Q5,Q9,Q10,Q11"
100233,孤爪研磨,5,5,5,5,5,5,5,5,0,6,3,49,,49,Q9
100234,木兔光太郎,5,5,0,0,5,5,5,5,0,0,0,30,,30,"Q3,Q4,Q9,Q10,Q11"
100235,赤苇京治,0,0,0,5,0,0,5,0,0,0,0,10,,10,"Q1,Q2,Q3,Q5,Q6,Q8,Q9,Q10,Q11"
100236,牛岛若利,5,5,5,5,5,5,5,5,6,0,0,46,,46,"Q10,Q11"
100237,天童觉,0,0,5,5,5,5,0,5,6,0,0,31,,31,"Q1,Q2,Q7,Q10,Q11"
100238,星海光来,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
