考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,0,5,0,5,5,0,0,0,20,,20,"Q2,Q4,Q7,Q8,Q9"
100202,流川枫,5,5,5,5,5,5,0,6,6,42,,42,Q7
100203,赤木刚宪,5,0,5,5,0,5,5,0,0,25,,25,"Q2,Q5,Q8,Q9"
100204,三井寿,5,0,0,5,5,5,5,6,0,31,,31,"Q2,Q3,Q9"
100205,宫城良田,0,5,5,0,5,5,0,0,0,20,,20,"Q1,Q4,Q7,Q8,Q9"
100206,木暮公延,5,5,5,0,5,5,5,2,0,32,,32,"Q4,Q9"
100207,彩子,0,0,5,0,0,5,0,0,0,10,,10,"Q1,Q2,Q4,Q5,Q7,Q8,Q9"
100208,赤木晴子,0,5,5,5,5,5,0,6,0,31,,31,"Q1,Q7,Q9"
100209,仙道彰,0,0,0,0,0,0,0,6,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9"
100210,藤真健司,0,0,5,5,5,5,0,4,0,24,,24,"Q1,Q2,Q7,Q9"
100211,牧绅一,0,0,0,0,0,5,5,6,0,16,,16,"Q1,Q2,Q3,Q4,Q5,Q9"
100212,清田信长,0,0,5,5,5,0,5,3,6,29,,29,"Q1,Q2,Q6"
100213,神宗一郎,5,5,5,0,5,0,5,6,0,31,,31,"Q4,Q6,Q9"
100214,鱼住纯,0,5,0,5,0,5,5,0,2,22,,22,"Q1,Q3,Q5,Q8"
100215,福田吉兆,5,5,5,0,5,5,5,0,0,30,,30,"Q4,Q8,Q9"
100216,河田雅史,0,0,0,5,5,5,5,4,0,24,,24,"Q1,Q2,Q3,Q9"
100217,泽北荣治,0,0,0,0,5,0,5,0,0,10,,10,"Q1,Q2,Q3,Q4,Q6,Q8,Q9"
100218,深津一成,5,5,0,0,5,5,0,0,6,26,,26,"Q3,Q4,Q7,Q8"
100219,松本稔,5,5,0,5,0,0,5,0,0,20,,20,"Q3,Q5,Q6,Q8,Q9"
100220,野边将广,5,0,5,0,5,0,0,0,6,21,,21,"Q2,Q4,Q6,Q7,Q8"
100221,日向翔阳,0,0,0,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100222,影山飞雄,0,0,0,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100223,泽村大地,0,0,0,5,0,5,5,0,0,15,,15,"Q1,Q2,Q3,Q5,Q8,Q9"
100224,菅原孝支,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9"
100225,缘下力,5,5,5,0,5,5,0,6,3,34,,34,"Q4,Q7"
100226,西谷夕,0,0,0,5,0,5,0,0,0,10,,10,"Q1,Q2,Q3,Q5,Q7,Q8,Q9"
100227,东峰旭,5,0,0,0,0,0,0,0,6,11,,11,"Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100228,月岛萤,0,5,5,5,5,5,5,6,0,36,,36,"Q1,Q9"
100229,山口忠,5,5,5,5,5,5,5,6,3,44,,44,
100230,及川彻,0,5,5,0,0,0,0,6,0,16,,16,"Q1,Q4,Q5,Q6,Q7,Q9"
100231,岩泉一,5,5,0,5,5,0,0,0,0,20,,20,"Q3,Q6,Q7,Q8,Q9"
100232,黑尾铁朗,0,0,5,0,5,0,0,0,0,10,,10,"Q1,Q2,Q4,Q6,Q7,Q8,Q9"
100233,孤爪研磨,0,5,5,5,5,5,5,6,6,42,,42,Q1
100234,木兔光太郎,0,5,5,5,5,5,5,3,6,39,,39,Q1
100235,赤苇京治,0,0,5,5,5,5,0,6,6,32,,32,"Q1,Q2,Q7"
100236,牛岛若利,5,5,5,5,5,5,5,6,5,46,,46,
100237,天童觉,5,0,0,5,0,5,5,6,0,26,,26,"Q2,Q3,Q5,Q9"
100238,星海光来,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9"
100239,佐久早圣臣,5,5,0,5,0,0,0,0,2,17,,17,"Q3,Q5,Q6,Q7,Q8"
100240,宫侑,5,0,5,0,0,5,0,6,3,24,,24,"Q2,Q4,Q5,Q7"
100241,幸平创真,0,5,5,0,0,0,0,0,6,16,,16,"Q1,Q4,Q5,Q6,Q7,Q8"
100242,薙切绘里奈,5,0,0,0,0,0,5,0,0,10,,10,"Q2,Q3,Q4,Q5,Q6,Q8,Q9"
100243,田所惠,5,5,5,5,5,5,5,0,6,41,,41,Q8
100244,塔克米阿尔迪尼,5,5,5,5,0,5,5,0,6,36,,36,"Q5,Q8"
100245,伊萨米阿尔迪尼,5,5,5,5,5,5,5,6,2,43,,43,
100246,幸平城一郎,0,0,5,0,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9"
100247,堂岛银,5,5,5,5,5,5,0,6,0,36,,36,"Q7,Q9"
100248,四宫小次郎,5,0,0,0,0,5,5,4,6,25,,25,"Q2,Q3,Q4,Q5"
100249,水户郁魅,5,0,0,0,0,5,0,0,0,10,,10,"Q2,Q3,Q4,Q5,Q7,Q8,Q9"
100250,吉野悠姬,5,5,5,0,5,5,5,0,4,34,,34,"Q4,Q8"
