考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,0,5,5,0,6,0,21,,21,"Q2,Q5,Q7"
100102,影山飞雄,5,0,5,0,5,0,6,21,,21,"Q2,Q4,Q6"
100103,黑子哲也,5,5,0,5,0,6,6,27,,27,"Q3,Q5"
100104,越前龙马,5,5,5,5,5,6,5,36,,36,
100105,洁世一,5,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7"
100106,星野裕,5,5,5,5,5,0,3,28,,28,Q6
100107,月本诚,5,0,0,5,5,0,6,21,,21,"Q2,Q3,Q6"
100108,风间龙一,5,0,5,5,0,0,6,21,,21,"Q2,Q5,Q6"
100109,佐久间学,0,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6"
100110,矢口八虎,0,5,5,0,0,0,4,14,,14,"Q1,Q4,Q5,Q6"
100111,高桥世田介,5,5,5,5,5,0,6,31,,31,Q6
100112,桥田悠,5,5,0,0,0,0,3,13,,13,"Q3,Q4,Q5,Q6"
100113,桑名真希,5,0,0,5,5,3,3,21,,21,"Q2,Q3"
100114,进藤光,0,5,0,0,0,6,0,11,,11,"Q1,Q3,Q4,Q5,Q7"
100115,塔矢亮,0,5,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7"
100116,藤原佐为,0,0,5,5,5,6,0,21,,21,"Q1,Q2,Q7"
100117,和谷义高,5,5,5,0,5,0,0,20,,20,"Q4,Q6,Q7"
100118,竹本祐太,5,0,5,5,5,3,3,26,,26,Q2
100119,森田忍,5,5,5,0,5,0,0,20,,20,"Q4,Q6,Q7"
100120,真山巧,5,5,0,5,5,6,0,26,,26,"Q3,Q7"
100121,山田亚弓,5,0,5,0,5,0,2,17,,17,"Q2,Q4,Q6"
100122,花本育,0,0,5,0,5,0,0,10,,10,"Q1,Q2,Q4,Q6,Q7"
100123,野田惠,5,5,0,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6,Q7"
100124,千秋真一,5,5,5,5,5,0,3,28,,28,Q6
100125,奥山真澄,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7"
100126,峰龙太郎,5,0,5,0,5,0,3,18,,18,"Q2,Q4,Q6"
100127,日野香穗子,5,5,5,5,5,6,0,31,,31,Q7
100128,月森莲,0,0,0,5,0,6,0,11,,11,"Q1,Q2,Q3,Q5,Q7"
100129,土浦梁太郎,5,0,0,0,5,6,0,16,,16,"Q2,Q3,Q4,Q7"
100130,志水桂一,0,5,5,5,5,6,3,29,,29,Q1
100131,泷岛彗,5,0,5,5,5,0,6,26,,26,"Q2,Q6"
100132,华园光,5,5,0,0,5,0,6,21,,21,"Q3,Q4,Q6"
100133,杂贺八寻,5,5,0,0,0,6,6,22,,22,"Q3,Q4,Q5"
100134,狩野宙,0,0,5,5,5,0,3,18,,18,"Q1,Q2,Q6"
100135,鲇泽美咲,0,5,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7"
100136,碓冰拓海,0,0,5,5,5,0,0,15,,15,"Q1,Q2,Q6,Q7"
100137,花园樱,5,5,0,0,0,0,6,16,,16,"Q3,Q4,Q5,Q6"
100138,加贺静子,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7"
100139,藤冈春绯,5,5,5,5,5,0,6,31,,31,Q6
100140,须王环,5,0,5,5,0,0,0,15,,15,"Q2,Q5,Q6,Q7"
100141,凤镜夜,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7"
100142,常陆院光,5,5,0,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6,Q7"
100143,常陆院馨,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7"
100144,冢本天满,5,0,0,0,5,0,0,10,,10,"Q2,Q3,Q4,Q6,Q7"
100145,播磨拳儿,0,5,5,5,0,3,0,18,,18,"Q1,Q5,Q7"
100146,泽近爱理,0,5,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7"
100147,周防美琴,5,0,5,0,0,0,0,10,,10,"Q2,Q4,Q5,Q6,Q7"
100148,宫前佳奈子,5,5,0,0,0,0,6,16,,16,"Q3,Q4,Q5,Q6"
100149,祇堂鞠也,0,0,5,5,5,2,3,20,,20,"Q1,Q2"
100150,汐王寺茉莉花,5,5,5,5,5,2,2,29,,29,
