考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,0,5,0,5,5,0,5,5,0,0,6,0,0,5,4,5,5,6,4,36,24,60,"Q1,Q3,Q6,Q9,Q10,Q12,Q13"
100202,流川枫,5,5,5,5,0,5,5,0,0,6,4,0,0,5,6,6,6,9,5,45,32,77,"Q5,Q8,Q9,Q12,Q13"
100203,赤木刚宪,5,5,5,5,5,5,5,5,6,0,6,5,0,5,10,13,12,9,9,62,53,115,"Q10,Q13"
100204,三井寿,0,0,5,0,5,5,5,5,0,0,6,5,5,0,8,6,7,7,9,41,37,78,"Q1,Q2,Q4,Q9,Q10,Q14"
100205,宫城良田,0,0,5,5,5,5,5,0,3,0,2,0,0,5,6,7,6,7,8,35,34,69,"Q1,Q2,Q8,Q10,Q12,Q13"
100206,木暮公延,5,5,0,5,5,5,5,0,3,3,6,5,5,5,8,8,7,13,11,57,47,104,"Q3,Q8"
100207,彩子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2,0,13,13,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100208,赤木晴子,5,5,0,0,5,0,5,0,0,3,0,0,0,0,3,6,6,4,6,23,25,48,"Q3,Q4,Q6,Q8,Q9,Q11,Q12,Q13,Q14"
100209,仙道彰,5,5,5,0,5,0,5,0,6,4,0,0,5,0,5,3,5,6,4,40,23,63,"Q4,Q6,Q8,Q11,Q12,Q14"
100210,藤真健司,5,0,5,5,0,5,0,5,4,6,6,5,0,5,8,7,9,9,9,51,42,93,"Q2,Q5,Q7,Q13"
100211,牧绅一,5,0,0,0,0,5,5,0,0,0,0,0,0,5,4,5,5,4,6,20,24,44,"Q2,Q3,Q4,Q5,Q8,Q9,Q10,Q11,Q12,Q13"
100212,清田信长,5,5,5,5,5,5,5,5,6,0,6,0,5,5,10,13,11,10,10,62,54,116,"Q10,Q12"
100213,神宗一郎,5,5,5,5,0,0,5,5,6,0,2,0,5,5,9,6,12,12,12,48,51,99,"Q5,Q6,Q10,Q12"
100214,鱼住纯,5,5,5,5,0,5,5,5,0,6,0,0,0,0,3,5,4,6,7,41,25,66,"Q5,Q9,Q11,Q12,Q13,Q14"
100215,福田吉兆,0,5,0,0,5,5,0,5,0,6,0,5,5,5,4,6,5,8,8,41,31,72,"Q1,Q3,Q4,Q7,Q9,Q11"
100216,河田雅史,0,5,5,0,5,5,5,0,0,0,0,0,5,5,4,3,4,6,4,35,21,56,"Q1,Q4,Q8,Q9,Q10,Q11,Q12"
100217,泽北荣治,5,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,3,3,3,8,14,22,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14"
100218,深津一成,5,0,0,5,0,0,0,0,0,0,0,5,5,0,4,7,7,6,6,20,30,50,"Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q14"
100219,松本稔,5,5,0,0,0,0,5,5,0,6,0,5,0,5,5,7,6,7,7,36,32,68,"Q3,Q4,Q5,Q6,Q9,Q11,Q13"
