考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,5,5,0,0,5,3,4,0,0,27,,27,"Q4,Q5,Q9,Q10"
100102,影山飞雄,5,5,5,5,0,5,3,0,0,6,34,,34,"Q5,Q8,Q9"
100103,黑子哲也,5,0,0,5,0,5,0,4,6,6,31,,31,"Q2,Q3,Q5,Q7"
100104,越前龙马,0,5,5,5,5,5,0,6,6,0,37,,37,"Q1,Q7,Q10"
100105,洁世一,0,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100106,星野裕,5,5,5,5,5,5,6,6,6,3,51,,51,
100107,月本诚,0,5,5,5,5,0,0,0,6,6,32,,32,"Q1,Q6,Q7,Q8"
100108,风间龙一,0,0,0,5,0,0,0,6,0,4,15,,15,"Q1,Q2,Q3,Q5,Q6,Q7,Q9"
100109,佐久间学,0,0,0,0,5,0,0,0,6,0,11,,11,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q10"
100110,矢口八虎,0,0,5,5,5,0,0,6,6,0,27,,27,"Q1,Q2,Q6,Q7,Q10"
100111,高桥世田介,5,5,0,5,5,5,0,0,0,6,31,,31,"Q3,Q7,Q8,Q9"
100112,桥田悠,0,0,5,5,0,0,0,0,0,6,16,,16,"Q1,Q2,Q5,Q6,Q7,Q8,Q9"
100113,桑名真希,0,0,0,0,0,0,0,0,6,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10"
100114,进藤光,0,5,5,5,5,5,0,6,6,6,43,,43,"Q1,Q7"
100115,塔矢亮,5,0,5,0,0,5,4,0,6,0,25,,25,"Q2,Q4,Q5,Q8,Q10"
100116,藤原佐为,0,0,5,0,5,0,4,0,0,6,20,,20,"Q1,Q2,Q4,Q6,Q8,Q9"
100117,和谷义高,0,5,5,5,5,5,0,0,6,0,31,,31,"Q1,Q7,Q8,Q10"
100118,竹本祐太,5,5,5,5,0,5,6,6,0,6,43,,43,"Q5,Q9"
100119,森田忍,5,5,0,5,5,5,6,0,6,3,40,,40,"Q3,Q8"
100120,真山巧,5,0,5,5,5,5,6,6,6,6,49,,49,Q2
100121,山田亚弓,5,5,5,0,5,5,0,6,6,6,43,,43,"Q4,Q7"
100122,花本育,0,0,5,0,5,0,6,0,0,0,16,,16,"Q1,Q2,Q4,Q6,Q8,Q9,Q10"
100123,野田惠,0,0,0,5,5,0,0,0,6,0,16,,16,"Q1,Q2,Q3,Q6,Q7,Q8,Q10"
100124,千秋真一,5,5,5,5,5,5,6,0,6,6,48,,48,Q8
100125,奥山真澄,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10"
100126,峰龙太郎,5,0,0,0,0,0,0,0,6,0,11,,11,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10"
100127,日野香穗子,5,5,5,0,5,5,0,6,3,3,37,,37,"Q4,Q7"
100128,月森莲,0,0,0,0,0,5,6,0,0,0,11,,11,"Q1,Q2,Q3,Q4,Q5,Q8,Q9,Q10"
