考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,0,5,0,0,5,5,5,5,5,3,0,33,,33,"Q1,Q3,Q4,Q11"
100002,日代千鹤,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100003,高坂京介,0,5,0,5,5,5,0,5,0,0,6,31,,31,"Q1,Q3,Q7,Q9,Q10"
100004,高坂桐乃,0,5,5,0,5,0,5,5,0,0,6,31,,31,"Q1,Q4,Q6,Q9,Q10"
100005,逢坂大河,5,0,5,5,5,5,5,5,5,0,0,40,,40,"Q2,Q10,Q11"
100006,牧之原翔子,5,5,5,5,0,0,5,5,5,0,3,38,,38,"Q5,Q6,Q10"
100007,折木奉太郎,5,5,5,5,0,5,5,5,5,6,0,46,,46,"Q5,Q11"
100008,千反田爱瑠,0,0,5,0,0,0,5,0,0,0,0,10,,10,"Q1,Q2,Q4,Q5,Q6,Q8,Q9,Q10,Q11"
100009,福部里志,5,0,5,5,5,5,5,0,5,2,2,39,,39,"Q2,Q8"
100010,伊原摩耶花,5,0,0,0,5,0,0,0,0,0,0,10,,10,"Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100011,凉宫春日,0,0,0,0,5,5,0,0,0,0,6,16,,16,"Q1,Q2,Q3,Q4,Q7,Q8,Q9,Q10"
100012,长门有希,5,5,0,5,0,5,5,0,0,6,6,37,,37,"Q3,Q5,Q8,Q9"
100013,朝比奈实玖瑠,0,5,0,5,5,0,0,0,0,0,0,15,,15,"Q1,Q3,Q6,Q7,Q8,Q9,Q10,Q11"
100014,古泉一树,0,5,0,5,5,0,5,5,0,0,0,25,,25,"Q1,Q3,Q6,Q9,Q10,Q11"
100015,佐佐木,0,5,5,5,0,5,5,5,5,6,4,45,,45,"Q1,Q5"
100016,小鸟游六花,0,5,0,5,5,5,0,0,0,3,6,29,,29,"Q1,Q3,Q7,Q8,Q9"
100017,富樫勇太,5,0,0,0,0,5,5,0,0,0,6,21,,21,"Q2,Q3,Q4,Q5,Q8,Q9,Q10"
100018,丹生谷森夏,0,5,5,0,5,0,5,5,5,0,0,30,,30,"Q1,Q4,Q6,Q10,Q11"
100019,凸守早苗,0,5,5,5,5,5,0,5,5,0,6,41,,41,"Q1,Q7,Q10"
100020,七宫智音,5,0,0,0,0,0,0,0,0,0,6,11,,11,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100021,神田空太,0,5,5,5,5,5,5,0,5,0,0,35,,35,"Q1,Q8,Q10,Q11"
100022,椎名真白,0,0,0,5,0,5,0,5,5,6,0,26,,26,"Q1,Q2,Q3,Q5,Q7,Q11"
100023,青山七海,5,0,5,0,0,0,5,0,5,6,6,32,,32,"Q2,Q4,Q5,Q6,Q8"
100024,上井草美咲,0,0,0,0,0,0,0,0,0,3,0,3,,3,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11"
100025,三鹰仁,5,5,5,5,5,5,5,0,5,3,2,45,,45,Q8
100026,赤坂龙之介,0,0,0,5,5,5,0,0,0,0,6,21,,21,"Q1,Q2,Q3,Q7,Q8,Q9,Q10"
100027,绫小路清隆,0,0,0,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11"
100028,堀北铃音,0,5,5,5,0,0,0,0,0,0,0,15,,15,"Q1,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100029,栉田桔梗,5,0,0,5,5,5,5,0,5,6,3,39,,39,"Q2,Q3,Q8"
100030,轻井泽惠,5,0,5,0,0,5,0,5,0,3,0,23,,23,"Q2,Q4,Q5,Q7,Q9,Q11"
100031,一之濑帆波,5,5,5,5,5,5,5,5,5,3,6,54,,54,
100032,坂柳有栖,0,0,5,5,5,5,5,0,5,6,0,36,,36,"Q1,Q2,Q8,Q11"
100033,龙园翔,5,5,5,0,0,0,0,5,0,6,2,28,,28,"Q4,Q5,Q6,Q7,Q9"
100034,比企谷八幡,5,5,5,5,5,5,5,5,5,6,0,51,,51,Q11
100035,雪之下雪乃,5,0,0,0,5,0,0,5,5,2,0,22,,22,"Q2,Q3,Q4,Q6,Q7,Q11"
100036,由比滨结衣,5,5,5,5,5,5,5,0,5,6,0,46,,46,"Q8,Q11"
100037,一色彩羽,5,0,5,0,5,5,5,5,0,0,0,30,,30,"Q2,Q4,Q9,Q10,Q11"
100038,户冢彩加,0,5,5,5,5,5,0,0,5,6,0,36,,36,"Q1,Q7,Q8,Q11"
100039,平泽唯,5,5,5,0,5,5,5,5,5,0,6,46,,46,"Q4,Q10"
100040,秋山澪,5,5,0,0,0,0,5,0,0,0,6,21,,21,"Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100041,田井中律,5,5,5,5,5,5,5,5,0,6,0,46,,46,"Q9,Q11"
100042,琴吹䌷,0,0,0,0,5,0,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100043,中野梓,0,5,5,5,0,0,5,5,5,0,0,30,,30,"Q1,Q5,Q6,Q10,Q11"
100044,黄前久美子,5,0,5,5,0,0,5,0,5,0,0,25,,25,"Q2,Q5,Q6,Q8,Q10,Q11"
100045,高坂丽奈,0,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11"
100046,川岛绿辉,0,5,0,0,5,5,5,0,0,0,6,26,,26,"Q1,Q3,Q4,Q8,Q9,Q10"
100047,加藤叶月,0,0,5,0,0,5,0,0,5,0,0,15,,15,"Q1,Q2,Q4,Q5,Q7,Q8,Q10,Q11"
100048,田中明日香,5,0,0,0,0,5,5,0,5,0,0,20,,20,"Q2,Q3,Q4,Q5,Q8,Q10,Q11"
100049,伞木希美,0,5,5,5,5,5,0,0,5,0,0,30,,30,"Q1,Q7,Q8,Q10,Q11"
100050,铠冢霙,0,0,0,0,5,5,5,5,0,6,0,26,,26,"Q1,Q2,Q3,Q4,Q9,Q11"
