考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,0,5,5,0,5,0,6,3,6,0,30,,30,"Q1,Q4,Q6,Q10"
100002,日代千鹤,5,0,0,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100003,高坂京介,0,0,0,5,5,5,0,6,6,0,27,,27,"Q1,Q2,Q3,Q7,Q10"
100004,高坂桐乃,5,0,0,5,0,5,0,0,0,0,15,,15,"Q2,Q3,Q5,Q7,Q8,Q9,Q10"
100005,逢坂大河,5,5,5,5,5,5,0,0,0,6,36,,36,"Q7,Q8,Q9"
100006,牧之原翔子,5,5,0,0,5,5,6,6,0,0,32,,32,"Q3,Q4,Q9,Q10"
100007,折木奉太郎,5,5,5,5,5,5,6,0,3,0,39,,39,"Q8,Q10"
100008,千反田爱瑠,5,5,0,5,0,0,0,0,0,6,21,,21,"Q3,Q5,Q6,Q7,Q8,Q9"
100009,福部里志,0,0,5,0,0,5,6,0,0,0,16,,16,"Q1,Q2,Q4,Q5,Q8,Q9,Q10"
100010,伊原摩耶花,0,5,0,5,5,0,6,0,0,0,21,,21,"Q1,Q3,Q6,Q8,Q9,Q10"
100011,凉宫春日,0,0,0,0,5,0,0,6,0,0,11,,11,"Q1,Q2,Q3,Q4,Q6,Q7,Q9,Q10"
100012,长门有希,0,0,0,5,0,5,0,0,0,3,13,,13,"Q1,Q2,Q3,Q5,Q7,Q8,Q9"
100013,朝比奈实玖瑠,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10"
100014,古泉一树,0,0,0,0,0,0,4,6,0,0,10,,10,"Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10"
100015,佐佐木,5,5,5,5,5,0,6,6,6,3,46,,46,Q6
100016,小鸟游六花,5,5,0,0,5,0,6,6,0,6,33,,33,"Q3,Q4,Q6,Q9"
100017,富樫勇太,0,0,5,0,0,5,0,0,0,6,16,,16,"Q1,Q2,Q4,Q5,Q7,Q8,Q9"
100018,丹生谷森夏,5,5,5,0,5,5,0,6,0,0,31,,31,"Q4,Q7,Q9,Q10"
100019,凸守早苗,0,5,5,5,5,0,0,3,6,2,31,,31,"Q1,Q6,Q7"
100020,七宫智音,5,0,0,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100021,神田空太,5,0,5,0,5,0,6,6,0,2,29,,29,"Q2,Q4,Q6,Q9"
100022,椎名真白,0,5,5,0,5,5,6,6,0,6,38,,38,"Q1,Q4,Q9"
100023,青山七海,0,5,5,0,0,5,0,6,0,0,21,,21,"Q1,Q4,Q5,Q7,Q9,Q10"
100024,上井草美咲,5,5,5,0,0,0,0,0,0,4,19,,19,"Q4,Q5,Q6,Q7,Q8,Q9"
100025,三鹰仁,0,0,5,5,5,5,0,2,0,0,22,,22,"Q1,Q2,Q7,Q9,Q10"
100026,赤坂龙之介,0,0,5,5,0,5,0,6,0,0,21,,21,"Q1,Q2,Q5,Q7,Q9,Q10"
100027,绫小路清隆,0,5,0,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100028,堀北铃音,0,0,0,0,5,5,0,6,0,0,16,,16,"Q1,Q2,Q3,Q4,Q7,Q9,Q10"
100029,栉田桔梗,5,5,5,5,0,5,0,0,6,6,37,,37,"Q5,Q7,Q8"
100030,轻井泽惠,0,5,5,5,5,0,6,2,0,0,28,,28,"Q1,Q6,Q9,Q10"
100031,一之濑帆波,0,5,5,5,5,0,0,0,6,6,32,,32,"Q1,Q6,Q7,Q8"
100032,坂柳有栖,5,5,5,0,0,0,0,3,4,6,28,,28,"Q4,Q5,Q6,Q7"
100033,龙园翔,0,5,5,0,5,5,0,6,0,2,28,,28,"Q1,Q4,Q7,Q9"
100034,比企谷八幡,5,5,5,5,5,5,6,6,4,0,46,,46,Q10
100035,雪之下雪乃,0,5,5,5,5,5,6,0,6,6,43,,43,"Q1,Q8"
100036,由比滨结衣,0,5,0,5,5,5,0,0,3,0,23,,23,"Q1,Q3,Q7,Q8,Q10"
100037,一色彩羽,5,0,5,5,5,5,6,6,0,0,37,,37,"Q2,Q9,Q10"
100038,户冢彩加,5,0,5,5,5,5,0,4,0,6,35,,35,"Q2,Q7,Q9"
100039,平泽唯,5,5,5,0,0,5,0,0,6,6,32,,32,"Q4,Q5,Q7,Q8"
100040,秋山澪,5,5,5,5,5,0,6,0,6,6,43,,43,"Q6,Q8"
