考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,0,5,0,0,0,10,,10,"Q2,Q4,Q5,Q6"
100202,流川枫,5,5,5,0,0,0,15,,15,"Q4,Q5,Q6"
100203,赤木刚宪,5,5,5,6,6,3,30,,30,
100204,三井寿,5,5,0,6,2,6,24,,24,Q3
100205,宫城良田,5,5,0,0,6,6,22,,22,"Q3,Q4"
100206,木暮公延,5,5,5,3,0,3,21,,21,Q5
100207,彩子,0,0,0,6,0,0,6,,6,"Q1,Q2,Q3,Q5,Q6"
100208,赤木晴子,5,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6"
100209,仙道彰,0,0,0,2,6,0,8,,8,"Q1,Q2,Q3,Q6"
100210,藤真健司,5,5,0,6,6,0,22,,22,"Q3,Q6"
100211,牧绅一,5,5,5,6,0,6,27,,27,Q5
100212,清田信长,5,5,0,6,0,6,22,,22,"Q3,Q5"
100213,神宗一郎,5,5,5,6,6,5,32,,32,
100214,鱼住纯,5,0,5,0,0,3,13,,13,"Q2,Q4,Q5"
100215,福田吉兆,0,0,5,0,0,6,11,,11,"Q1,Q2,Q4,Q5"
100216,河田雅史,0,0,0,0,6,0,6,,6,"Q1,Q2,Q3,Q4,Q6"
100217,泽北荣治,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5"
100218,深津一成,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5"
100219,松本稔,0,5,5,2,6,0,18,,18,"Q1,Q6"
100220,野边将广,5,0,5,6,0,2,18,,18,"Q2,Q5"
100221,日向翔阳,0,5,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6"
100222,影山飞雄,5,5,5,0,0,0,15,,15,"Q4,Q5,Q6"
100223,泽村大地,0,0,0,6,0,0,6,,6,"Q1,Q2,Q3,Q5,Q6"
100224,菅原孝支,0,0,0,0,3,6,9,,9,"Q1,Q2,Q3,Q4"
100225,缘下力,5,5,5,0,0,6,21,,21,"Q4,Q5"
100226,西谷夕,0,0,5,0,3,0,8,,8,"Q1,Q2,Q4,Q6"
100227,东峰旭,0,0,0,0,6,0,6,,6,"Q1,Q2,Q3,Q4,Q6"
100228,月岛萤,5,0,5,6,6,0,22,,22,"Q2,Q6"
100229,山口忠,5,5,5,6,6,4,31,,31,
100230,及川彻,0,0,5,3,0,4,12,,12,"Q1,Q2,Q5"
100231,岩泉一,5,0,5,6,6,0,22,,22,"Q2,Q6"
100232,黑尾铁朗,5,0,5,0,0,4,14,,14,"Q2,Q4,Q5"
100233,孤爪研磨,5,5,0,0,6,6,22,,22,"Q3,Q4"
100234,木兔光太郎,5,0,5,0,0,6,16,,16,"Q2,Q4,Q5"
100235,赤苇京治,5,5,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6"
100236,牛岛若利,0,0,5,6,6,6,23,,23,"Q1,Q2"
100237,天童觉,0,0,5,0,0,6,11,,11,"Q1,Q2,Q4,Q5"
100238,星海光来,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100239,佐久早圣臣,0,5,0,0,4,0,9,,9,"Q1,Q3,Q4,Q6"
100240,宫侑,5,0,0,3,0,0,8,,8,"Q2,Q3,Q5,Q6"
100241,幸平创真,5,0,5,6,6,6,28,,28,Q2
100242,薙切绘里奈,0,0,5,0,6,3,14,,14,"Q1,Q2,Q4"
100243,田所惠,5,5,5,0,3,0,18,,18,"Q4,Q6"
100244,塔克米阿尔迪尼,5,0,0,2,6,0,13,,13,"Q2,Q3,Q6"
100245,伊萨米阿尔迪尼,5,5,5,0,6,6,27,,27,Q4
100246,幸平城一郎,0,0,5,6,0,6,17,,17,"Q1,Q2,Q5"
100247,堂岛银,5,5,5,6,6,3,30,,30,
100248,四宫小次郎,5,0,0,6,3,0,14,,14,"Q2,Q3,Q6"
100249,水户郁魅,5,5,0,6,0,0,16,,16,"Q3,Q5,Q6"
100250,吉野悠姬,5,5,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6"
