考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,0,0,5,0,6,0,11,,11,"Q1,Q2,Q4,Q6"
100102,影山飞雄,0,5,5,5,0,3,18,,18,"Q1,Q5"
100103,黑子哲也,0,0,0,5,6,6,17,,17,"Q1,Q2,Q3"
100104,越前龙马,0,0,5,0,6,3,14,,14,"Q1,Q2,Q4"
100105,洁世一,0,5,5,0,3,6,19,,19,"Q1,Q4"
100106,星野裕,5,0,5,0,6,3,19,,19,"Q2,Q4"
100107,月本诚,0,0,0,0,6,6,12,,12,"Q1,Q2,Q3,Q4"
100108,风间龙一,5,5,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6"
100109,佐久间学,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5"
100110,矢口八虎,5,0,5,5,6,6,27,,27,Q2
100111,高桥世田介,5,5,5,5,0,4,24,,24,Q5
100112,桥田悠,0,0,5,0,2,0,7,,7,"Q1,Q2,Q4,Q6"
100113,桑名真希,5,0,0,5,0,0,10,,10,"Q2,Q3,Q5,Q6"
100114,进藤光,5,5,0,5,0,0,15,,15,"Q3,Q5,Q6"
100115,塔矢亮,0,5,5,0,3,0,13,,13,"Q1,Q4,Q6"
100116,藤原佐为,0,5,0,5,3,3,16,,16,"Q1,Q3"
100117,和谷义高,5,5,5,0,6,0,21,,21,"Q4,Q6"
100118,竹本祐太,5,5,5,5,0,0,20,,20,"Q5,Q6"
100119,森田忍,0,0,0,5,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6"
100120,真山巧,5,5,5,5,6,3,29,,29,
100121,山田亚弓,5,5,5,5,6,0,26,,26,Q6
100122,花本育,0,0,0,0,6,6,12,,12,"Q1,Q2,Q3,Q4"
100123,野田惠,0,0,5,0,6,0,11,,11,"Q1,Q2,Q4,Q6"
100124,千秋真一,0,5,5,5,0,6,21,,21,"Q1,Q5"
100125,奥山真澄,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100126,峰龙太郎,0,5,5,5,6,0,21,,21,"Q1,Q6"
100127,日野香穗子,5,5,0,0,0,6,16,,16,"Q3,Q4,Q5"
100128,月森莲,0,0,5,5,0,6,16,,16,"Q1,Q2,Q5"
100129,土浦梁太郎,5,5,5,5,0,0,20,,20,"Q5,Q6"
100130,志水桂一,5,5,0,5,0,3,18,,18,"Q3,Q5"
100131,泷岛彗,0,5,5,5,6,3,24,,24,Q1
100132,华园光,0,5,0,5,3,0,13,,13,"Q1,Q3,Q6"
100133,杂贺八寻,5,0,0,0,3,0,8,,8,"Q2,Q3,Q4,Q6"
100134,狩野宙,5,5,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6"
100135,鲇泽美咲,0,5,5,0,0,0,10,,10,"Q1,Q4,Q5,Q6"
100136,碓冰拓海,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5"
100137,花园樱,0,0,5,5,0,0,10,,10,"Q1,Q2,Q5,Q6"
100138,加贺静子,0,5,5,0,6,0,16,,16,"Q1,Q4,Q6"
100139,藤冈春绯,0,0,5,5,3,6,19,,19,"Q1,Q2"
100140,须王环,0,0,0,5,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6"
100141,凤镜夜,5,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6"
100142,常陆院光,0,5,0,0,0,6,11,,11,"Q1,Q3,Q4,Q5"
100143,常陆院馨,0,5,0,0,0,6,11,,11,"Q1,Q3,Q4,Q5"
100144,冢本天满,0,0,5,0,2,0,7,,7,"Q1,Q2,Q4,Q6"
100145,播磨拳儿,5,0,5,5,0,0,15,,15,"Q2,Q5,Q6"
100146,泽近爱理,0,0,0,5,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6"
100147,周防美琴,0,0,5,5,0,0,10,,10,"Q1,Q2,Q5,Q6"
100148,宫前佳奈子,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100149,祇堂鞠也,5,5,5,0,6,6,27,,27,Q4
100150,汐王寺茉莉花,5,5,5,5,0,3,23,,23,Q5
