考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,0,5,5,5,5,5,5,5,3,6,0,5,5,5,8,7,8,10,7,59,40,99,"Q1,Q11"
100002,日代千鹤,0,5,0,0,0,0,0,0,0,0,0,0,5,0,2,2,2,3,3,10,12,22,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14"
100003,高坂京介,5,5,5,0,0,0,5,5,0,0,6,0,0,5,3,6,4,5,5,36,23,59,"Q4,Q5,Q6,Q9,Q10,Q12,Q13"
100004,高坂桐乃,5,5,0,0,5,0,5,0,0,6,6,5,0,0,4,5,5,6,4,37,24,61,"Q3,Q4,Q6,Q8,Q9,Q13,Q14"
100005,逢坂大河,5,5,5,5,5,5,5,5,6,0,4,5,0,5,6,7,8,10,12,60,43,103,"Q10,Q13"
100006,牧之原翔子,0,5,5,5,5,0,0,0,6,6,3,0,0,5,7,6,7,9,8,40,37,77,"Q1,Q6,Q7,Q8,Q12,Q13"
100007,折木奉太郎,5,5,5,5,5,5,5,0,6,4,4,5,5,5,11,9,8,8,10,64,46,110,Q8
100008,千反田爱瑠,0,0,0,0,0,0,5,5,0,0,0,0,5,5,3,3,4,3,3,20,16,36,"Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12"
100009,福部里志,5,0,0,0,5,0,5,5,0,6,4,5,5,5,3,8,8,8,5,45,32,77,"Q2,Q3,Q4,Q6,Q9"
100010,伊原摩耶花,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,3,2,3,5,13,18,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100011,凉宫春日,0,0,5,5,0,0,0,5,0,6,0,0,5,0,3,3,5,5,4,26,20,46,"Q1,Q2,Q5,Q6,Q7,Q9,Q11,Q12,Q14"
100012,长门有希,5,5,0,0,5,0,0,5,0,6,0,5,5,5,4,6,9,7,8,41,34,75,"Q3,Q4,Q6,Q7,Q9,Q11"
100013,朝比奈实玖瑠,0,0,5,5,0,0,0,5,0,0,6,0,0,5,3,2,3,3,2,26,13,39,"Q1,Q2,Q5,Q6,Q7,Q9,Q10,Q12,Q13"
100014,古泉一树,0,0,0,0,0,0,5,0,0,0,0,5,0,5,4,3,5,4,5,15,21,36,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q13"
100015,佐佐木,5,5,0,5,0,5,5,5,6,6,0,5,0,5,7,6,5,9,10,52,37,89,"Q3,Q5,Q11,Q13"
100016,小鸟游六花,5,0,5,5,5,0,0,5,0,0,0,0,5,5,8,6,6,8,7,35,35,70,"Q2,Q6,Q7,Q9,Q10,Q11,Q12"
100017,富樫勇太,0,5,0,0,5,5,0,0,0,0,0,0,0,0,3,4,4,5,5,15,21,36,"Q1,Q3,Q4,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100018,丹生谷森夏,5,0,0,0,5,5,0,5,6,6,6,5,5,0,7,9,7,8,9,48,40,88,"Q2,Q3,Q4,Q7,Q14"
100019,凸守早苗,5,0,5,5,5,5,5,5,0,6,6,5,5,0,10,7,7,7,9,57,40,97,"Q2,Q9,Q14"
100020,七宫智音,0,5,0,0,0,0,5,0,0,0,6,0,0,0,2,2,2,2,3,16,11,27,"Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q12,Q13,Q14"
100021,神田空太,5,5,5,0,0,5,5,5,0,4,0,5,5,0,6,10,11,11,12,44,50,94,"Q4,Q5,Q9,Q11,Q14"
100022,椎名真白,5,5,5,5,5,0,0,0,6,2,6,5,0,5,8,7,6,8,9,49,38,87,"Q6,Q7,Q8,Q13"
100023,青山七海,5,0,0,5,5,0,5,5,6,6,6,5,5,5,4,4,6,4,6,58,24,82,"Q2,Q3,Q6"
100024,上井草美咲,0,5,0,0,0,0,0,5,6,6,6,5,0,0,3,3,3,4,3,33,16,49,"Q1,Q3,Q4,Q5,Q6,Q7,Q13,Q14"
100025,三鹰仁,5,5,5,5,5,5,5,5,6,6,6,5,5,5,11,8,13,8,13,73,53,126,
100026,赤坂龙之介,0,0,5,0,5,0,5,0,0,0,0,5,0,0,3,5,4,8,7,20,27,47,"Q1,Q2,Q4,Q6,Q8,Q9,Q10,Q11,Q13,Q14"
100027,绫小路清隆,5,5,5,5,5,5,5,5,2,6,6,5,5,5,10,13,11,14,12,69,60,129,
100028,堀北铃音,5,5,5,0,5,5,5,5,0,6,6,5,5,5,6,9,8,13,12,62,48,110,"Q4,Q9"
100029,栉田桔梗,5,0,5,5,0,5,5,5,0,3,0,5,5,0,10,7,6,7,13,43,43,86,"Q2,Q5,Q9,Q11,Q14"
100030,轻井泽惠,0,5,5,5,5,5,5,5,6,0,0,5,5,0,5,6,8,8,12,51,39,90,"Q1,Q10,Q11,Q14"
100031,一之濑帆波,5,5,5,5,5,5,5,5,2,0,4,5,5,5,7,12,9,13,11,61,52,113,Q10
100032,坂柳有栖,5,5,5,5,5,5,5,5,0,6,0,5,5,5,9,13,8,13,12,61,55,116,"Q9,Q11"
100033,龙园翔,0,0,0,5,0,5,5,5,0,3,3,5,5,5,5,11,10,9,11,41,46,87,"Q1,Q2,Q3,Q5,Q9"
100034,比企谷八幡,5,5,0,5,5,5,5,5,0,6,6,5,5,5,11,9,7,11,12,62,50,112,"Q3,Q9"
100035,雪之下雪乃,0,0,0,0,5,5,0,0,0,0,6,5,5,5,4,5,4,5,8,31,26,57,"Q1,Q2,Q3,Q4,Q7,Q8,Q9,Q10"
100036,由比滨结衣,0,5,5,5,5,5,5,0,0,6,0,0,0,0,6,5,8,8,10,36,37,73,"Q1,Q8,Q9,Q11,Q12,Q13,Q14"
100037,一色彩羽,5,5,0,5,5,5,0,5,3,6,3,5,5,0,6,9,10,14,12,52,51,103,"Q3,Q7,Q14"
100038,户冢彩加,0,0,5,5,0,5,5,0,6,6,0,5,5,0,8,7,6,9,8,42,38,80,"Q1,Q2,Q5,Q8,Q11,Q14"
100039,平泽唯,5,5,5,5,5,5,5,5,6,6,6,5,5,5,10,10,8,12,12,73,52,125,
100040,秋山澪,5,5,0,5,5,0,5,5,6,0,6,5,5,5,7,6,7,9,9,57,38,95,"Q3,Q6,Q10"
100041,田井中律,5,5,0,0,5,5,0,5,0,3,6,5,5,5,8,10,9,10,11,49,48,97,"Q3,Q4,Q7,Q9"
100042,琴吹䌷,5,0,0,5,0,5,5,5,0,0,0,0,0,5,2,2,2,3,2,30,11,41,"Q2,Q3,Q5,Q9,Q10,Q11,Q12,Q13"
100043,中野梓,5,0,5,0,0,0,0,0,0,0,0,5,5,5,5,5,4,4,5,25,23,48,"Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100044,黄前久美子,0,0,5,5,0,5,0,0,6,0,0,0,0,5,3,5,4,4,5,26,21,47,"Q1,Q2,Q5,Q7,Q8,Q10,Q11,Q12,Q13"
100045,高坂丽奈,0,0,5,0,0,0,5,0,0,0,0,0,5,0,2,2,3,3,4,15,14,29,"Q1,Q2,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q14"
100046,川岛绿辉,0,0,0,5,0,5,0,5,0,3,0,5,0,5,4,3,3,4,6,28,20,48,"Q1,Q2,Q3,Q5,Q7,Q9,Q11,Q13"
100047,加藤叶月,0,0,0,0,0,5,5,5,0,6,0,0,0,0,2,3,2,4,3,21,14,35,"Q1,Q2,Q3,Q4,Q5,Q9,Q11,Q12,Q13,Q14"
100048,田中明日香,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,6,6,4,5,5,26,31,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11,Q12,Q13,Q14"
