考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,0,5,0,0,5,5,5,0,2,0,0,0,5,5,7,5,6,9,9,32,36,68,"Q1,Q3,Q4,Q8,Q10,Q11,Q12"
100102,影山飞雄,0,5,5,5,5,5,0,5,6,0,0,5,5,5,8,6,10,6,10,51,40,91,"Q1,Q7,Q10,Q11"
100103,黑子哲也,0,0,5,5,0,5,5,0,0,6,0,5,5,0,6,7,5,7,9,36,34,70,"Q1,Q2,Q5,Q8,Q9,Q11,Q14"
100104,越前龙马,5,5,5,5,5,5,0,5,0,0,6,0,0,0,6,7,5,9,5,41,32,73,"Q7,Q9,Q10,Q12,Q13,Q14"
100105,洁世一,5,0,5,0,5,0,0,0,6,0,0,0,0,5,5,4,5,6,5,26,25,51,"Q2,Q4,Q6,Q7,Q8,Q10,Q11,Q12,Q13"
100106,星野裕,5,5,5,5,5,0,5,5,6,0,0,5,5,5,7,10,11,13,7,56,48,104,"Q6,Q10,Q11"
100107,月本诚,5,0,0,0,0,0,5,5,6,0,0,0,0,0,4,5,6,6,4,21,25,46,"Q2,Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q13,Q14"
100108,风间龙一,0,5,0,0,0,0,5,0,0,0,0,0,0,0,4,4,3,4,3,10,18,28,"Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100109,佐久间学,5,5,0,0,0,0,5,0,0,0,0,5,0,5,3,4,4,5,4,25,20,45,"Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q13"
100110,矢口八虎,0,5,5,5,5,5,0,5,6,6,6,0,5,0,5,6,8,6,9,53,34,87,"Q1,Q7,Q12,Q14"
100111,高桥世田介,5,5,5,5,0,5,5,5,6,6,6,5,5,5,7,8,13,10,11,68,49,117,Q5
100112,桥田悠,5,0,0,0,5,0,0,0,0,0,0,5,0,0,7,8,5,6,6,15,32,47,"Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q13,Q14"
100113,桑名真希,0,5,0,0,0,5,0,5,0,0,6,5,0,5,3,3,2,3,2,31,13,44,"Q1,Q3,Q4,Q5,Q7,Q9,Q10,Q13"
100114,进藤光,5,0,0,0,0,0,0,0,0,3,6,0,0,0,4,4,4,3,6,14,21,35,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q12,Q13,Q14"
100115,塔矢亮,0,0,5,5,0,0,0,5,0,0,0,0,5,0,2,3,3,4,3,20,15,35,"Q1,Q2,Q5,Q6,Q7,Q9,Q10,Q11,Q12,Q14"
100116,藤原佐为,0,0,0,5,0,0,0,5,0,3,6,5,5,5,6,5,4,6,7,34,28,62,"Q1,Q2,Q3,Q5,Q6,Q7,Q9"
100117,和谷义高,5,5,0,0,0,5,0,0,0,0,0,0,5,0,4,7,4,6,8,20,29,49,"Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q14"
100118,竹本祐太,5,5,5,5,5,5,5,5,0,6,0,5,5,5,11,8,11,9,15,61,54,115,"Q9,Q11"
100119,森田忍,5,5,0,5,5,0,5,0,0,0,0,0,5,0,5,7,5,5,8,30,30,60,"Q3,Q6,Q8,Q9,Q10,Q11,Q12,Q14"
100120,真山巧,5,5,5,5,0,5,0,5,6,6,6,5,5,5,8,11,10,7,9,63,45,108,"Q5,Q7"
100121,山田亚弓,5,5,0,0,0,0,5,5,0,0,3,5,5,5,8,10,8,11,9,38,46,84,"Q3,Q4,Q5,Q6,Q9,Q10"
