考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,5,0,0,0,6,2,0,18,,18,"Q3,Q4,Q5,Q8"
100102,影山飞雄,0,0,5,5,6,3,6,0,25,,25,"Q1,Q2,Q8"
100103,黑子哲也,5,0,5,5,6,6,0,0,27,,27,"Q2,Q7,Q8"
100104,越前龙马,5,0,5,0,6,6,0,6,28,,28,"Q2,Q4,Q7"
100105,洁世一,0,5,5,0,0,6,6,0,22,,22,"Q1,Q4,Q5,Q8"
100106,星野裕,5,5,5,5,6,2,0,0,28,,28,"Q7,Q8"
100107,月本诚,0,5,5,0,6,6,0,0,22,,22,"Q1,Q4,Q7,Q8"
100108,风间龙一,5,0,0,5,0,6,0,0,16,,16,"Q2,Q3,Q5,Q7,Q8"
100109,佐久间学,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8"
100110,矢口八虎,0,5,5,0,6,0,0,3,19,,19,"Q1,Q4,Q6,Q7"
100111,高桥世田介,0,0,5,5,3,6,4,3,26,,26,"Q1,Q2"
100112,桥田悠,5,0,5,0,0,6,0,6,22,,22,"Q2,Q4,Q5,Q7"
100113,桑名真希,5,0,5,5,0,0,0,0,15,,15,"Q2,Q5,Q6,Q7,Q8"
100114,进藤光,0,0,5,0,6,0,0,6,17,,17,"Q1,Q2,Q4,Q6,Q7"
100115,塔矢亮,0,0,5,5,0,0,0,0,10,,10,"Q1,Q2,Q5,Q6,Q7,Q8"
100116,藤原佐为,0,0,5,0,6,0,0,6,17,,17,"Q1,Q2,Q4,Q6,Q7"
100117,和谷义高,5,5,0,0,0,0,0,6,16,,16,"Q3,Q4,Q5,Q6,Q7"
100118,竹本祐太,5,5,5,5,6,3,0,4,33,,33,Q7
100119,森田忍,0,5,5,0,0,0,0,0,10,,10,"Q1,Q4,Q5,Q6,Q7,Q8"
100120,真山巧,5,5,0,5,3,0,0,6,24,,24,"Q3,Q6,Q7"
100121,山田亚弓,5,5,5,5,6,6,6,3,41,,41,
100122,花本育,5,0,0,5,0,6,3,6,25,,25,"Q2,Q3,Q5"
100123,野田惠,0,0,5,5,6,3,0,0,19,,19,"Q1,Q2,Q7,Q8"
100124,千秋真一,5,5,5,5,0,6,4,3,33,,33,Q5
100125,奥山真澄,0,0,0,0,0,0,6,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q8"
100126,峰龙太郎,0,0,0,0,6,6,6,6,24,,24,"Q1,Q2,Q3,Q4"
100127,日野香穗子,5,5,5,5,6,3,6,0,35,,35,Q8
100128,月森莲,5,0,5,0,0,0,2,0,12,,12,"Q2,Q4,Q5,Q6,Q8"
100129,土浦梁太郎,5,5,5,5,6,0,3,6,35,,35,Q6
100130,志水桂一,5,5,0,5,0,6,6,6,33,,33,"Q3,Q5"
100131,泷岛彗,5,5,5,5,0,6,0,4,30,,30,"Q5,Q7"
100132,华园光,0,5,5,0,6,0,0,6,22,,22,"Q1,Q4,Q6,Q7"
100133,杂贺八寻,0,0,5,0,0,4,0,6,15,,15,"Q1,Q2,Q4,Q5,Q7"
100134,狩野宙,5,5,0,5,0,0,0,0,15,,15,"Q3,Q5,Q6,Q7,Q8"
100135,鲇泽美咲,0,0,0,0,0,6,0,6,12,,12,"Q1,Q2,Q3,Q4,Q5,Q7"
100136,碓冰拓海,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8"
100137,花园樱,0,0,5,0,0,6,0,0,11,,11,"Q1,Q2,Q4,Q5,Q7,Q8"
100138,加贺静子,5,0,0,0,0,0,3,0,8,,8,"Q2,Q3,Q4,Q5,Q6,Q8"
100139,藤冈春绯,5,5,5,5,6,6,6,0,38,,38,Q8
100140,须王环,5,5,0,0,0,6,0,6,22,,22,"Q3,Q4,Q5,Q7"
100141,凤镜夜,5,5,0,0,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6,Q7,Q8"
100142,常陆院光,0,0,5,5,0,0,0,6,16,,16,"Q1,Q2,Q5,Q6,Q7"
100143,常陆院馨,5,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100144,冢本天满,0,5,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8"
100145,播磨拳儿,5,5,0,5,0,0,6,0,21,,21,"Q3,Q5,Q6,Q8"
100146,泽近爱理,0,5,0,0,6,0,0,6,17,,17,"Q1,Q3,Q4,Q6,Q7"
100147,周防美琴,0,0,0,0,2,0,0,0,2,,2,"Q1,Q2,Q3,Q4,Q6,Q7,Q8"
100148,宫前佳奈子,0,5,5,0,6,6,0,0,22,,22,"Q1,Q4,Q7,Q8"
100149,祇堂鞠也,5,5,0,5,0,6,0,2,23,,23,"Q3,Q5,Q7"
100150,汐王寺茉莉花,5,5,5,5,0,6,6,0,32,,32,"Q5,Q8"
