考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,0,0,5,5,5,5,5,5,0,6,6,5,5,5,7,5,10,9,9,57,40,97,"Q1,Q2,Q9"
100002,日代千鹤,0,0,0,0,0,5,0,0,0,0,0,0,5,5,2,3,2,2,3,15,12,27,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12"
100003,高坂京介,0,5,5,0,5,5,5,0,0,0,0,5,0,0,4,4,6,6,5,30,25,55,"Q1,Q4,Q8,Q9,Q10,Q11,Q13,Q14"
100004,高坂桐乃,0,0,0,0,0,0,5,5,0,0,0,0,5,0,4,5,4,5,4,15,22,37,"Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12,Q14"
100005,逢坂大河,0,0,5,0,0,5,5,0,6,0,6,5,5,5,6,7,11,8,8,42,40,82,"Q1,Q2,Q4,Q5,Q8,Q10"
100006,牧之原翔子,5,5,0,5,5,5,5,5,6,0,3,5,5,5,8,8,10,12,10,59,48,107,"Q3,Q10"
100007,折木奉太郎,5,5,5,5,5,5,5,5,0,0,4,0,5,5,6,12,7,12,8,54,45,99,"Q9,Q10,Q12"
100008,千反田爱瑠,0,0,0,5,5,0,0,0,3,0,0,5,0,0,2,4,3,4,3,18,16,34,"Q1,Q2,Q3,Q6,Q7,Q8,Q10,Q11,Q13,Q14"
100009,福部里志,0,5,0,5,0,5,0,5,0,0,6,0,0,0,4,8,5,8,8,26,33,59,"Q1,Q3,Q5,Q7,Q9,Q10,Q12,Q13,Q14"
100010,伊原摩耶花,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,3,0,14,14,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100011,凉宫春日,0,5,5,0,5,5,0,5,0,0,0,0,0,0,3,4,5,3,5,25,20,45,"Q1,Q4,Q7,Q9,Q10,Q11,Q12,Q13,Q14"
100012,长门有希,5,0,5,0,0,5,5,0,0,6,6,0,5,5,5,6,7,7,5,42,30,72,"Q2,Q4,Q5,Q8,Q9,Q12"
100013,朝比奈实玖瑠,5,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,3,4,3,10,14,24,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14"
