考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,0,5,0,5,0,5,5,5,5,5,0,0,35,,35,"Q1,Q3,Q5,Q11,Q12"
100002,日代千鹤,0,5,0,0,0,0,0,0,0,5,0,0,10,,10,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q12"
100003,高坂京介,5,0,0,5,0,0,0,0,5,5,6,0,26,,26,"Q2,Q3,Q5,Q6,Q7,Q8,Q12"
100004,高坂桐乃,0,0,0,5,5,0,5,0,5,5,0,6,31,,31,"Q1,Q2,Q3,Q6,Q8,Q11"
100005,逢坂大河,5,5,5,0,0,0,0,5,0,0,2,6,28,,28,"Q4,Q5,Q6,Q7,Q9,Q10"
100006,牧之原翔子,5,5,0,5,0,5,5,0,5,5,6,0,41,,41,"Q3,Q5,Q8,Q12"
100007,折木奉太郎,5,5,5,5,5,5,5,0,5,5,0,6,51,,51,"Q8,Q11"
100008,千反田爱瑠,0,5,0,0,5,5,0,0,0,5,0,0,20,,20,"Q1,Q3,Q4,Q7,Q8,Q9,Q11,Q12"
100009,福部里志,0,0,0,0,5,5,0,0,0,0,0,0,10,,10,"Q1,Q2,Q3,Q4,Q7,Q8,Q9,Q10,Q11,Q12"
100010,伊原摩耶花,0,0,0,0,5,5,0,0,5,0,0,0,15,,15,"Q1,Q2,Q3,Q4,Q7,Q8,Q10,Q11,Q12"
100011,凉宫春日,0,5,5,0,0,0,0,0,5,5,0,0,20,,20,"Q1,Q4,Q5,Q6,Q7,Q8,Q11,Q12"
100012,长门有希,0,0,5,0,5,5,0,0,5,5,6,6,37,,37,"Q1,Q2,Q4,Q7,Q8"
100013,朝比奈实玖瑠,0,0,0,0,0,5,0,5,0,0,0,0,10,,10,"Q1,Q2,Q3,Q4,Q5,Q7,Q9,Q10,Q11,Q12"
100014,古泉一树,0,0,0,0,0,5,0,0,5,5,0,0,15,,15,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q11,Q12"
100015,佐佐木,5,5,5,5,5,5,5,5,5,5,0,0,50,,50,"Q11,Q12"
100016,小鸟游六花,0,0,0,5,0,5,0,5,5,5,0,6,31,,31,"Q1,Q2,Q3,Q5,Q7,Q11"
100017,富樫勇太,0,0,5,0,0,0,5,0,0,0,6,0,16,,16,"Q1,Q2,Q4,Q5,Q6,Q8,Q9,Q10,Q12"
100018,丹生谷森夏,5,0,5,0,5,5,0,5,5,5,0,6,41,,41,"Q2,Q4,Q7,Q11"
100019,凸守早苗,0,5,5,5,5,5,0,5,5,5,6,0,46,,46,"Q1,Q7,Q12"
100020,七宫智音,0,5,0,0,0,0,0,0,5,0,0,0,10,,10,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12"
100021,神田空太,5,0,0,5,5,5,5,5,5,5,6,6,52,,52,"Q2,Q3"
100022,椎名真白,5,5,5,5,5,5,5,5,5,5,3,6,59,,59,
100023,青山七海,0,0,5,0,5,5,5,5,5,5,6,0,41,,41,"Q1,Q2,Q4,Q12"
100024,上井草美咲,0,0,0,5,5,5,0,5,0,0,0,0,20,,20,"Q1,Q2,Q3,Q7,Q9,Q10,Q11,Q12"
100025,三鹰仁,5,5,5,5,5,5,5,5,5,5,6,3,59,,59,
100026,赤坂龙之介,5,5,5,5,0,0,0,0,0,0,0,0,20,,20,"Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100027,绫小路清隆,0,0,5,0,0,0,0,0,0,0,0,3,8,,8,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100028,堀北铃音,0,0,5,0,0,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100029,栉田桔梗,5,5,5,5,5,5,5,5,0,5,6,6,57,,57,Q9
100030,轻井泽惠,0,5,0,5,0,0,5,5,0,5,3,0,28,,28,"Q1,Q3,Q5,Q6,Q9,Q12"
100031,一之濑帆波,5,0,5,5,5,5,0,5,5,5,4,0,44,,44,"Q2,Q7,Q12"
100032,坂柳有栖,5,5,0,5,5,5,5,5,5,0,2,6,48,,48,"Q3,Q10"
100033,龙园翔,5,0,0,5,5,5,5,5,5,0,0,0,35,,35,"Q2,Q3,Q10,Q11,Q12"
100034,比企谷八幡,5,5,5,5,5,5,0,5,0,5,0,6,46,,46,"Q7,Q9,Q11"
100035,雪之下雪乃,0,0,0,0,0,5,0,5,5,0,6,6,27,,27,"Q1,Q2,Q3,Q4,Q5,Q7,Q10"
100036,由比滨结衣,0,5,5,5,0,5,5,0,5,5,2,6,43,,43,"Q1,Q5,Q8"
100037,一色彩羽,5,5,5,5,5,5,0,5,0,5,6,0,46,,46,"Q7,Q9,Q12"
100038,户冢彩加,5,5,5,5,5,5,0,5,0,5,0,3,43,,43,"Q7,Q9,Q11"
100039,平泽唯,5,5,5,5,5,5,5,5,5,5,0,0,50,,50,"Q11,Q12"
100040,秋山澪,0,0,0,0,5,0,5,5,5,5,0,6,31,,31,"Q1,Q2,Q3,Q4,Q6,Q11"
100041,田井中律,5,0,0,5,5,0,5,0,5,5,3,0,33,,33,"Q2,Q3,Q6,Q8,Q12"
100042,琴吹䌷,0,0,0,0,5,0,0,0,5,5,6,0,21,,21,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q12"
100043,中野梓,5,5,0,0,0,0,5,5,5,0,0,0,25,,25,"Q3,Q4,Q5,Q6,Q10,Q11,Q12"
100044,黄前久美子,5,0,0,0,0,5,5,5,0,0,4,6,30,,30,"Q2,Q3,Q4,Q5,Q9,Q10"
100045,高坂丽奈,0,5,0,0,0,0,0,0,0,0,4,6,15,,15,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100046,川岛绿辉,0,0,0,5,0,0,0,0,0,5,2,0,12,,12,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q12"
100047,加藤叶月,0,0,0,0,5,5,0,0,0,0,6,6,22,,22,"Q1,Q2,Q3,Q4,Q7,Q8,Q9,Q10"
