考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,0,0,5,0,5,5,0,5,0,0,3,0,5,0,3,5,5,5,4,28,22,50,"Q1,Q2,Q4,Q7,Q9,Q10,Q12,Q14"
100202,流川枫,5,0,5,5,5,5,5,5,0,6,6,5,5,5,4,6,5,5,8,62,28,90,"Q2,Q9"
100203,赤木刚宪,5,0,5,5,5,5,5,5,6,6,6,5,5,5,6,7,7,15,9,68,44,112,Q2
100204,三井寿,0,0,5,0,5,0,5,5,6,0,0,0,0,5,5,9,10,9,11,31,44,75,"Q1,Q2,Q4,Q6,Q10,Q11,Q12,Q13"
100205,宫城良田,0,5,5,5,5,0,0,5,0,6,0,5,0,0,5,5,8,8,7,36,33,69,"Q1,Q6,Q7,Q9,Q11,Q13,Q14"
100206,木暮公延,0,0,5,5,5,5,5,5,3,6,4,5,0,5,8,9,6,11,12,53,46,99,"Q1,Q2,Q13"
100207,彩子,0,0,0,0,5,5,0,5,0,0,0,0,0,0,2,2,2,2,3,15,11,26,"Q1,Q2,Q3,Q4,Q7,Q9,Q10,Q11,Q12,Q13,Q14"
100208,赤木晴子,0,0,0,0,0,0,5,0,6,0,0,0,5,5,3,4,6,5,7,21,25,46,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q10,Q11,Q12"
100209,仙道彰,5,0,0,0,5,5,0,0,0,0,0,5,0,0,4,5,4,5,5,20,23,43,"Q2,Q3,Q4,Q7,Q8,Q9,Q10,Q11,Q13,Q14"
100210,藤真健司,5,5,5,5,5,5,5,5,6,3,3,5,5,5,5,8,9,10,7,67,39,106,
100211,牧绅一,5,0,0,0,0,0,5,0,6,6,0,5,0,5,5,5,4,5,6,32,25,57,"Q2,Q3,Q4,Q5,Q6,Q8,Q11,Q13"
100212,清田信长,0,5,5,5,5,5,5,0,6,6,2,5,5,5,9,6,7,11,10,59,43,102,"Q1,Q8"
100213,神宗一郎,0,5,5,5,5,5,5,5,0,0,6,5,5,5,9,10,9,9,11,56,48,104,"Q1,Q9,Q10"
100214,鱼住纯,0,5,5,0,5,0,5,0,2,0,0,0,5,5,5,4,6,6,7,32,28,60,"Q1,Q4,Q6,Q8,Q10,Q11,Q12"
100215,福田吉兆,0,0,5,5,0,5,0,0,0,0,3,0,0,0,6,7,4,8,5,18,30,48,"Q1,Q2,Q5,Q7,Q8,Q9,Q10,Q12,Q13,Q14"
100216,河田雅史,0,5,0,0,0,0,0,5,0,0,3,0,0,0,4,4,4,6,6,13,24,37,"Q1,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q12,Q13,Q14"
100217,泽北荣治,0,5,0,5,0,0,5,5,0,6,0,0,0,0,2,2,3,2,3,26,12,38,"Q1,Q3,Q5,Q6,Q9,Q11,Q12,Q13,Q14"
100218,深津一成,5,0,5,5,0,5,5,5,0,0,0,5,5,0,6,7,7,6,8,40,34,74,"Q2,Q5,Q9,Q10,Q11,Q14"
100219,松本稔,5,0,5,0,5,5,5,0,2,6,3,5,5,5,6,4,5,9,9,51,33,84,"Q2,Q4,Q8"
100220,野边将广,0,5,5,5,0,0,0,0,6,2,0,5,5,0,5,6,4,7,6,33,28,61,"Q1,Q5,Q6,Q7,Q8,Q11,Q14"
100221,日向翔阳,0,5,5,0,0,0,0,5,0,0,6,0,0,5,3,3,2,2,3,26,13,39,"Q1,Q4,Q5,Q6,Q7,Q9,Q10,Q12,Q13"
100222,影山飞雄,0,5,5,5,0,5,0,5,6,0,0,0,0,0,3,3,4,3,4,31,17,48,"Q1,Q5,Q7,Q10,Q11,Q12,Q13,Q14"
100223,泽村大地,5,5,0,0,5,5,0,0,0,0,0,0,0,5,5,4,5,4,4,25,22,47,"Q3,Q4,Q7,Q8,Q9,Q10,Q11,Q12,Q13"
100224,菅原孝支,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,2,5,15,20,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100225,缘下力,0,5,5,5,0,0,5,0,2,0,3,5,5,5,6,6,9,11,8,40,40,80,"Q1,Q5,Q6,Q8,Q10"
100226,西谷夕,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,3,4,5,5,19,24,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14"
100227,东峰旭,5,0,5,0,0,5,5,0,0,0,6,0,0,0,4,4,3,4,3,26,18,44,"Q2,Q4,Q5,Q8,Q9,Q10,Q12,Q13,Q14"
100228,月岛萤,5,5,5,5,5,5,5,5,0,6,6,5,5,5,7,12,10,16,10,67,55,122,Q9
100229,山口忠,0,5,0,5,5,5,5,5,0,4,6,5,5,5,10,13,11,16,11,55,61,116,"Q1,Q3,Q9"
100230,及川彻,5,5,5,5,0,5,5,0,0,6,2,5,5,5,5,7,8,9,7,53,36,89,"Q5,Q8,Q9"
100231,岩泉一,5,5,5,0,5,0,5,5,6,0,4,0,5,0,4,6,6,8,9,45,33,78,"Q4,Q6,Q10,Q12,Q14"
100232,黑尾铁朗,0,0,0,5,5,0,0,0,0,0,0,5,5,0,3,6,5,5,6,20,25,45,"Q1,Q2,Q3,Q6,Q7,Q8,Q9,Q10,Q11,Q14"
100233,孤爪研磨,5,5,5,5,5,5,5,5,0,6,6,0,5,5,7,11,7,12,13,62,50,112,"Q9,Q12"
100234,木兔光太郎,5,5,0,5,5,0,0,5,0,0,6,0,5,0,7,8,6,5,8,36,34,70,"Q3,Q6,Q7,Q9,Q10,Q12,Q14"
100235,赤苇京治,0,5,0,0,0,0,0,0,6,3,0,0,0,5,4,3,4,5,4,19,20,39,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q11,Q12,Q13"
100236,牛岛若利,0,0,0,5,5,0,5,0,0,6,2,5,5,5,6,7,6,8,8,38,35,73,"Q1,Q2,Q3,Q6,Q8,Q9"
100237,天童觉,5,5,0,0,0,0,5,0,0,0,0,0,0,5,4,3,3,6,5,20,21,41,"Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13"
100238,星海光来,0,0,5,5,0,0,0,0,0,0,0,0,5,0,4,3,3,3,3,15,16,31,"Q1,Q2,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14"
100239,佐久早圣臣,0,0,5,0,5,0,0,5,0,0,0,0,0,0,4,5,5,4,5,15,23,38,"Q1,Q2,Q4,Q6,Q7,Q9,Q10,Q11,Q12,Q13,Q14"
100240,宫侑,5,5,0,5,0,0,0,5,0,6,6,5,0,0,3,6,6,5,4,37,24,61,"Q3,Q5,Q6,Q7,Q9,Q13,Q14"
100241,幸平创真,0,0,0,0,0,5,5,5,0,6,6,5,0,0,6,5,4,5,7,32,27,59,"Q1,Q2,Q3,Q4,Q5,Q9,Q13,Q14"
100242,薙切绘里奈,5,5,5,0,0,0,5,0,0,0,0,0,0,5,4,5,5,5,7,25,26,51,"Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13"
100243,田所惠,5,5,5,5,5,5,5,5,6,6,6,5,5,5,8,12,7,13,13,73,53,126,
100244,塔克米阿尔迪尼,0,5,0,0,5,0,0,0,0,6,0,0,5,0,8,7,7,10,6,21,38,59,"Q1,Q3,Q4,Q6,Q7,Q8,Q9,Q11,Q12,Q14"
100245,伊萨米阿尔迪尼,0,0,5,0,0,5,5,5,0,0,6,5,5,5,6,5,9,9,8,41,37,78,"Q1,Q2,Q4,Q5,Q9,Q10"
100246,幸平城一郎,5,5,0,0,5,5,0,5,0,6,0,0,0,0,2,3,3,4,3,31,15,46,"Q3,Q4,Q7,Q9,Q11,Q12,Q13,Q14"
100247,堂岛银,0,0,5,5,5,0,5,0,6,4,0,5,5,5,8,6,9,10,10,45,43,88,"Q1,Q2,Q6,Q8,Q11"
100248,四宫小次郎,0,5,0,0,5,5,0,5,6,0,0,5,0,5,3,4,5,6,7,36,25,61,"Q1,Q3,Q4,Q7,Q10,Q11,Q13"
100249,水户郁魅,0,5,5,0,0,0,0,0,0,0,0,0,0,0,4,5,5,4,4,10,22,32,"Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100250,吉野悠姬,0,5,5,5,0,5,5,0,0,3,0,5,0,5,5,6,8,8,6,38,33,71,"Q1,Q5,Q8,Q9,Q11,Q13"
