考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,0,5,5,0,0,0,5,0,4,19,,19,"Q1,Q4,Q5,Q6,Q8"
100202,流川枫,0,5,5,0,0,5,0,3,0,18,,18,"Q1,Q4,Q5,Q7,Q9"
100203,赤木刚宪,5,5,5,5,5,5,5,6,5,46,,46,
100204,三井寿,5,5,5,5,5,5,5,0,6,41,,41,Q8
100205,宫城良田,5,5,5,0,0,0,5,3,0,23,,23,"Q4,Q5,Q6,Q9"
100206,木暮公延,5,0,5,5,5,5,5,6,6,42,,42,Q2
100207,彩子,0,0,0,5,5,0,0,0,0,10,,10,"Q1,Q2,Q3,Q6,Q7,Q8,Q9"
100208,赤木晴子,0,0,5,0,5,5,0,3,6,24,,24,"Q1,Q2,Q4,Q7"
100209,仙道彰,0,5,5,0,5,0,0,0,0,15,,15,"Q1,Q4,Q6,Q7,Q8,Q9"
100210,藤真健司,5,5,5,5,0,5,0,6,0,31,,31,"Q5,Q7,Q9"
100211,牧绅一,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9"
100212,清田信长,0,5,5,0,5,5,5,6,6,37,,37,"Q1,Q4"
100213,神宗一郎,5,5,5,5,0,5,5,6,0,36,,36,"Q5,Q9"
100214,鱼住纯,5,0,0,5,0,0,0,6,0,16,,16,"Q2,Q3,Q5,Q6,Q7,Q9"
100215,福田吉兆,0,5,0,0,0,0,5,6,0,16,,16,"Q1,Q3,Q4,Q5,Q6,Q9"
100216,河田雅史,0,0,5,5,5,0,0,0,0,15,,15,"Q1,Q2,Q6,Q7,Q8,Q9"
100217,泽北荣治,0,0,5,5,5,0,0,0,0,15,,15,"Q1,Q2,Q6,Q7,Q8,Q9"
100218,深津一成,5,0,0,0,5,0,5,0,6,21,,21,"Q2,Q3,Q4,Q6,Q8"
100219,松本稔,0,0,5,5,5,5,0,0,0,20,,20,"Q1,Q2,Q7,Q8,Q9"
100220,野边将广,5,5,0,0,0,0,5,6,0,21,,21,"Q3,Q4,Q5,Q6,Q9"
100221,日向翔阳,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9"
100222,影山飞雄,5,0,0,0,0,0,0,3,0,8,,8,"Q2,Q3,Q4,Q5,Q6,Q7,Q9"
100223,泽村大地,5,0,0,0,0,5,5,0,6,21,,21,"Q2,Q3,Q4,Q5,Q8"
100224,菅原孝支,0,5,0,0,0,5,0,0,0,10,,10,"Q1,Q3,Q4,Q5,Q7,Q8,Q9"
100225,缘下力,5,0,0,0,5,5,5,6,6,32,,32,"Q2,Q3,Q4"
100226,西谷夕,0,0,0,5,0,5,0,0,6,16,,16,"Q1,Q2,Q3,Q5,Q7,Q8"
100227,东峰旭,0,0,5,5,5,0,0,0,6,21,,21,"Q1,Q2,Q6,Q7,Q8"
100228,月岛萤,5,5,5,5,5,5,5,4,0,39,,39,Q9
100229,山口忠,5,5,5,5,5,5,5,6,3,44,,44,
100230,及川彻,5,0,0,5,0,5,5,6,0,26,,26,"Q2,Q3,Q5,Q9"
100231,岩泉一,5,0,5,5,0,5,0,3,0,23,,23,"Q2,Q5,Q7,Q9"
100232,黑尾铁朗,5,5,5,0,5,0,0,0,4,24,,24,"Q4,Q6,Q7,Q8"
100233,孤爪研磨,0,5,5,5,5,0,0,6,0,26,,26,"Q1,Q6,Q7,Q9"
100234,木兔光太郎,5,5,5,0,5,0,5,0,6,31,,31,"Q4,Q6,Q8"
100235,赤苇京治,5,5,0,0,5,5,0,0,0,20,,20,"Q3,Q4,Q7,Q8,Q9"
100236,牛岛若利,5,0,5,5,5,5,0,3,6,34,,34,"Q2,Q7"
100237,天童觉,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9"
100238,星海光来,5,0,0,5,0,0,0,0,0,10,,10,"Q2,Q3,Q5,Q6,Q7,Q8,Q9"
100239,佐久早圣臣,0,5,0,0,0,5,0,0,6,16,,16,"Q1,Q3,Q4,Q5,Q7,Q8"
100240,宫侑,5,0,0,5,0,0,5,0,6,21,,21,"Q2,Q3,Q5,Q6,Q8"
100241,幸平创真,5,5,5,0,0,5,0,0,6,26,,26,"Q4,Q5,Q7,Q8"
100242,薙切绘里奈,5,0,0,0,0,5,0,0,0,10,,10,"Q2,Q3,Q4,Q5,Q7,Q8,Q9"
100243,田所惠,5,0,5,5,5,5,5,0,4,34,,34,"Q2,Q8"
100244,塔克米阿尔迪尼,5,5,0,5,5,5,5,6,0,36,,36,"Q3,Q9"
100245,伊萨米阿尔迪尼,5,0,5,5,5,0,5,6,0,31,,31,"Q2,Q6,Q9"
100246,幸平城一郎,0,0,0,0,0,0,5,6,0,11,,11,"Q1,Q2,Q3,Q4,Q5,Q6,Q9"
100247,堂岛银,5,5,5,5,5,5,5,0,0,35,,35,"Q8,Q9"
100248,四宫小次郎,0,0,0,0,0,0,5,0,6,11,,11,"Q1,Q2,Q3,Q4,Q5,Q6,Q8"
100249,水户郁魅,0,5,0,5,0,5,5,0,0,20,,20,"Q1,Q3,Q5,Q8,Q9"
100250,吉野悠姬,0,0,5,5,5,5,5,0,0,25,,25,"Q1,Q2,Q8,Q9"
