考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,5,0,0,0,5,5,0,0,0,6,5,0,5,3,4,4,5,7,36,23,59,"Q3,Q4,Q5,Q8,Q9,Q10,Q13"
100202,流川枫,5,0,5,0,5,5,5,5,0,0,0,5,0,0,7,4,7,8,9,35,35,70,"Q2,Q4,Q9,Q10,Q11,Q13,Q14"
100203,赤木刚宪,5,5,5,5,5,5,5,5,6,6,6,5,5,5,10,14,12,12,13,73,61,134,
100204,三井寿,0,5,5,0,0,5,5,5,6,3,0,5,5,5,7,9,9,9,8,49,42,91,"Q1,Q4,Q5,Q11"
100205,宫城良田,5,5,0,0,5,0,5,0,6,0,6,5,5,5,7,8,6,9,8,47,38,85,"Q3,Q4,Q6,Q8,Q10"
100206,木暮公延,5,5,5,5,0,0,5,5,6,0,6,5,5,5,10,7,6,8,12,57,43,100,"Q5,Q6,Q10"
100207,彩子,5,0,0,0,0,0,0,5,6,2,0,0,0,0,1,3,3,3,3,18,13,31,"Q2,Q3,Q4,Q5,Q6,Q7,Q11,Q12,Q13,Q14"
100208,赤木晴子,0,0,5,0,0,0,0,5,0,6,0,5,5,0,5,6,4,6,4,26,25,51,"Q1,Q2,Q4,Q5,Q6,Q7,Q9,Q11,Q14"
100209,仙道彰,0,0,0,0,0,0,0,0,6,0,0,0,5,0,3,4,4,4,5,11,20,31,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q14"
100210,藤真健司,5,0,0,5,5,5,0,0,0,6,6,5,5,5,8,6,9,7,6,47,36,83,"Q2,Q3,Q7,Q8,Q9"
100211,牧绅一,5,5,5,0,0,5,0,5,0,6,0,5,5,5,6,4,5,6,5,46,26,72,"Q4,Q5,Q7,Q9,Q11"
100212,清田信长,5,5,5,5,5,5,5,5,0,0,3,5,5,0,10,8,9,13,12,53,52,105,"Q9,Q10,Q14"
100213,神宗一郎,5,5,5,5,5,5,0,5,6,3,0,0,5,5,8,11,10,11,13,54,53,107,"Q7,Q11,Q12"
100214,鱼住纯,5,0,0,5,5,0,0,5,0,0,0,0,0,5,4,4,5,5,6,25,24,49,"Q2,Q3,Q6,Q7,Q9,Q10,Q11,Q12,Q13"
100215,福田吉兆,0,5,0,0,0,5,0,0,6,2,2,0,5,0,6,5,4,8,8,25,31,56,"Q1,Q3,Q4,Q5,Q7,Q8,Q12,Q14"
100216,河田雅史,0,0,0,0,5,5,0,0,6,0,0,5,5,5,4,5,3,4,5,31,21,52,"Q1,Q2,Q3,Q4,Q7,Q8,Q10,Q11"
100217,泽北荣治,0,0,5,0,0,0,0,0,0,4,0,0,5,0,2,2,2,3,2,14,11,25,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q12,Q14"
100218,深津一成,5,0,5,5,5,5,0,0,0,0,4,5,5,0,6,4,7,6,7,39,30,69,"Q2,Q7,Q8,Q9,Q10,Q14"
100219,松本稔,5,0,5,5,5,0,5,0,0,0,6,5,0,0,6,7,5,9,9,36,36,72,"Q2,Q6,Q8,Q9,Q10,Q13,Q14"
100220,野边将广,5,5,5,5,0,5,0,5,0,0,3,0,5,5,4,7,6,5,6,43,28,71,"Q5,Q7,Q9,Q10,Q12"
100221,日向翔阳,5,0,0,0,0,0,5,5,0,0,0,0,5,5,2,3,3,4,4,25,16,41,"Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12"
100222,影山飞雄,5,0,0,0,0,0,0,5,0,0,0,5,0,5,3,4,4,5,3,20,19,39,"Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11,Q13"
100223,泽村大地,0,0,5,0,0,0,0,5,0,0,0,0,5,0,4,4,5,5,4,15,22,37,"Q1,Q2,Q4,Q5,Q6,Q7,Q9,Q10,Q11,Q12,Q14"
100224,菅原孝支,0,0,0,0,0,5,0,0,0,3,0,0,0,5,3,2,2,3,4,13,14,27,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q11,Q12,Q13"
100225,缘下力,5,0,5,0,5,0,5,0,0,3,0,0,5,0,6,8,5,7,11,28,37,65,"Q2,Q4,Q6,Q8,Q9,Q11,Q12,Q14"
100226,西谷夕,5,0,0,0,0,5,5,5,0,0,0,0,0,0,3,3,3,4,3,20,16,36,"Q2,Q3,Q4,Q5,Q9,Q10,Q11,Q12,Q13,Q14"
100227,东峰旭,5,0,5,5,5,0,0,5,0,0,0,5,0,0,3,5,4,4,5,30,21,51,"Q2,Q6,Q7,Q9,Q10,Q11,Q13,Q14"
