考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,5,5,5,5,0,3,2,6,0,36,,36,"Q6,Q10"
100002,日代千鹤,0,0,0,0,0,0,6,0,0,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100003,高坂京介,5,5,5,0,0,5,6,6,0,0,32,,32,"Q4,Q5,Q9,Q10"
100004,高坂桐乃,0,5,5,0,5,0,3,6,0,6,30,,30,"Q1,Q4,Q6,Q9"
100005,逢坂大河,5,0,0,5,5,5,6,4,0,4,34,,34,"Q2,Q3,Q9"
100006,牧之原翔子,0,5,5,5,5,5,6,0,0,4,35,,35,"Q1,Q8,Q9"
100007,折木奉太郎,5,5,5,5,5,5,6,0,6,6,48,,48,Q8
100008,千反田爱瑠,0,0,0,0,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9"
100009,福部里志,0,0,5,0,0,5,0,0,6,6,22,,22,"Q1,Q2,Q4,Q5,Q7,Q8"
100010,伊原摩耶花,0,5,0,5,0,5,0,6,0,0,21,,21,"Q1,Q3,Q5,Q7,Q9,Q10"
100011,凉宫春日,0,0,5,5,0,0,4,6,0,6,26,,26,"Q1,Q2,Q5,Q6,Q9"
100012,长门有希,0,0,0,5,5,5,6,6,3,0,30,,30,"Q1,Q2,Q3,Q10"
100013,朝比奈实玖瑠,0,0,0,0,0,0,6,0,0,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100014,古泉一树,0,0,5,0,0,0,0,0,0,6,11,,11,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9"
100015,佐佐木,5,5,0,5,0,5,6,0,6,6,38,,38,"Q3,Q5,Q8"
100016,小鸟游六花,5,5,0,0,0,5,0,2,0,0,17,,17,"Q3,Q4,Q5,Q7,Q9,Q10"
100017,富樫勇太,0,0,0,5,5,0,0,0,6,0,16,,16,"Q1,Q2,Q3,Q6,Q7,Q8,Q10"
100018,丹生谷森夏,0,0,5,5,5,5,4,3,4,0,31,,31,"Q1,Q2,Q10"
100019,凸守早苗,5,5,5,5,0,5,2,0,4,0,31,,31,"Q5,Q8,Q10"
100020,七宫智音,5,0,0,0,0,0,0,0,0,6,11,,11,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9"
100021,神田空太,5,5,5,5,0,5,6,0,6,4,41,,41,"Q5,Q8"
100022,椎名真白,0,0,0,5,5,5,2,0,6,0,23,,23,"Q1,Q2,Q3,Q8,Q10"
100023,青山七海,5,5,0,0,5,0,0,6,0,6,27,,27,"Q3,Q4,Q6,Q7,Q9"
100024,上井草美咲,0,0,5,0,5,0,0,0,0,0,10,,10,"Q1,Q2,Q4,Q6,Q7,Q8,Q9,Q10"
100025,三鹰仁,5,0,5,5,5,5,6,6,6,3,46,,46,Q2
100026,赤坂龙之介,5,0,5,5,0,5,0,0,0,0,20,,20,"Q2,Q5,Q7,Q8,Q9,Q10"
100027,绫小路清隆,5,5,5,5,5,5,6,6,0,0,42,,42,"Q9,Q10"
100028,堀北铃音,5,5,5,5,5,5,0,3,2,6,41,,41,Q7
100029,栉田桔梗,0,0,5,0,5,0,0,4,2,4,20,,20,"Q1,Q2,Q4,Q6,Q7"
100030,轻井泽惠,5,5,5,5,5,0,0,0,2,2,29,,29,"Q6,Q7,Q8"
100031,一之濑帆波,5,5,5,5,5,5,6,6,6,5,53,,53,
100032,坂柳有栖,5,5,5,0,5,5,0,6,6,2,39,,39,"Q4,Q7"
100033,龙园翔,5,5,5,0,5,5,3,0,6,3,37,,37,"Q4,Q8"
100034,比企谷八幡,5,5,5,5,5,5,6,6,0,6,48,,48,Q9
100035,雪之下雪乃,0,5,5,0,0,5,6,0,6,6,33,,33,"Q1,Q4,Q5,Q8"
100036,由比滨结衣,5,0,5,5,5,5,0,3,0,0,28,,28,"Q2,Q7,Q9,Q10"
100037,一色彩羽,0,5,5,5,5,0,6,0,0,6,32,,32,"Q1,Q6,Q8,Q9"
100038,户冢彩加,5,0,5,5,0,0,0,0,6,0,21,,21,"Q2,Q5,Q6,Q7,Q8,Q10"
100039,平泽唯,5,5,5,5,5,5,6,6,6,5,53,,53,
100040,秋山澪,5,5,5,5,5,5,6,0,0,3,39,,39,"Q8,Q9"
100041,田井中律,5,5,0,5,5,5,6,6,0,6,43,,43,"Q3,Q9"
100042,琴吹䌷,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
