考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,0,5,5,5,5,5,5,5,6,0,0,0,5,0,8,9,7,11,9,46,44,90,"Q1,Q10,Q11,Q12,Q14"
100002,日代千鹤,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,3,3,2,5,12,17,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100003,高坂京介,5,5,5,5,5,0,0,5,0,0,2,0,0,0,4,6,4,4,4,32,22,54,"Q6,Q7,Q9,Q10,Q12,Q13,Q14"
100004,高坂桐乃,0,5,0,5,5,0,0,5,0,0,6,0,5,0,5,3,5,6,5,31,24,55,"Q1,Q3,Q6,Q7,Q9,Q10,Q12,Q14"
100005,逢坂大河,5,5,5,5,5,5,5,5,0,6,0,5,0,5,6,6,8,7,11,56,38,94,"Q9,Q11,Q13"
100006,牧之原翔子,5,0,0,5,5,5,5,5,6,0,6,5,5,5,9,7,6,8,6,57,36,93,"Q2,Q3,Q10"
100007,折木奉太郎,5,0,5,5,5,5,0,5,0,0,6,5,5,5,7,11,11,11,9,51,49,100,"Q2,Q7,Q9,Q10"
100008,千反田爱瑠,5,5,0,5,0,0,5,5,0,6,0,5,0,0,3,2,3,4,4,36,16,52,"Q3,Q5,Q6,Q9,Q11,Q13,Q14"
100009,福部里志,0,5,5,5,0,5,0,0,0,6,6,5,5,5,3,4,4,5,7,47,23,70,"Q1,Q5,Q7,Q8,Q9"
100010,伊原摩耶花,0,0,5,0,0,0,0,0,0,6,6,0,5,0,2,2,3,3,2,22,12,34,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q12,Q14"
100011,凉宫春日,0,0,5,5,0,0,5,0,3,0,0,0,5,5,4,3,5,4,4,28,20,48,"Q1,Q2,Q5,Q6,Q8,Q10,Q11,Q12"
100012,长门有希,0,0,5,0,0,0,5,0,6,0,3,5,5,5,6,8,6,6,6,34,32,66,"Q1,Q2,Q4,Q5,Q6,Q8,Q10"
100013,朝比奈实玖瑠,5,0,0,0,0,0,0,5,0,0,4,0,5,0,3,2,2,3,3,19,13,32,"Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q12,Q14"
