考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,5,0,0,5,5,5,0,0,6,0,31,,31,"Q3,Q4,Q8,Q9,Q11"
100002,日代千鹤,0,0,0,5,0,5,5,0,0,6,0,21,,21,"Q1,Q2,Q3,Q5,Q8,Q9,Q11"
100003,高坂京介,5,5,0,5,0,0,0,0,0,0,6,21,,21,"Q3,Q5,Q6,Q7,Q8,Q9,Q10"
100004,高坂桐乃,5,0,0,0,0,5,0,5,0,0,0,15,,15,"Q2,Q3,Q4,Q5,Q7,Q9,Q10,Q11"
100005,逢坂大河,5,5,0,5,5,5,5,5,0,6,0,41,,41,"Q3,Q9,Q11"
100006,牧之原翔子,5,0,5,5,5,0,0,0,6,6,2,34,,34,"Q2,Q6,Q7,Q8"
100007,折木奉太郎,0,0,5,5,5,5,5,5,6,0,6,42,,42,"Q1,Q2,Q10"
100008,千反田爱瑠,0,0,0,0,0,0,0,5,6,0,0,11,,11,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q10,Q11"
100009,福部里志,0,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11"
100010,伊原摩耶花,0,0,0,0,5,0,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100011,凉宫春日,0,0,0,5,0,5,5,0,6,0,3,24,,24,"Q1,Q2,Q3,Q5,Q8,Q10"
100012,长门有希,0,5,5,5,0,5,5,0,0,6,0,31,,31,"Q1,Q5,Q8,Q9,Q11"
100013,朝比奈实玖瑠,0,5,0,5,0,0,0,0,0,0,0,10,,10,"Q1,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100014,古泉一树,0,0,0,0,0,0,5,0,0,6,0,11,,11,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q11"
100015,佐佐木,0,0,5,5,5,0,5,5,6,0,6,37,,37,"Q1,Q2,Q6,Q10"
100016,小鸟游六花,5,5,0,5,5,5,5,5,0,3,6,44,,44,"Q3,Q9"
100017,富樫勇太,5,5,0,5,0,0,0,0,0,0,6,21,,21,"Q3,Q5,Q6,Q7,Q8,Q9,Q10"
100018,丹生谷森夏,5,0,5,5,5,5,5,5,6,6,0,47,,47,"Q2,Q11"
100019,凸守早苗,5,0,5,5,5,5,5,5,6,0,0,41,,41,"Q2,Q10,Q11"
100020,七宫智音,5,5,5,0,0,0,0,0,0,0,0,15,,15,"Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100021,神田空太,5,5,5,5,5,0,5,5,6,0,6,47,,47,"Q6,Q10"
100022,椎名真白,0,5,0,5,5,5,5,5,2,3,0,35,,35,"Q1,Q3,Q11"
100023,青山七海,5,5,5,5,0,0,0,5,0,0,3,28,,28,"Q5,Q6,Q7,Q9,Q10"
100024,上井草美咲,5,0,0,5,0,0,5,0,0,6,0,21,,21,"Q2,Q3,Q5,Q6,Q8,Q9,Q11"
100025,三鹰仁,5,5,5,5,0,5,5,5,3,6,6,50,,50,Q5
100026,赤坂龙之介,5,5,5,5,5,5,5,0,4,6,6,51,,51,Q8
100027,绫小路清隆,5,5,5,5,0,5,5,5,6,0,6,47,,47,"Q5,Q10"
