考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,0,5,0,0,0,0,0,10,,10,"Q2,Q4,Q5,Q6,Q7,Q8"
100202,流川枫,5,5,0,5,6,6,6,3,36,,36,Q3
100203,赤木刚宪,5,5,5,5,6,4,3,0,33,,33,Q8
100204,三井寿,5,5,5,5,4,0,4,6,34,,34,Q6
100205,宫城良田,5,5,5,5,0,0,2,0,22,,22,"Q5,Q6,Q8"
100206,木暮公延,5,5,5,5,3,6,0,6,35,,35,Q7
100207,彩子,5,0,0,0,0,0,0,3,8,,8,"Q2,Q3,Q4,Q5,Q6,Q7"
100208,赤木晴子,0,0,0,0,0,2,0,6,8,,8,"Q1,Q2,Q3,Q4,Q5,Q7"
100209,仙道彰,5,0,0,5,0,0,6,0,16,,16,"Q2,Q3,Q5,Q6,Q8"
100210,藤真健司,5,5,0,5,4,0,0,0,19,,19,"Q3,Q6,Q7,Q8"
100211,牧绅一,5,0,0,5,0,2,0,6,18,,18,"Q2,Q3,Q5,Q7"
100212,清田信长,5,5,5,5,0,0,6,6,32,,32,"Q5,Q6"
100213,神宗一郎,5,5,5,5,0,6,6,0,32,,32,"Q5,Q8"
100214,鱼住纯,0,5,0,0,3,6,0,0,14,,14,"Q1,Q3,Q4,Q7,Q8"
100215,福田吉兆,0,0,0,0,6,0,6,4,16,,16,"Q1,Q2,Q3,Q4,Q6"
100216,河田雅史,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100217,泽北荣治,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8"
100218,深津一成,5,0,0,5,3,6,6,3,28,,28,"Q2,Q3"
100219,松本稔,5,5,5,5,0,6,6,6,38,,38,Q5
100220,野边将广,5,5,5,0,6,0,0,3,24,,24,"Q4,Q6,Q7"
100221,日向翔阳,0,5,0,5,0,6,0,0,16,,16,"Q1,Q3,Q5,Q7,Q8"
100222,影山飞雄,5,0,0,5,0,0,0,0,10,,10,"Q2,Q3,Q5,Q6,Q7,Q8"
100223,泽村大地,5,5,0,0,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6,Q7,Q8"
100224,菅原孝支,0,0,5,5,0,0,0,0,10,,10,"Q1,Q2,Q5,Q6,Q7,Q8"
100225,缘下力,0,5,5,0,6,0,0,6,22,,22,"Q1,Q4,Q6,Q7"
100226,西谷夕,5,0,5,5,6,0,0,0,21,,21,"Q2,Q6,Q7,Q8"
100227,东峰旭,0,0,0,0,0,0,3,0,3,,3,"Q1,Q2,Q3,Q4,Q5,Q6,Q8"
100228,月岛萤,5,5,0,5,2,6,6,3,32,,32,Q3
100229,山口忠,5,5,5,5,6,0,6,6,38,,38,Q6
100230,及川彻,5,0,5,5,0,0,0,3,18,,18,"Q2,Q5,Q6,Q7"
100231,岩泉一,5,0,5,5,3,4,6,6,34,,34,Q2
100232,黑尾铁朗,0,0,5,0,6,6,0,0,17,,17,"Q1,Q2,Q4,Q7,Q8"
100233,孤爪研磨,5,5,5,5,3,4,6,6,39,,39,
100234,木兔光太郎,5,5,5,0,3,6,6,4,34,,34,Q4
100235,赤苇京治,0,0,0,0,0,0,4,0,4,,4,"Q1,Q2,Q3,Q4,Q5,Q6,Q8"
100236,牛岛若利,0,5,5,5,3,2,4,0,24,,24,"Q1,Q8"
100237,天童觉,0,0,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7"
100238,星海光来,0,0,0,0,0,6,0,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q7,Q8"
100239,佐久早圣臣,5,5,0,5,0,0,0,0,15,,15,"Q3,Q5,Q6,Q7,Q8"
100240,宫侑,0,5,0,0,0,0,0,3,8,,8,"Q1,Q3,Q4,Q5,Q6,Q7"
100241,幸平创真,5,5,5,5,6,0,0,0,26,,26,"Q6,Q7,Q8"
100242,薙切绘里奈,0,5,0,0,0,6,0,6,17,,17,"Q1,Q3,Q4,Q5,Q7"
100243,田所惠,5,5,5,5,6,0,6,0,32,,32,"Q6,Q8"
100244,塔克米阿尔迪尼,0,0,5,0,6,0,0,6,17,,17,"Q1,Q2,Q4,Q6,Q7"
100245,伊萨米阿尔迪尼,5,5,0,5,6,6,6,0,33,,33,"Q3,Q8"
100246,幸平城一郎,0,0,0,0,0,6,0,6,12,,12,"Q1,Q2,Q3,Q4,Q5,Q7"
100247,堂岛银,5,5,5,0,0,0,6,4,25,,25,"Q4,Q5,Q6"
100248,四宫小次郎,0,5,5,5,2,0,6,0,23,,23,"Q1,Q6,Q8"
100249,水户郁魅,0,0,0,5,0,0,6,0,11,,11,"Q1,Q2,Q3,Q5,Q6,Q8"
100250,吉野悠姬,0,0,5,5,0,6,2,0,18,,18,"Q1,Q2,Q5,Q8"
