考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,5,5,5,5,5,0,6,6,42,,42,Q7
100002,日代千鹤,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9"
100003,高坂京介,0,0,5,0,0,0,6,0,0,11,,11,"Q1,Q2,Q4,Q5,Q6,Q8,Q9"
100004,高坂桐乃,5,0,0,0,0,0,6,0,6,17,,17,"Q2,Q3,Q4,Q5,Q6,Q8"
100005,逢坂大河,5,5,5,5,5,5,3,4,0,37,,37,Q9
100006,牧之原翔子,5,5,5,5,5,0,0,6,3,34,,34,"Q6,Q7"
100007,折木奉太郎,5,5,5,5,5,5,6,2,6,44,,44,
100008,千反田爱瑠,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9"
100009,福部里志,5,5,5,0,0,0,0,6,6,27,,27,"Q4,Q5,Q6,Q7"
100010,伊原摩耶花,5,0,0,5,0,5,0,0,0,15,,15,"Q2,Q3,Q5,Q7,Q8,Q9"
100011,凉宫春日,0,5,0,0,0,5,0,0,0,10,,10,"Q1,Q3,Q4,Q5,Q7,Q8,Q9"
100012,长门有希,0,5,5,0,5,5,0,6,6,32,,32,"Q1,Q4,Q7"
100013,朝比奈实玖瑠,0,5,0,0,5,0,0,0,0,10,,10,"Q1,Q3,Q4,Q6,Q7,Q8,Q9"
100014,古泉一树,0,0,0,5,0,0,6,6,6,23,,23,"Q1,Q2,Q3,Q5,Q6"
100015,佐佐木,0,5,5,5,5,5,0,0,0,25,,25,"Q1,Q7,Q8,Q9"
100016,小鸟游六花,0,0,0,5,0,0,2,6,0,13,,13,"Q1,Q2,Q3,Q5,Q6,Q9"
100017,富樫勇太,0,5,0,5,0,0,0,0,6,16,,16,"Q1,Q3,Q5,Q6,Q7,Q8"
100018,丹生谷森夏,5,0,5,0,0,5,0,0,6,21,,21,"Q2,Q4,Q5,Q7,Q8"
100019,凸守早苗,5,5,5,0,5,5,6,6,6,43,,43,Q4
100020,七宫智音,5,0,5,0,5,0,0,0,0,15,,15,"Q2,Q4,Q6,Q7,Q8,Q9"
100021,神田空太,5,5,5,5,5,5,6,0,6,42,,42,Q8
100022,椎名真白,5,5,5,0,5,0,0,3,6,29,,29,"Q4,Q6,Q7"
100023,青山七海,0,5,5,5,5,0,0,6,6,32,,32,"Q1,Q6,Q7"
100024,上井草美咲,0,0,0,0,5,0,3,6,0,14,,14,"Q1,Q2,Q3,Q4,Q6,Q9"
100025,三鹰仁,5,5,5,5,5,5,0,3,4,37,,37,Q7
100026,赤坂龙之介,0,0,0,0,0,0,6,0,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9"
100027,绫小路清隆,5,5,5,0,5,5,6,6,6,43,,43,Q4
100028,堀北铃音,5,5,0,5,5,5,4,6,0,35,,35,"Q3,Q9"
100029,栉田桔梗,0,5,0,5,5,5,0,0,0,20,,20,"Q1,Q3,Q7,Q8,Q9"
100030,轻井泽惠,5,5,5,5,0,5,0,0,0,25,,25,"Q5,Q7,Q8,Q9"
100031,一之濑帆波,5,5,5,5,5,5,2,6,3,41,,41,
100032,坂柳有栖,5,5,5,5,5,5,6,6,3,45,,45,
100033,龙园翔,5,5,0,5,0,0,2,3,6,26,,26,"Q3,Q5,Q6"
100034,比企谷八幡,5,5,5,0,5,5,6,0,6,37,,37,"Q4,Q8"
100035,雪之下雪乃,5,5,0,0,5,0,6,0,3,24,,24,"Q3,Q4,Q6,Q8"
100036,由比滨结衣,5,5,5,5,5,5,6,0,6,42,,42,Q8
100037,一色彩羽,5,0,5,0,5,5,6,2,4,32,,32,"Q2,Q4"
100038,户冢彩加,5,0,5,0,0,5,6,0,6,27,,27,"Q2,Q4,Q5,Q8"
100039,平泽唯,5,0,5,0,5,5,6,0,6,32,,32,"Q2,Q4,Q8"
100040,秋山澪,0,0,5,5,5,5,0,6,6,32,,32,"Q1,Q2,Q7"
100041,田井中律,5,5,5,0,5,0,6,6,6,38,,38,"Q4,Q6"
100042,琴吹䌷,0,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9"
100043,中野梓,0,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9"
100044,黄前久美子,5,0,0,0,5,0,0,3,0,13,,13,"Q2,Q3,Q4,Q6,Q7,Q9"
100045,高坂丽奈,5,0,0,0,0,0,3,6,3,17,,17,"Q2,Q3,Q4,Q5,Q6"
100046,川岛绿辉,0,0,0,5,0,5,0,0,0,10,,10,"Q1,Q2,Q3,Q5,Q7,Q8,Q9"
100047,加藤叶月,5,0,0,0,0,0,6,0,0,11,,11,"Q2,Q3,Q4,Q5,Q6,Q8,Q9"
100048,田中明日香,0,5,0,0,0,0,0,0,6,11,,11,"Q1,Q3,Q4,Q5,Q6,Q7,Q8"
100049,伞木希美,5,5,5,5,5,5,6,6,0,42,,42,Q9
100050,铠冢霙,5,0,0,5,0,0,0,0,0,10,,10,"Q2,Q3,Q5,Q6,Q7,Q8,Q9"
