考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,0,0,5,0,0,0,5,0,0,4,6,25,,25,"Q2,Q3,Q5,Q6,Q7,Q9,Q10"
100102,影山飞雄,5,0,0,5,0,0,0,5,5,0,3,3,26,,26,"Q2,Q3,Q5,Q6,Q7,Q10"
100103,黑子哲也,0,5,0,5,0,5,5,5,5,0,6,6,42,,42,"Q1,Q3,Q5,Q10"
100104,越前龙马,5,0,0,0,5,0,5,5,5,0,3,0,28,,28,"Q2,Q3,Q4,Q6,Q10,Q12"
100105,洁世一,0,0,5,5,5,0,0,0,0,5,0,0,20,,20,"Q1,Q2,Q6,Q7,Q8,Q9,Q11,Q12"
100106,星野裕,5,5,5,5,5,5,0,5,5,5,6,6,57,,57,Q7
100107,月本诚,5,0,0,5,5,0,5,0,0,0,0,0,20,,20,"Q2,Q3,Q6,Q8,Q9,Q10,Q11,Q12"
100108,风间龙一,0,5,5,0,0,0,0,0,0,5,6,0,21,,21,"Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q12"
100109,佐久间学,0,5,5,0,0,0,0,0,0,0,0,0,10,,10,"Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100110,矢口八虎,5,5,0,5,0,0,5,0,5,0,0,0,25,,25,"Q3,Q5,Q6,Q8,Q10,Q11,Q12"
100111,高桥世田介,5,5,0,5,5,5,5,5,5,5,6,3,54,,54,Q3
100112,桥田悠,0,0,5,5,5,0,0,0,5,0,2,6,28,,28,"Q1,Q2,Q6,Q7,Q8,Q10"
100113,桑名真希,0,0,0,5,0,0,5,5,0,5,0,0,20,,20,"Q1,Q2,Q3,Q5,Q6,Q9,Q11,Q12"
100114,进藤光,5,0,5,5,5,0,5,0,5,0,0,0,30,,30,"Q2,Q6,Q8,Q10,Q11,Q12"
100115,塔矢亮,0,5,0,5,5,5,0,0,0,0,0,0,20,,20,"Q1,Q3,Q7,Q8,Q9,Q10,Q11,Q12"
100116,藤原佐为,5,5,5,5,5,0,0,0,0,0,0,0,25,,25,"Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100117,和谷义高,0,5,5,0,0,0,0,0,0,0,0,6,16,,16,"Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100118,竹本祐太,0,5,5,5,5,0,0,5,5,5,6,0,41,,41,"Q1,Q6,Q7,Q12"
100119,森田忍,0,5,5,5,0,5,5,5,5,0,0,6,41,,41,"Q1,Q5,Q10,Q11"
100120,真山巧,5,5,5,5,5,0,5,0,5,5,6,6,52,,52,"Q6,Q8"
100121,山田亚弓,0,5,5,5,5,5,5,5,0,5,3,6,49,,49,"Q1,Q9"
100122,花本育,5,0,0,0,0,0,5,5,0,0,0,0,15,,15,"Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12"
100123,野田惠,0,0,5,5,5,0,5,0,5,0,6,0,31,,31,"Q1,Q2,Q6,Q8,Q10,Q12"
100124,千秋真一,5,5,5,5,5,5,5,5,5,5,3,6,59,,59,
100125,奥山真澄,5,0,0,0,0,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
100126,峰龙太郎,5,5,5,5,5,5,5,0,5,0,6,0,46,,46,"Q8,Q10,Q12"
100127,日野香穗子,5,0,5,5,5,5,5,5,5,5,4,6,55,,55,Q2
100128,月森莲,0,5,5,5,5,5,0,0,0,5,0,0,30,,30,"Q1,Q7,Q8,Q9,Q11,Q12"
100129,土浦梁太郎,5,5,5,5,5,5,0,5,5,5,6,3,54,,54,Q7
100130,志水桂一,5,5,5,5,5,5,5,5,5,5,6,3,59,,59,
100131,泷岛彗,5,5,5,5,5,5,0,5,0,5,0,6,46,,46,"Q7,Q9,Q11"
100132,华园光,0,0,0,5,5,0,0,0,0,5,6,6,27,,27,"Q1,Q2,Q3,Q6,Q7,Q8,Q9"
100133,杂贺八寻,5,0,5,5,0,5,5,0,5,0,6,0,36,,36,"Q2,Q5,Q8,Q10,Q12"
100134,狩野宙,0,0,0,0,5,5,5,0,5,0,6,6,32,,32,"Q1,Q2,Q3,Q4,Q8,Q10"
100135,鲇泽美咲,0,5,5,0,5,0,0,5,0,0,0,6,26,,26,"Q1,Q4,Q6,Q7,Q9,Q10,Q11"
100136,碓冰拓海,0,0,0,0,0,0,0,0,5,0,0,6,11,,11,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11"
100137,花园樱,5,0,0,0,0,0,0,0,0,5,0,6,16,,16,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11"
100138,加贺静子,0,0,5,5,0,5,0,0,0,0,4,0,19,,19,"Q1,Q2,Q5,Q7,Q8,Q9,Q10,Q12"
100139,藤冈春绯,5,5,5,5,5,5,5,5,0,5,6,6,57,,57,Q9
100140,须王环,0,5,0,0,5,5,5,0,5,5,0,0,30,,30,"Q1,Q3,Q4,Q8,Q11,Q12"
100141,凤镜夜,0,0,0,0,0,5,0,0,0,5,0,3,13,,13,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q11"
100142,常陆院光,0,0,0,5,5,0,5,0,0,5,0,0,20,,20,"Q1,Q2,Q3,Q6,Q8,Q9,Q11,Q12"
100143,常陆院馨,5,0,0,0,0,0,0,0,0,5,3,0,13,,13,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q12"
100144,冢本天满,5,0,0,5,0,0,5,0,0,0,0,0,15,,15,"Q2,Q3,Q5,Q6,Q8,Q9,Q10,Q11,Q12"
