考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,5,0,0,5,5,0,0,0,6,26,,26,"Q3,Q4,Q7,Q8,Q9"
100202,流川枫,0,5,5,0,0,0,0,0,6,0,16,,16,"Q1,Q4,Q5,Q6,Q7,Q8,Q10"
100203,赤木刚宪,5,5,5,5,5,5,5,5,6,5,51,,51,
100204,三井寿,5,0,0,5,5,5,0,0,6,6,32,,32,"Q2,Q3,Q7,Q8"
100205,宫城良田,0,0,0,5,5,5,0,5,0,0,20,,20,"Q1,Q2,Q3,Q7,Q9,Q10"
100206,木暮公延,5,5,5,5,5,5,0,5,6,6,47,,47,Q7
100207,彩子,0,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100208,赤木晴子,0,0,0,0,5,0,5,5,6,0,21,,21,"Q1,Q2,Q3,Q4,Q6,Q10"
100209,仙道彰,5,5,0,0,0,5,0,0,3,3,21,,21,"Q3,Q4,Q5,Q7,Q8"
100210,藤真健司,5,0,5,5,0,0,5,5,6,0,31,,31,"Q2,Q5,Q6,Q10"
100211,牧绅一,5,5,0,5,5,0,0,5,3,0,28,,28,"Q3,Q6,Q7,Q10"
100212,清田信长,5,5,5,5,5,0,5,5,3,0,38,,38,"Q6,Q10"
100213,神宗一郎,0,0,0,5,5,5,5,5,0,0,25,,25,"Q1,Q2,Q3,Q9,Q10"
100214,鱼住纯,0,0,0,0,0,5,5,0,6,0,16,,16,"Q1,Q2,Q3,Q4,Q5,Q8,Q10"
100215,福田吉兆,0,5,5,0,5,0,5,0,6,0,26,,26,"Q1,Q4,Q6,Q8,Q10"
100216,河田雅史,5,5,5,5,0,0,0,5,0,0,25,,25,"Q5,Q6,Q7,Q9,Q10"
100217,泽北荣治,0,5,0,0,0,5,5,0,0,0,15,,15,"Q1,Q3,Q4,Q5,Q8,Q9,Q10"
100218,深津一成,0,5,5,5,5,0,5,0,0,6,31,,31,"Q1,Q6,Q8,Q9"
100219,松本稔,5,5,0,0,0,5,0,5,6,0,26,,26,"Q3,Q4,Q5,Q7,Q10"
100220,野边将广,5,5,5,5,5,0,5,0,3,0,33,,33,"Q6,Q8,Q10"
100221,日向翔阳,0,0,0,0,0,0,5,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100222,影山飞雄,0,5,0,5,5,0,0,5,0,0,20,,20,"Q1,Q3,Q6,Q7,Q9,Q10"
100223,泽村大地,0,0,0,0,5,0,5,0,2,6,18,,18,"Q1,Q2,Q3,Q4,Q6,Q8"
100224,菅原孝支,5,0,5,5,0,0,0,0,0,6,21,,21,"Q2,Q5,Q6,Q7,Q8,Q9"
100225,缘下力,5,5,5,5,5,5,5,0,6,6,47,,47,Q8
100226,西谷夕,5,5,0,0,0,5,0,5,0,0,20,,20,"Q3,Q4,Q5,Q7,Q9,Q10"
100227,东峰旭,0,5,0,0,0,0,0,5,6,0,16,,16,"Q1,Q3,Q4,Q5,Q6,Q7,Q10"
100228,月岛萤,5,5,0,5,5,5,5,5,6,3,44,,44,Q3
