考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,0,5,5,0,5,0,0,0,6,0,21,,21,"Q1,Q4,Q6,Q7,Q8,Q10"
100002,日代千鹤,0,0,0,5,5,0,0,0,0,0,10,,10,"Q1,Q2,Q3,Q6,Q7,Q8,Q9,Q10"
100003,高坂京介,5,0,0,0,0,0,0,0,0,6,11,,11,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9"
100004,高坂桐乃,0,0,0,5,5,0,0,0,2,6,18,,18,"Q1,Q2,Q3,Q6,Q7,Q8"
100005,逢坂大河,0,5,5,5,5,5,6,0,0,6,37,,37,"Q1,Q8,Q9"
100006,牧之原翔子,5,0,5,0,5,0,6,6,6,6,39,,39,"Q2,Q4,Q6"
100007,折木奉太郎,5,5,5,5,5,5,6,6,3,6,51,,51,
100008,千反田爱瑠,0,0,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10"
100009,福部里志,5,5,5,5,0,0,0,0,3,0,23,,23,"Q5,Q6,Q7,Q8,Q10"
100010,伊原摩耶花,0,0,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10"
100011,凉宫春日,0,0,0,0,0,0,0,6,0,6,12,,12,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9"
100012,长门有希,5,0,0,5,0,0,6,0,0,0,16,,16,"Q2,Q3,Q5,Q6,Q8,Q9,Q10"
100013,朝比奈实玖瑠,0,0,0,0,0,5,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10"
100014,古泉一树,0,0,5,0,0,0,0,0,3,6,14,,14,"Q1,Q2,Q4,Q5,Q6,Q7,Q8"
100015,佐佐木,5,5,0,5,0,5,0,0,6,0,26,,26,"Q3,Q5,Q7,Q8,Q10"
100016,小鸟游六花,5,5,5,5,5,0,0,6,3,0,34,,34,"Q6,Q7,Q10"
