考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,0,5,5,5,5,5,5,4,6,0,45,,45,"Q2,Q11"
100102,影山飞雄,5,5,5,5,5,5,5,5,6,0,6,52,,52,Q10
100103,黑子哲也,5,0,5,5,0,0,5,5,2,0,0,27,,27,"Q2,Q5,Q6,Q10,Q11"
100104,越前龙马,0,5,5,5,0,5,5,0,6,0,0,31,,31,"Q1,Q5,Q8,Q10,Q11"
100105,洁世一,5,5,5,0,0,5,5,0,6,0,0,31,,31,"Q4,Q5,Q8,Q10,Q11"
100106,星野裕,5,0,5,5,5,5,5,5,0,0,4,39,,39,"Q2,Q9,Q10"
100107,月本诚,0,0,5,5,5,5,5,5,6,0,0,36,,36,"Q1,Q2,Q10,Q11"
100108,风间龙一,0,5,0,0,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100109,佐久间学,5,0,0,0,5,0,0,0,0,4,6,20,,20,"Q2,Q3,Q4,Q6,Q7,Q8,Q9"
100110,矢口八虎,5,5,5,5,0,5,5,0,3,0,3,36,,36,"Q5,Q8,Q10"
100111,高桥世田介,5,5,5,5,5,0,5,5,6,0,6,47,,47,"Q6,Q10"
100112,桥田悠,0,5,0,5,0,5,0,5,0,4,6,30,,30,"Q1,Q3,Q5,Q7,Q9"
100113,桑名真希,0,0,0,0,0,5,0,5,6,0,3,19,,19,"Q1,Q2,Q3,Q4,Q5,Q7,Q10"
100114,进藤光,0,0,5,5,0,0,5,0,0,2,0,17,,17,"Q1,Q2,Q5,Q6,Q8,Q9,Q11"
100115,塔矢亮,0,5,0,0,5,0,0,0,0,0,0,10,,10,"Q1,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100116,藤原佐为,0,5,0,5,5,5,5,5,0,0,0,30,,30,"Q1,Q3,Q9,Q10,Q11"
100117,和谷义高,0,0,0,5,0,5,0,5,4,6,0,25,,25,"Q1,Q2,Q3,Q5,Q7,Q11"
100118,竹本祐太,5,5,5,5,5,5,5,5,0,6,6,52,,52,Q9
100119,森田忍,0,5,5,0,5,5,5,5,0,0,6,36,,36,"Q1,Q4,Q9,Q10"
100120,真山巧,5,5,5,0,5,5,5,0,3,6,6,45,,45,"Q4,Q8"
100121,山田亚弓,5,0,5,5,5,0,5,5,6,0,6,42,,42,"Q2,Q6,Q10"
100122,花本育,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100123,野田惠,0,0,0,0,0,0,0,5,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100124,千秋真一,5,5,5,5,5,5,5,5,0,0,6,46,,46,"Q9,Q10"
100125,奥山真澄,0,0,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100126,峰龙太郎,5,5,0,0,0,5,0,5,6,0,6,32,,32,"Q3,Q4,Q5,Q7,Q10"
100127,日野香穗子,5,5,5,5,5,0,5,0,0,6,0,36,,36,"Q6,Q8,Q9,Q11"
100128,月森莲,0,0,0,0,5,5,0,5,0,0,0,15,,15,"Q1,Q2,Q3,Q4,Q7,Q9,Q10,Q11"
100129,土浦梁太郎,5,5,5,0,5,5,5,0,4,6,6,46,,46,"Q4,Q8"
100130,志水桂一,0,5,5,5,5,0,5,5,3,3,6,42,,42,"Q1,Q6"
100131,泷岛彗,5,0,5,5,5,5,5,5,6,6,6,53,,53,Q2
100132,华园光,0,5,0,5,0,5,0,0,0,0,0,15,,15,"Q1,Q3,Q5,Q7,Q8,Q9,Q10,Q11"
