考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,0,0,5,5,5,5,0,0,0,0,0,0,0,0,5,7,4,4,4,20,24,44,"Q1,Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100202,流川枫,5,0,5,5,5,0,5,5,0,6,6,5,0,0,6,7,5,9,10,47,37,84,"Q2,Q6,Q9,Q13,Q14"
100203,赤木刚宪,5,5,5,5,5,5,5,5,6,6,6,5,5,5,11,8,12,13,11,73,55,128,
100204,三井寿,5,0,5,5,0,5,0,5,0,4,0,0,0,0,5,10,6,11,9,29,41,70,"Q2,Q5,Q7,Q9,Q11,Q12,Q13,Q14"
100205,宫城良田,5,0,5,0,5,0,0,5,6,0,0,0,0,0,7,6,9,7,6,26,35,61,"Q2,Q4,Q6,Q7,Q10,Q11,Q12,Q13,Q14"
100206,木暮公延,0,0,5,5,5,5,5,5,0,6,0,5,5,5,8,8,10,13,8,51,47,98,"Q1,Q2,Q9,Q11"
100207,彩子,0,0,5,0,0,0,0,5,0,6,0,0,5,0,2,2,2,2,3,21,11,32,"Q1,Q2,Q4,Q5,Q6,Q7,Q9,Q11,Q12,Q14"
100208,赤木晴子,5,0,0,0,5,0,0,0,0,0,0,0,5,0,4,4,5,7,3,15,23,38,"Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14"
100209,仙道彰,0,0,0,0,0,0,5,0,0,0,6,0,0,0,4,3,4,5,4,11,20,31,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q12,Q13,Q14"
100210,藤真健司,5,5,5,5,5,5,5,0,0,0,3,5,5,0,8,6,6,8,11,48,39,87,"Q8,Q9,Q10,Q14"
100211,牧绅一,0,5,0,5,5,5,5,5,2,0,0,5,5,5,5,5,5,7,6,47,28,75,"Q1,Q3,Q10,Q11"
100212,清田信长,5,5,0,5,5,5,5,0,0,3,0,5,5,5,6,10,7,10,11,48,44,92,"Q3,Q8,Q9,Q11"
100213,神宗一郎,0,5,5,5,5,5,5,5,0,0,4,5,5,5,6,11,8,9,9,54,43,97,"Q1,Q9,Q10"
100214,鱼住纯,5,5,0,0,5,0,5,0,0,0,0,0,5,5,4,6,6,5,4,30,25,55,"Q3,Q4,Q6,Q8,Q9,Q10,Q11,Q12"
100215,福田吉兆,0,0,5,5,0,5,5,0,6,6,0,5,0,0,4,6,5,6,5,37,26,63,"Q1,Q2,Q5,Q8,Q11,Q13,Q14"
100216,河田雅史,5,0,0,5,5,0,0,5,6,6,0,0,0,5,3,5,3,4,5,37,20,57,"Q2,Q3,Q6,Q7,Q11,Q12,Q13"
100217,泽北荣治,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,10,15,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100218,深津一成,0,0,0,0,5,5,5,0,0,0,0,5,0,5,3,5,5,8,8,25,29,54,"Q1,Q2,Q3,Q4,Q8,Q9,Q10,Q11,Q13"
100219,松本稔,5,0,0,0,5,5,5,5,0,0,0,0,0,0,5,6,5,9,6,25,31,56,"Q2,Q3,Q4,Q9,Q10,Q11,Q12,Q13,Q14"
100220,野边将广,5,5,0,0,0,0,0,0,0,6,6,0,5,5,4,6,6,5,8,32,29,61,"Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q12"
100221,日向翔阳,5,0,5,0,0,0,0,5,0,6,0,0,0,5,3,2,2,3,3,26,13,39,"Q2,Q4,Q5,Q6,Q7,Q9,Q11,Q12,Q13"
100222,影山飞雄,5,0,0,5,0,0,0,0,4,6,0,0,5,0,2,5,4,3,3,25,17,42,"Q2,Q3,Q5,Q6,Q7,Q8,Q11,Q12,Q14"
100223,泽村大地,0,0,0,5,0,0,0,5,0,6,0,0,5,0,4,4,3,5,4,21,20,41,"Q1,Q2,Q3,Q5,Q6,Q7,Q9,Q11,Q12,Q14"
100224,菅原孝支,0,0,0,0,0,5,0,0,0,0,0,5,0,0,2,2,3,3,2,10,12,22,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q13,Q14"
100225,缘下力,0,0,5,0,5,0,0,0,6,3,0,0,0,0,8,10,6,6,9,19,39,58,"Q1,Q2,Q4,Q6,Q7,Q8,Q11,Q12,Q13,Q14"
100226,西谷夕,0,5,0,0,0,5,0,0,0,6,0,5,0,0,3,3,3,3,4,21,16,37,"Q1,Q3,Q4,Q5,Q7,Q8,Q9,Q11,Q13,Q14"
100227,东峰旭,0,5,0,0,0,0,0,5,0,0,6,0,5,0,2,4,4,3,3,21,16,37,"Q1,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q12,Q14"
100228,月岛萤,5,5,5,5,5,5,5,5,3,6,3,5,5,5,9,7,8,10,14,67,48,115,
