考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,5,5,0,0,0,6,3,0,3,27,,27,"Q4,Q5,Q6,Q9"
100002,日代千鹤,0,0,0,5,5,5,0,0,0,0,15,,15,"Q1,Q2,Q3,Q7,Q8,Q9,Q10"
100003,高坂京介,0,0,0,0,0,5,2,0,4,0,11,,11,"Q1,Q2,Q3,Q4,Q5,Q8,Q10"
100004,高坂桐乃,5,0,0,0,5,5,0,0,6,0,21,,21,"Q2,Q3,Q4,Q7,Q8,Q10"
100005,逢坂大河,0,5,5,5,5,5,6,6,3,0,40,,40,"Q1,Q10"
100006,牧之原翔子,5,5,5,5,5,5,2,0,6,6,44,,44,Q8
100007,折木奉太郎,5,5,0,5,5,5,0,0,0,6,31,,31,"Q3,Q7,Q8,Q9"
100008,千反田爱瑠,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10"
100009,福部里志,5,0,5,0,5,5,0,0,6,0,26,,26,"Q2,Q4,Q7,Q8,Q10"
100010,伊原摩耶花,0,5,5,0,0,5,3,6,0,0,24,,24,"Q1,Q4,Q5,Q9,Q10"
100011,凉宫春日,5,0,5,0,0,0,6,0,0,4,20,,20,"Q2,Q4,Q5,Q6,Q8,Q9"
100012,长门有希,5,5,0,0,5,5,3,0,6,6,35,,35,"Q3,Q4,Q8"
100013,朝比奈实玖瑠,5,0,0,5,0,0,0,0,6,6,22,,22,"Q2,Q3,Q5,Q6,Q7,Q8"
100014,古泉一树,0,5,0,5,0,0,6,0,0,6,22,,22,"Q1,Q3,Q5,Q6,Q8,Q9"
100015,佐佐木,5,5,5,0,5,5,0,0,6,6,37,,37,"Q4,Q7,Q8"
100016,小鸟游六花,5,0,5,0,5,0,0,6,6,0,27,,27,"Q2,Q4,Q6,Q7,Q10"
100017,富樫勇太,5,5,0,0,5,0,0,0,0,0,15,,15,"Q3,Q4,Q6,Q7,Q8,Q9,Q10"
100018,丹生谷森夏,5,0,0,0,5,0,2,6,0,6,24,,24,"Q2,Q3,Q4,Q6,Q9"
100019,凸守早苗,0,0,0,5,0,5,6,0,6,3,25,,25,"Q1,Q2,Q3,Q5,Q8"
100020,七宫智音,0,5,0,0,0,0,6,0,0,0,11,,11,"Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100021,神田空太,5,5,5,5,5,5,6,3,0,6,45,,45,Q9
100022,椎名真白,5,5,0,5,5,5,6,6,0,0,37,,37,"Q3,Q9,Q10"
100023,青山七海,5,5,0,5,0,0,6,0,6,0,27,,27,"Q3,Q5,Q6,Q8,Q10"
