考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,5,0,0,5,5,0,5,6,6,0,0,0,5,8,9,7,10,8,42,42,84,"Q3,Q4,Q7,Q11,Q12,Q13"
100102,影山飞雄,5,0,5,0,5,5,5,5,6,0,6,5,5,0,6,6,9,12,10,52,43,95,"Q2,Q4,Q10,Q14"
100103,黑子哲也,0,5,5,5,5,5,0,0,6,6,0,5,0,5,6,7,5,8,10,47,36,83,"Q1,Q7,Q8,Q11,Q13"
100104,越前龙马,5,0,0,5,5,0,5,5,0,6,0,0,5,5,5,5,7,8,5,41,30,71,"Q2,Q3,Q6,Q9,Q11,Q12"
100105,洁世一,0,0,5,0,0,0,5,0,0,6,2,5,0,5,4,4,5,5,7,28,25,53,"Q1,Q2,Q4,Q5,Q6,Q8,Q9,Q13"
100106,星野裕,5,5,0,5,5,0,5,5,6,0,6,5,0,5,9,10,9,14,11,52,53,105,"Q3,Q6,Q10,Q13"
100107,月本诚,0,0,5,5,5,0,5,0,0,6,0,5,0,0,4,5,5,5,4,31,23,54,"Q1,Q2,Q6,Q8,Q9,Q11,Q13,Q14"
100108,风间龙一,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,4,2,3,4,10,16,26,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q13,Q14"
100109,佐久间学,5,0,0,0,0,0,5,0,0,6,0,0,0,5,3,4,4,5,3,21,19,40,"Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q11,Q12,Q13"
100110,矢口八虎,5,0,5,0,0,5,5,0,6,0,0,5,5,5,6,9,6,10,10,41,41,82,"Q2,Q4,Q5,Q8,Q10,Q11"
100111,高桥世田介,5,5,5,0,5,5,5,0,0,0,3,5,5,5,8,7,9,8,12,48,44,92,"Q4,Q8,Q9,Q10"
100112,桥田悠,0,0,0,0,5,0,5,0,6,0,0,0,5,5,4,5,7,9,6,26,31,57,"Q1,Q2,Q3,Q4,Q6,Q8,Q10,Q11,Q12"
100113,桑名真希,0,5,0,0,0,0,5,5,0,0,0,0,0,5,3,2,3,3,4,20,15,35,"Q1,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12,Q13"
100114,进藤光,0,0,0,0,5,0,0,5,0,0,0,5,0,0,4,4,4,4,4,15,20,35,"Q1,Q2,Q3,Q4,Q6,Q7,Q9,Q10,Q11,Q13,Q14"
100115,塔矢亮,0,5,0,0,0,0,0,0,0,3,0,5,0,5,2,3,2,5,4,18,16,34,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q13"
100116,藤原佐为,0,5,0,5,5,5,0,5,6,0,0,5,0,5,4,5,3,5,6,41,23,64,"Q1,Q3,Q7,Q10,Q11,Q13"
100117,和谷义高,5,0,5,5,0,0,5,0,0,0,6,0,5,5,3,5,4,6,7,36,25,61,"Q2,Q5,Q6,Q8,Q9,Q10,Q12"
100118,竹本祐太,5,5,5,0,5,0,5,5,0,2,3,5,5,5,8,11,10,11,8,50,48,98,"Q4,Q6,Q9"
100119,森田忍,0,5,5,5,0,5,5,0,3,0,0,5,5,5,5,8,6,7,6,43,32,75,"Q1,Q5,Q8,Q10,Q11"
100120,真山巧,5,5,5,5,5,0,5,5,0,0,0,5,5,5,10,10,8,11,13,50,52,102,"Q6,Q9,Q10,Q11"
100121,山田亚弓,0,5,5,5,5,5,5,5,0,0,0,5,5,5,6,12,9,13,8,50,48,98,"Q1,Q9,Q10,Q11"
100122,花本育,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,4,3,3,3,11,16,27,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q13,Q14"
100123,野田惠,0,5,5,0,0,5,0,0,6,0,0,0,0,0,2,3,3,4,5,21,17,38,"Q1,Q4,Q5,Q7,Q8,Q10,Q11,Q12,Q13,Q14"
100124,千秋真一,5,0,5,5,5,5,5,5,0,6,6,5,5,5,10,12,10,12,8,62,52,114,"Q2,Q9"
100125,奥山真澄,0,0,0,5,0,0,0,0,0,0,0,5,0,0,2,3,3,3,2,10,13,23,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,Q14"
100126,峰龙太郎,0,0,0,0,5,5,0,5,6,0,6,0,5,5,6,5,7,9,7,37,34,71,"Q1,Q2,Q3,Q4,Q7,Q10,Q12"
100127,日野香穗子,5,5,0,0,0,5,5,5,6,0,2,0,5,5,7,7,10,10,12,43,46,89,"Q3,Q4,Q5,Q10,Q12"
100128,月森莲,0,0,5,0,5,5,0,0,0,2,0,0,0,0,3,4,4,5,5,17,21,38,"Q1,Q2,Q4,Q7,Q8,Q9,Q11,Q12,Q13,Q14"
100129,土浦梁太郎,5,0,0,5,5,5,5,0,6,6,0,5,5,5,9,7,9,8,8,52,41,93,"Q2,Q3,Q8,Q11"
100130,志水桂一,5,5,5,5,5,5,5,5,2,4,0,5,5,5,10,11,7,7,14,61,49,110,Q11
100131,泷岛彗,5,5,0,0,5,5,5,5,0,0,0,0,0,5,8,7,11,8,13,35,47,82,"Q3,Q4,Q9,Q10,Q11,Q12,Q13"
