考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,5,5,0,5,5,5,0,0,4,0,34,,34,"Q4,Q8,Q9,Q11"
100002,日代千鹤,0,5,0,0,0,0,0,0,0,2,0,7,,7,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11"
100003,高坂京介,0,0,0,5,5,0,0,5,6,0,6,27,,27,"Q1,Q2,Q3,Q6,Q7,Q10"
100004,高坂桐乃,5,5,5,0,0,5,0,0,0,3,0,23,,23,"Q4,Q5,Q7,Q8,Q9,Q11"
100005,逢坂大河,0,5,5,5,5,0,5,5,6,6,0,42,,42,"Q1,Q6,Q11"
100006,牧之原翔子,5,5,5,0,5,5,5,0,6,0,4,40,,40,"Q4,Q8,Q10"
100007,折木奉太郎,5,5,5,5,5,0,0,5,6,3,0,39,,39,"Q6,Q7,Q11"
100008,千反田爱瑠,0,5,0,5,0,5,0,0,6,0,0,21,,21,"Q1,Q3,Q5,Q7,Q8,Q10,Q11"
100009,福部里志,5,5,0,0,5,0,5,5,0,6,6,37,,37,"Q3,Q4,Q6,Q9"
100010,伊原摩耶花,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100011,凉宫春日,5,0,0,0,5,0,0,0,6,0,0,16,,16,"Q2,Q3,Q4,Q6,Q7,Q8,Q10,Q11"
100012,长门有希,0,5,5,0,5,5,5,5,6,6,4,46,,46,"Q1,Q4"
100013,朝比奈实玖瑠,0,0,5,0,0,0,5,0,6,0,0,16,,16,"Q1,Q2,Q4,Q5,Q6,Q8,Q10,Q11"
100014,古泉一树,5,0,0,5,0,5,0,5,0,0,0,20,,20,"Q2,Q3,Q5,Q7,Q9,Q10,Q11"
100015,佐佐木,5,5,5,5,0,5,5,0,0,6,0,36,,36,"Q5,Q8,Q9,Q11"
100016,小鸟游六花,0,5,0,0,5,5,0,5,0,6,6,32,,32,"Q1,Q3,Q4,Q7,Q9"
100017,富樫勇太,0,5,0,5,0,0,0,0,0,3,0,13,,13,"Q1,Q3,Q5,Q6,Q7,Q8,Q9,Q11"
100018,丹生谷森夏,5,0,0,5,0,5,0,5,0,0,6,26,,26,"Q2,Q3,Q5,Q7,Q9,Q10"
100019,凸守早苗,5,0,5,5,5,5,5,5,6,0,6,47,,47,"Q2,Q10"
100020,七宫智音,0,0,0,0,0,0,0,5,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100021,神田空太,5,0,5,5,5,0,5,5,0,0,6,36,,36,"Q2,Q6,Q9,Q10"
100022,椎名真白,5,0,5,0,0,5,0,5,0,6,2,28,,28,"Q2,Q4,Q5,Q7,Q9"
100023,青山七海,0,5,5,0,5,0,0,0,0,4,0,19,,19,"Q1,Q4,Q6,Q7,Q8,Q9,Q11"
100024,上井草美咲,0,0,5,0,0,5,5,5,0,0,0,20,,20,"Q1,Q2,Q4,Q5,Q9,Q10,Q11"
100025,三鹰仁,5,5,5,5,5,5,5,0,6,6,6,53,,53,Q8
100026,赤坂龙之介,0,0,5,0,0,0,0,0,0,0,4,9,,9,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100027,绫小路清隆,5,0,0,0,5,0,0,0,0,0,6,16,,16,"Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10"
100028,堀北铃音,0,0,5,5,0,0,0,0,0,0,0,10,,10,"Q1,Q2,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100029,栉田桔梗,5,5,5,5,0,5,5,5,6,6,6,53,,53,Q5
100030,轻井泽惠,5,0,5,5,5,0,5,5,4,0,0,34,,34,"Q2,Q6,Q10,Q11"
100031,一之濑帆波,0,0,5,5,5,5,5,5,0,3,2,35,,35,"Q1,Q2,Q9"
100032,坂柳有栖,5,5,5,5,5,0,5,5,3,6,6,50,,50,Q6
100033,龙园翔,5,5,5,0,0,0,5,0,6,6,6,38,,38,"Q4,Q5,Q6,Q8"
100034,比企谷八幡,5,5,5,5,5,5,5,5,6,0,6,52,,52,Q10
100035,雪之下雪乃,0,5,5,0,5,0,0,5,6,0,0,26,,26,"Q1,Q4,Q6,Q7,Q10,Q11"
100036,由比滨结衣,5,5,5,5,5,5,0,0,4,0,6,40,,40,"Q7,Q8,Q10"
100037,一色彩羽,5,5,0,5,5,0,5,0,6,6,0,37,,37,"Q3,Q6,Q8,Q11"
100038,户冢彩加,5,0,5,0,5,0,5,5,6,6,6,43,,43,"Q2,Q4,Q6"
100039,平泽唯,5,0,5,5,5,5,5,5,0,6,0,41,,41,"Q2,Q9,Q11"
100040,秋山澪,5,5,5,5,5,0,5,5,0,0,4,39,,39,"Q6,Q9,Q10"
100041,田井中律,5,5,0,5,5,5,5,5,6,6,6,53,,53,Q3
100042,琴吹䌷,0,0,5,0,0,0,5,5,0,0,6,21,,21,"Q1,Q2,Q4,Q5,Q6,Q9,Q10"
100043,中野梓,5,0,5,5,0,0,0,0,0,6,6,27,,27,"Q2,Q5,Q6,Q7,Q8,Q9"
100044,黄前久美子,0,0,0,0,0,5,0,5,0,0,0,10,,10,"Q1,Q2,Q3,Q4,Q5,Q7,Q9,Q10,Q11"
100045,高坂丽奈,5,5,0,0,0,5,0,5,0,0,0,20,,20,"Q3,Q4,Q5,Q7,Q9,Q10,Q11"
100046,川岛绿辉,0,0,0,0,0,5,0,0,0,4,0,9,,9,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q11"
100047,加藤叶月,5,0,5,0,0,0,0,0,0,0,3,13,,13,"Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100048,田中明日香,5,0,0,5,5,0,0,0,3,0,6,24,,24,"Q2,Q3,Q6,Q7,Q8,Q10"
100049,伞木希美,0,5,0,5,5,5,0,0,0,6,0,26,,26,"Q1,Q3,Q7,Q8,Q9,Q11"
100050,铠冢霙,0,0,5,0,0,0,0,5,0,0,0,10,,10,"Q1,Q2,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
