考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100001,海崎新太,5,5,5,5,0,5,5,5,6,0,6,47,,47,"Q5,Q10"
100002,日代千鹤,0,5,0,0,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100003,高坂京介,5,0,0,0,5,0,0,5,0,6,0,21,,21,"Q2,Q3,Q4,Q6,Q7,Q9,Q11"
100004,高坂桐乃,0,0,0,5,0,0,5,0,0,0,6,16,,16,"Q1,Q2,Q3,Q5,Q6,Q8,Q9,Q10"
100005,逢坂大河,5,0,5,5,5,5,0,0,0,6,0,31,,31,"Q2,Q7,Q8,Q9,Q11"
100006,牧之原翔子,5,0,0,5,5,5,5,0,0,0,6,31,,31,"Q2,Q3,Q8,Q9,Q10"
100007,折木奉太郎,5,0,5,5,0,5,0,5,6,2,2,35,,35,"Q2,Q5,Q7"
100008,千反田爱瑠,0,0,5,0,5,5,0,0,0,0,0,15,,15,"Q1,Q2,Q4,Q7,Q8,Q9,Q10,Q11"
100009,福部里志,0,5,5,0,0,5,5,5,3,0,0,28,,28,"Q1,Q4,Q5,Q10,Q11"
100010,伊原摩耶花,5,0,0,0,0,0,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100011,凉宫春日,0,5,0,0,5,0,5,5,6,0,0,26,,26,"Q1,Q3,Q4,Q6,Q10,Q11"
100012,长门有希,0,0,5,5,5,5,0,5,0,0,0,25,,25,"Q1,Q2,Q7,Q9,Q10,Q11"
100013,朝比奈实玖瑠,5,0,0,0,0,0,0,5,0,0,0,10,,10,"Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100014,古泉一树,0,0,5,0,0,0,0,0,3,0,0,8,,8,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q10,Q11"
