考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,5,0,5,0,0,0,0,3,0,4,0,22,,22,"Q3,Q5,Q6,Q7,Q8,Q10,Q12"
100202,流川枫,0,0,5,5,5,5,0,5,0,0,0,6,31,,31,"Q1,Q2,Q7,Q9,Q10,Q11"
100203,赤木刚宪,5,5,5,5,5,5,5,5,6,4,0,0,50,,50,"Q11,Q12"
100204,三井寿,0,5,5,0,5,5,5,0,0,0,6,2,33,,33,"Q1,Q4,Q8,Q9,Q10"
100205,宫城良田,0,0,5,5,0,0,5,5,6,2,0,6,34,,34,"Q1,Q2,Q5,Q6,Q11"
100206,木暮公延,5,5,0,5,5,5,5,5,6,6,0,6,53,,53,"Q3,Q11"
100207,彩子,5,0,0,0,5,0,0,0,0,0,6,0,16,,16,"Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q12"
100208,赤木晴子,0,0,0,0,5,0,0,0,0,0,0,6,11,,11,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100209,仙道彰,5,5,0,0,0,0,5,0,0,4,0,6,25,,25,"Q3,Q4,Q5,Q6,Q8,Q9,Q11"
100210,藤真健司,0,5,0,5,0,5,5,5,6,6,6,6,49,,49,"Q1,Q3,Q5"
100211,牧绅一,5,0,5,5,0,0,0,0,0,6,0,3,24,,24,"Q2,Q5,Q6,Q7,Q8,Q9,Q11"
100212,清田信长,0,5,0,5,5,5,5,5,6,0,6,0,42,,42,"Q1,Q3,Q10,Q12"
100213,神宗一郎,0,5,5,5,0,5,5,5,0,3,4,2,39,,39,"Q1,Q5,Q9"
100214,鱼住纯,0,5,5,5,0,5,0,5,0,6,6,6,43,,43,"Q1,Q5,Q7,Q9"
100215,福田吉兆,0,5,5,0,5,5,5,0,0,3,6,6,40,,40,"Q1,Q4,Q8,Q9"
100216,河田雅史,5,0,0,0,0,0,5,0,6,6,0,6,28,,28,"Q2,Q3,Q4,Q5,Q6,Q8,Q11"
100217,泽北荣治,0,0,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12"
