考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,5,0,0,0,5,5,5,0,0,2,22,,22,"Q2,Q3,Q4,Q8,Q9"
100202,流川枫,0,5,5,0,5,0,0,0,0,6,21,,21,"Q1,Q4,Q6,Q7,Q8,Q9"
100203,赤木刚宪,5,5,5,5,5,5,5,6,6,5,52,,52,
100204,三井寿,5,0,0,5,5,5,0,2,0,6,28,,28,"Q2,Q3,Q7,Q9"
100205,宫城良田,5,5,5,5,0,0,5,0,6,6,37,,37,"Q5,Q6,Q8"
100206,木暮公延,5,5,5,5,5,0,0,3,0,6,34,,34,"Q6,Q7,Q9"
100207,彩子,0,0,0,0,0,0,0,6,0,0,6,,6,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10"
100208,赤木晴子,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10"
100209,仙道彰,5,0,5,5,5,5,0,0,6,0,31,,31,"Q2,Q7,Q8,Q10"
100210,藤真健司,0,5,0,5,5,0,5,6,0,6,32,,32,"Q1,Q3,Q6,Q9"
100211,牧绅一,5,0,5,0,0,5,5,6,0,0,26,,26,"Q2,Q4,Q5,Q9,Q10"
100212,清田信长,5,0,5,5,5,5,0,3,2,6,36,,36,"Q2,Q7"
100213,神宗一郎,5,5,5,5,5,0,5,6,0,6,42,,42,"Q6,Q9"
100214,鱼住纯,5,5,5,5,0,5,0,0,2,0,27,,27,"Q5,Q7,Q8,Q10"
100215,福田吉兆,0,0,0,5,0,0,0,6,4,0,15,,15,"Q1,Q2,Q3,Q5,Q6,Q7,Q10"
100216,河田雅史,0,0,0,5,5,0,5,0,0,0,15,,15,"Q1,Q2,Q3,Q6,Q8,Q9,Q10"
100217,泽北荣治,0,0,5,0,5,0,0,0,4,0,14,,14,"Q1,Q2,Q4,Q6,Q7,Q8,Q10"
100218,深津一成,0,5,0,0,0,5,0,3,6,0,19,,19,"Q1,Q3,Q4,Q5,Q7,Q10"
100219,松本稔,5,0,0,5,5,5,5,0,0,0,25,,25,"Q2,Q3,Q8,Q9,Q10"
100220,野边将广,0,0,0,5,0,5,5,6,0,0,21,,21,"Q1,Q2,Q3,Q5,Q9,Q10"
100221,日向翔阳,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100222,影山飞雄,0,5,0,0,0,0,5,0,0,0,10,,10,"Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100223,泽村大地,5,0,0,0,5,0,5,0,0,0,15,,15,"Q2,Q3,Q4,Q6,Q8,Q9,Q10"
100224,菅原孝支,0,0,0,0,0,5,5,0,0,0,10,,10,"Q1,Q2,Q3,Q4,Q5,Q8,Q9,Q10"
100225,缘下力,5,5,0,0,5,5,0,6,6,0,32,,32,"Q3,Q4,Q7,Q10"
100226,西谷夕,0,0,5,0,5,0,0,6,0,0,16,,16,"Q1,Q2,Q4,Q6,Q7,Q9,Q10"
100227,东峰旭,5,0,0,5,0,5,0,0,6,0,21,,21,"Q2,Q3,Q5,Q7,Q8,Q10"
100228,月岛萤,5,5,5,5,5,5,5,6,6,0,47,,47,Q10
100229,山口忠,5,5,5,5,5,5,0,6,3,2,41,,41,Q7
100230,及川彻,0,0,0,5,0,5,5,0,0,0,15,,15,"Q1,Q2,Q3,Q5,Q8,Q9,Q10"
100231,岩泉一,0,5,5,0,0,5,5,6,0,0,26,,26,"Q1,Q4,Q5,Q9,Q10"
100232,黑尾铁朗,0,5,5,0,5,0,5,0,3,0,23,,23,"Q1,Q4,Q6,Q8,Q10"
100233,孤爪研磨,5,5,5,0,5,5,0,6,6,6,43,,43,"Q4,Q7"
100234,木兔光太郎,0,5,0,5,5,5,5,0,0,6,31,,31,"Q1,Q3,Q8,Q9"
100235,赤苇京治,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10"
100236,牛岛若利,5,5,5,5,5,5,0,6,4,6,46,,46,Q7
100237,天童觉,0,0,0,5,0,0,5,0,3,6,19,,19,"Q1,Q2,Q3,Q5,Q6,Q8"
100238,星海光来,0,5,0,0,5,0,0,6,0,0,16,,16,"Q1,Q3,Q4,Q6,Q7,Q9,Q10"
100239,佐久早圣臣,0,0,0,5,0,0,0,0,0,6,11,,11,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9"
100240,宫侑,5,5,0,5,5,0,0,0,6,6,32,,32,"Q3,Q6,Q7,Q8"
100241,幸平创真,5,0,5,0,0,0,5,0,6,6,27,,27,"Q2,Q4,Q5,Q6,Q8"
100242,薙切绘里奈,0,0,0,5,5,0,0,0,0,2,12,,12,"Q1,Q2,Q3,Q6,Q7,Q8,Q9"
100243,田所惠,5,0,5,0,5,5,5,0,6,6,37,,37,"Q2,Q4,Q8"
100244,塔克米阿尔迪尼,5,5,5,5,5,5,5,0,3,0,38,,38,"Q8,Q10"
100245,伊萨米阿尔迪尼,5,5,0,0,5,5,5,6,6,6,43,,43,"Q3,Q4"
100246,幸平城一郎,0,0,0,5,5,0,5,0,0,6,21,,21,"Q1,Q2,Q3,Q6,Q8,Q9"
100247,堂岛银,5,0,0,5,0,5,0,4,6,6,31,,31,"Q2,Q3,Q5,Q7"
100248,四宫小次郎,0,0,5,5,0,5,0,0,0,0,15,,15,"Q1,Q2,Q5,Q7,Q8,Q9,Q10"
100249,水户郁魅,0,0,0,0,0,5,5,3,2,6,21,,21,"Q1,Q2,Q3,Q4,Q5"
100250,吉野悠姬,0,0,5,0,0,5,0,6,6,6,28,,28,"Q1,Q2,Q4,Q5,Q7"
