考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100201,樱木花道,0,0,5,5,0,0,0,0,6,0,6,22,,22,"Q1,Q2,Q5,Q6,Q7,Q8,Q10"
100202,流川枫,5,0,5,5,0,0,5,0,6,0,4,30,,30,"Q2,Q5,Q6,Q8,Q10"
100203,赤木刚宪,5,5,5,5,5,5,5,6,6,6,5,58,,58,
100204,三井寿,5,0,5,5,5,5,0,3,0,0,6,34,,34,"Q2,Q7,Q9,Q10"
100205,宫城良田,0,0,0,5,5,0,0,0,0,0,6,16,,16,"Q1,Q2,Q3,Q6,Q7,Q8,Q9,Q10"
100206,木暮公延,5,5,5,5,0,5,5,3,0,2,6,41,,41,"Q5,Q9"
100207,彩子,0,5,0,0,5,0,0,0,0,0,6,16,,16,"Q1,Q3,Q4,Q6,Q7,Q8,Q9,Q10"
100208,赤木晴子,0,0,0,5,5,0,0,0,4,0,0,14,,14,"Q1,Q2,Q3,Q6,Q7,Q8,Q10,Q11"
100209,仙道彰,0,0,0,0,5,0,5,0,6,0,0,16,,16,"Q1,Q2,Q3,Q4,Q6,Q8,Q10,Q11"
100210,藤真健司,0,5,5,5,0,5,5,3,6,0,4,38,,38,"Q1,Q5,Q10"
100211,牧绅一,5,5,5,5,0,5,0,6,0,4,0,35,,35,"Q5,Q7,Q9,Q11"
100212,清田信长,5,5,0,5,0,5,5,6,6,6,6,49,,49,"Q3,Q5"
100213,神宗一郎,5,5,5,5,5,5,5,6,3,6,3,53,,53,
100214,鱼住纯,0,0,0,5,5,5,5,0,0,0,0,20,,20,"Q1,Q2,Q3,Q8,Q9,Q10,Q11"
100215,福田吉兆,5,5,5,0,0,0,0,0,0,0,0,15,,15,"Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100216,河田雅史,5,5,0,5,0,0,0,0,6,0,6,27,,27,"Q3,Q5,Q6,Q7,Q8,Q10"
100217,泽北荣治,0,0,0,0,0,5,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11"
100218,深津一成,0,5,5,5,5,5,0,6,0,0,6,37,,37,"Q1,Q7,Q9,Q10"
100219,松本稔,0,0,0,5,0,5,5,0,2,0,0,17,,17,"Q1,Q2,Q3,Q5,Q8,Q10,Q11"
100220,野边将广,5,5,0,0,0,0,0,6,0,2,0,18,,18,"Q3,Q4,Q5,Q6,Q7,Q9,Q11"
100221,日向翔阳,0,0,0,5,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100222,影山飞雄,0,0,5,0,0,5,5,0,0,6,6,27,,27,"Q1,Q2,Q4,Q5,Q8,Q9"
100223,泽村大地,0,5,5,0,5,5,0,0,0,0,0,20,,20,"Q1,Q4,Q7,Q8,Q9,Q10,Q11"
100224,菅原孝支,0,0,0,0,5,5,5,6,0,0,6,27,,27,"Q1,Q2,Q3,Q4,Q9,Q10"
100225,缘下力,0,5,0,5,5,0,5,0,6,6,0,32,,32,"Q1,Q3,Q6,Q8,Q11"
100226,西谷夕,0,0,0,5,0,5,0,6,0,0,0,16,,16,"Q1,Q2,Q3,Q5,Q7,Q9,Q10,Q11"
100227,东峰旭,5,0,0,0,0,5,5,0,0,6,0,21,,21,"Q2,Q3,Q4,Q5,Q8,Q9,Q11"
100228,月岛萤,5,0,5,5,5,0,5,6,6,6,6,49,,49,"Q2,Q6"
100229,山口忠,5,5,5,5,5,5,5,0,0,6,0,41,,41,"Q8,Q9,Q11"
100230,及川彻,0,5,0,0,5,5,0,6,0,0,0,21,,21,"Q1,Q3,Q4,Q7,Q9,Q10,Q11"
100231,岩泉一,5,5,5,5,5,5,5,0,0,6,6,47,,47,"Q8,Q9"
100232,黑尾铁朗,5,5,0,0,0,0,0,6,0,0,0,16,,16,"Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100233,孤爪研磨,5,5,5,5,5,5,5,0,3,6,6,50,,50,Q8
100234,木兔光太郎,0,5,5,5,5,5,5,6,3,6,0,45,,45,"Q1,Q11"
100235,赤苇京治,0,0,0,0,5,5,0,0,0,0,0,10,,10,"Q1,Q2,Q3,Q4,Q7,Q8,Q9,Q10,Q11"
100236,牛岛若利,5,5,5,5,5,0,5,4,0,0,2,36,,36,"Q6,Q9,Q10"
100237,天童觉,0,0,5,5,5,0,0,0,6,0,0,21,,21,"Q1,Q2,Q6,Q7,Q8,Q10,Q11"
100238,星海光来,0,0,5,0,0,5,0,6,0,0,0,16,,16,"Q1,Q2,Q4,Q5,Q7,Q9,Q10,Q11"
100239,佐久早圣臣,5,5,0,0,0,0,5,0,0,0,6,21,,21,"Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100240,宫侑,5,5,5,0,0,0,0,0,0,0,0,15,,15,"Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100241,幸平创真,5,5,5,5,5,5,0,6,0,0,0,36,,36,"Q7,Q9,Q10,Q11"
100242,薙切绘里奈,5,5,0,5,0,0,5,0,0,6,6,32,,32,"Q3,Q5,Q6,Q8,Q9"
100243,田所惠,5,0,5,5,5,5,5,6,6,6,3,51,,51,Q2
100244,塔克米阿尔迪尼,0,5,0,0,5,5,0,0,6,6,6,33,,33,"Q1,Q3,Q4,Q7,Q8"
100245,伊萨米阿尔迪尼,0,0,0,5,5,5,5,6,6,0,4,36,,36,"Q1,Q2,Q3,Q10"
100246,幸平城一郎,0,0,0,0,0,5,0,0,6,0,0,11,,11,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q10,Q11"
100247,堂岛银,5,5,0,5,5,5,5,0,6,6,0,42,,42,"Q3,Q8,Q11"
100248,四宫小次郎,5,5,0,5,0,0,0,6,3,0,0,24,,24,"Q3,Q5,Q6,Q7,Q10,Q11"
100249,水户郁魅,0,0,0,0,0,5,0,6,6,0,0,17,,17,"Q1,Q2,Q3,Q4,Q5,Q7,Q10,Q11"
100250,吉野悠姬,0,5,0,5,0,0,5,6,4,2,0,27,,27,"Q1,Q3,Q5,Q6,Q11"
