考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,0,5,0,6,6,0,17,,17,"Q1,Q3,Q6"
100102,影山飞雄,0,0,5,3,0,6,14,,14,"Q1,Q2,Q5"
100103,黑子哲也,0,0,5,6,0,0,11,,11,"Q1,Q2,Q5,Q6"
100104,越前龙马,0,0,5,6,3,0,14,,14,"Q1,Q2,Q6"
100105,洁世一,5,0,0,6,2,4,17,,17,"Q2,Q3"
100106,星野裕,5,0,0,0,3,6,14,,14,"Q2,Q3,Q4"
100107,月本诚,0,5,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6"
100108,风间龙一,0,0,0,3,0,3,6,,6,"Q1,Q2,Q3,Q5"
100109,佐久间学,0,0,5,0,0,6,11,,11,"Q1,Q2,Q4,Q5"
100110,矢口八虎,5,5,0,2,0,0,12,,12,"Q3,Q5,Q6"
100111,高桥世田介,5,5,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6"
100112,桥田悠,0,5,5,0,4,0,14,,14,"Q1,Q4,Q6"
100113,桑名真希,0,5,5,0,0,0,10,,10,"Q1,Q4,Q5,Q6"
100114,进藤光,5,0,5,0,0,0,10,,10,"Q2,Q4,Q5,Q6"
100115,塔矢亮,0,0,5,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6"
100116,藤原佐为,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100117,和谷义高,0,0,5,0,0,6,11,,11,"Q1,Q2,Q4,Q5"
100118,竹本祐太,5,5,5,6,0,0,21,,21,"Q5,Q6"
100119,森田忍,5,0,5,6,6,6,28,,28,Q2
100120,真山巧,5,5,0,6,0,0,16,,16,"Q3,Q5,Q6"
100121,山田亚弓,5,0,5,3,0,0,13,,13,"Q2,Q5,Q6"
100122,花本育,0,5,5,0,0,0,10,,10,"Q1,Q4,Q5,Q6"
100123,野田惠,0,5,5,0,0,0,10,,10,"Q1,Q4,Q5,Q6"
100124,千秋真一,5,5,5,0,6,0,21,,21,"Q4,Q6"
100125,奥山真澄,0,5,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6"
100126,峰龙太郎,0,5,0,0,0,6,11,,11,"Q1,Q3,Q4,Q5"
100127,日野香穗子,5,0,5,6,6,6,28,,28,Q2
100128,月森莲,5,5,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6"
100129,土浦梁太郎,5,5,0,6,0,6,22,,22,"Q3,Q5"
100130,志水桂一,5,5,5,6,2,6,29,,29,
100131,泷岛彗,5,5,5,0,6,0,21,,21,"Q4,Q6"
100132,华园光,5,5,0,0,6,0,16,,16,"Q3,Q4,Q6"
100133,杂贺八寻,0,0,0,4,3,0,7,,7,"Q1,Q2,Q3,Q6"
100134,狩野宙,5,0,5,0,4,0,14,,14,"Q2,Q4,Q6"
100135,鲇泽美咲,5,0,0,0,0,0,5,,5,"Q2,Q3,Q4,Q5,Q6"
100136,碓冰拓海,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100137,花园樱,0,0,5,0,6,6,17,,17,"Q1,Q2,Q4"
100138,加贺静子,5,5,0,0,0,0,10,,10,"Q3,Q4,Q5,Q6"
100139,藤冈春绯,5,5,5,6,6,0,27,,27,Q6
100140,须王环,0,5,0,0,0,6,11,,11,"Q1,Q3,Q4,Q5"
100141,凤镜夜,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6"
100142,常陆院光,5,0,0,6,6,0,17,,17,"Q2,Q3,Q6"
100143,常陆院馨,0,0,0,0,0,6,6,,6,"Q1,Q2,Q3,Q4,Q5"
100144,冢本天满,5,0,0,0,3,0,8,,8,"Q2,Q3,Q4,Q6"
100145,播磨拳儿,0,5,5,6,0,2,18,,18,"Q1,Q5"
100146,泽近爱理,0,0,0,0,6,0,6,,6,"Q1,Q2,Q3,Q4,Q6"
100147,周防美琴,5,0,0,0,6,0,11,,11,"Q2,Q3,Q4,Q6"
100148,宫前佳奈子,5,5,5,0,0,6,21,,21,"Q4,Q5"
100149,祇堂鞠也,5,5,5,6,6,0,27,,27,Q6
100150,汐王寺茉莉花,0,5,0,6,6,6,23,,23,"Q1,Q3"
