考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,5,5,5,0,5,5,5,6,6,3,5,5,5,7,6,9,9,8,65,39,104,Q5
100102,影山飞雄,5,0,0,5,5,5,0,5,0,4,0,0,0,5,9,9,11,8,6,34,43,77,"Q2,Q3,Q7,Q9,Q11,Q12,Q13"
100103,黑子哲也,5,5,0,0,5,5,0,5,0,0,0,5,5,5,5,5,6,7,7,40,30,70,"Q3,Q4,Q7,Q9,Q10,Q11"
100104,越前龙马,0,5,0,5,5,0,5,5,0,6,0,5,5,5,7,6,7,6,7,46,33,79,"Q1,Q3,Q6,Q9,Q11"
100105,洁世一,0,0,5,5,5,0,0,5,0,6,0,0,5,5,6,5,5,6,5,36,27,63,"Q1,Q2,Q6,Q7,Q9,Q11,Q12"
100106,星野裕,5,5,5,5,5,5,5,5,0,6,0,5,5,5,8,12,8,8,13,61,49,110,"Q9,Q11"
100107,月本诚,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,6,5,24,29,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100108,风间龙一,0,0,0,0,0,5,0,0,0,0,0,5,0,0,2,3,4,3,5,10,17,27,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11,Q13,Q14"
100109,佐久间学,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,3,3,3,5,16,21,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100110,矢口八虎,0,0,5,5,0,0,0,5,0,0,0,0,0,5,6,5,8,9,5,20,33,53,"Q1,Q2,Q5,Q6,Q7,Q9,Q10,Q11,Q12,Q13"
100111,高桥世田介,5,5,5,5,5,5,5,5,3,6,6,5,5,5,10,7,10,8,8,70,43,113,
100112,桥田悠,5,5,0,0,0,0,5,0,0,6,6,0,5,5,5,5,5,6,7,37,28,65,"Q3,Q4,Q5,Q6,Q8,Q9,Q12"
100113,桑名真希,5,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,2,2,4,11,12,23,"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q13,Q14"
100114,进藤光,5,0,0,5,0,0,0,0,0,0,3,0,5,5,5,4,4,4,6,23,23,46,"Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q12"
100115,塔矢亮,0,0,0,0,0,5,0,0,6,6,0,0,0,0,2,4,4,4,4,17,18,35,"Q1,Q2,Q3,Q4,Q5,Q7,Q8,Q11,Q12,Q13,Q14"
100116,藤原佐为,5,0,5,5,0,0,5,0,6,6,0,0,5,5,4,4,4,5,6,42,23,65,"Q2,Q5,Q6,Q8,Q11,Q12"
100117,和谷义高,0,0,5,5,5,5,0,0,0,0,0,5,0,5,6,4,3,7,5,30,25,55,"Q1,Q2,Q7,Q8,Q9,Q10,Q11,Q13"
100118,竹本祐太,0,5,5,5,5,5,5,5,4,6,0,0,5,5,7,13,7,12,9,55,48,103,"Q1,Q11,Q12"
100119,森田忍,5,0,0,0,5,5,5,0,0,0,0,5,5,5,7,7,7,7,8,35,36,71,"Q2,Q3,Q4,Q8,Q9,Q10,Q11"
100120,真山巧,5,5,5,5,5,0,5,5,3,0,6,5,5,5,10,12,10,12,11,59,55,114,"Q6,Q10"
100121,山田亚弓,5,5,5,5,5,5,0,5,6,6,0,0,0,0,9,11,11,9,8,47,48,95,"Q7,Q11,Q12,Q13,Q14"
100122,花本育,5,5,5,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,5,15,17,32,"Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14"
100123,野田惠,0,0,0,0,5,0,5,0,6,0,6,0,0,0,4,4,3,3,4,22,18,40,"Q1,Q2,Q3,Q4,Q6,Q8,Q10,Q12,Q13,Q14"
100124,千秋真一,5,0,5,5,5,5,5,5,6,6,6,5,5,5,11,13,11,14,8,68,57,125,Q2
100125,奥山真澄,0,0,5,0,0,0,0,0,0,6,0,0,0,0,2,3,3,2,2,11,12,23,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14"
100126,峰龙太郎,5,0,5,0,0,0,0,0,2,4,6,5,5,0,5,5,4,5,8,32,27,59,"Q2,Q4,Q5,Q6,Q7,Q8,Q14"
100127,日野香穗子,5,5,5,5,5,5,5,5,6,6,0,5,5,5,6,12,11,7,13,67,49,116,Q11
100128,月森莲,5,0,5,5,0,5,0,5,6,0,0,0,0,0,3,4,5,6,4,31,22,53,"Q2,Q5,Q7,Q10,Q11,Q12,Q13,Q14"
100129,土浦梁太郎,5,0,5,5,5,5,0,5,6,0,0,5,5,5,9,9,10,9,12,51,49,100,"Q2,Q7,Q10,Q11"
100130,志水桂一,5,5,5,5,0,0,5,5,6,4,0,5,0,5,8,7,10,14,8,50,47,97,"Q5,Q6,Q11,Q13"
100131,泷岛彗,5,5,5,0,5,5,5,5,0,6,6,5,5,5,6,7,9,14,12,62,48,110,"Q4,Q9"
100132,华园光,0,5,0,0,0,5,5,5,0,0,6,0,0,0,5,5,4,4,6,26,24,50,"Q1,Q3,Q4,Q5,Q9,Q10,Q12,Q13,Q14"
100133,杂贺八寻,5,0,0,0,5,5,0,0,6,0,6,0,5,5,4,4,5,3,6,37,22,59,"Q2,Q3,Q4,Q7,Q8,Q10,Q12"
100134,狩野宙,5,0,5,0,0,5,5,0,0,0,6,0,0,5,4,4,7,6,6,31,27,58,"Q2,Q4,Q5,Q8,Q9,Q10,Q12,Q13"
100135,鲇泽美咲,5,0,5,5,0,5,0,0,0,0,0,5,0,0,2,2,2,3,3,25,12,37,"Q2,Q5,Q7,Q8,Q9,Q10,Q11,Q13,Q14"
100136,碓冰拓海,0,0,0,5,0,0,0,5,0,0,0,5,0,0,2,3,2,3,4,15,14,29,"Q1,Q2,Q3,Q5,Q6,Q7,Q9,Q10,Q11,Q13,Q14"
100137,花园樱,0,0,0,5,0,0,5,5,0,6,0,5,0,0,3,5,4,6,5,26,23,49,"Q1,Q2,Q3,Q5,Q6,Q9,Q11,Q13,Q14"
100138,加贺静子,5,0,0,0,0,0,0,5,6,0,0,5,0,5,4,3,3,5,3,26,18,44,"Q2,Q3,Q4,Q5,Q6,Q7,Q10,Q11,Q13"
100139,藤冈春绯,0,5,5,5,5,5,0,5,6,6,0,5,5,0,6,9,7,10,12,52,44,96,"Q1,Q7,Q11,Q14"
100140,须王环,5,5,5,0,5,0,0,0,0,0,3,0,5,0,4,4,4,7,5,28,24,52,"Q4,Q6,Q7,Q8,Q9,Q10,Q12,Q14"
