考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,0,0,0,0,5,0,5,0,0,6,21,,21,"Q2,Q3,Q4,Q5,Q7,Q9,Q10"
100102,影山飞雄,5,5,5,5,5,5,0,0,0,6,0,36,,36,"Q7,Q8,Q9,Q11"
100103,黑子哲也,0,5,5,5,0,5,0,5,5,0,0,30,,30,"Q1,Q5,Q7,Q10,Q11"
100104,越前龙马,5,5,5,0,0,0,5,0,0,6,0,26,,26,"Q4,Q5,Q6,Q8,Q9,Q11"
100105,洁世一,0,0,5,5,0,5,0,5,0,0,6,26,,26,"Q1,Q2,Q5,Q7,Q9,Q10"
100106,星野裕,5,0,5,5,5,5,5,5,5,3,6,49,,49,Q2
100107,月本诚,5,0,0,0,5,5,0,5,0,0,0,20,,20,"Q2,Q3,Q4,Q7,Q9,Q10,Q11"
100108,风间龙一,5,0,5,0,0,5,0,0,0,0,0,15,,15,"Q2,Q4,Q5,Q7,Q8,Q9,Q10,Q11"
100109,佐久间学,0,5,0,0,5,5,0,0,0,0,2,17,,17,"Q1,Q3,Q4,Q7,Q8,Q9,Q10"
100110,矢口八虎,5,5,5,5,5,5,0,5,0,0,6,41,,41,"Q7,Q9,Q10"
100111,高桥世田介,5,5,0,5,5,5,5,0,5,0,6,41,,41,"Q3,Q8,Q10"
100112,桥田悠,5,0,5,0,5,5,5,5,0,0,6,36,,36,"Q2,Q4,Q9,Q10"
100113,桑名真希,5,0,0,0,5,0,0,0,0,6,6,22,,22,"Q2,Q3,Q4,Q6,Q7,Q8,Q9"
100114,进藤光,0,0,0,0,0,0,5,0,0,0,6,11,,11,"Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100115,塔矢亮,0,5,0,0,0,0,0,0,5,0,0,10,,10,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11"
100116,藤原佐为,5,5,0,0,0,5,0,5,5,6,0,31,,31,"Q3,Q4,Q5,Q7,Q11"
100117,和谷义高,0,0,0,0,5,0,0,0,5,0,6,16,,16,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q10"
100118,竹本祐太,5,5,5,5,5,0,5,5,5,6,0,46,,46,"Q6,Q11"
100119,森田忍,5,0,0,0,5,5,0,5,0,6,0,26,,26,"Q2,Q3,Q4,Q7,Q9,Q11"
100120,真山巧,5,5,5,5,5,5,5,0,5,6,2,48,,48,Q8
100121,山田亚弓,0,5,5,5,5,5,5,5,0,0,2,37,,37,"Q1,Q9,Q10"
100122,花本育,5,5,0,0,0,0,0,0,5,0,0,15,,15,"Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11"
100123,野田惠,5,5,5,0,0,0,0,5,0,0,0,20,,20,"Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100124,千秋真一,5,5,5,5,5,0,5,5,5,0,6,46,,46,"Q6,Q10"
100125,奥山真澄,0,5,0,0,0,0,0,0,0,0,0,5,,5,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100126,峰龙太郎,5,0,0,0,5,0,0,0,0,0,6,16,,16,"Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10"
100127,日野香穗子,5,5,5,5,0,5,5,5,5,6,6,52,,52,Q5
100128,月森莲,0,0,5,0,5,5,5,5,5,6,0,36,,36,"Q1,Q2,Q4,Q11"
100129,土浦梁太郎,5,0,5,5,5,5,5,0,5,6,4,45,,45,"Q2,Q8"
100130,志水桂一,5,5,5,5,5,5,5,5,0,3,4,47,,47,Q9
100131,泷岛彗,5,5,5,5,5,5,5,5,5,2,4,51,,51,
100132,华园光,0,0,0,0,5,5,5,5,0,0,6,26,,26,"Q1,Q2,Q3,Q4,Q9,Q10"
100133,杂贺八寻,5,0,0,0,0,5,0,0,0,3,3,16,,16,"Q2,Q3,Q4,Q5,Q7,Q8,Q9"
100134,狩野宙,0,5,5,0,5,5,5,5,5,0,6,41,,41,"Q1,Q4,Q10"
100135,鲇泽美咲,0,5,0,0,0,0,5,0,0,0,6,16,,16,"Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q10"
100136,碓冰拓海,0,5,5,0,0,0,0,0,0,0,0,10,,10,"Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100137,花园樱,5,0,0,0,0,0,5,5,0,6,0,21,,21,"Q2,Q3,Q4,Q5,Q6,Q9,Q11"
100138,加贺静子,0,0,5,0,5,0,0,0,5,0,0,15,,15,"Q1,Q2,Q4,Q6,Q7,Q8,Q10,Q11"
100139,藤冈春绯,0,5,0,0,5,0,0,5,5,0,0,20,,20,"Q1,Q3,Q4,Q6,Q7,Q10,Q11"
100140,须王环,5,0,5,5,0,0,5,5,5,0,0,30,,30,"Q2,Q5,Q6,Q10,Q11"
100141,凤镜夜,0,0,5,0,0,0,0,5,0,0,0,10,,10,"Q1,Q2,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100142,常陆院光,0,0,0,0,5,5,0,5,0,0,6,21,,21,"Q1,Q2,Q3,Q4,Q7,Q9,Q10"
100143,常陆院馨,0,0,5,0,0,0,5,0,0,0,0,10,,10,"Q1,Q2,Q4,Q5,Q6,Q8,Q9,Q10,Q11"
100144,冢本天满,0,0,0,0,5,5,0,5,0,0,0,15,,15,"Q1,Q2,Q3,Q4,Q7,Q9,Q10,Q11"
100145,播磨拳儿,0,5,5,5,0,5,5,5,0,6,0,36,,36,"Q1,Q5,Q9,Q11"
100146,泽近爱理,5,0,5,0,5,0,5,0,0,0,6,26,,26,"Q2,Q4,Q6,Q8,Q9,Q10"
100147,周防美琴,0,0,0,5,5,0,0,5,0,6,0,21,,21,"Q1,Q2,Q3,Q6,Q7,Q9,Q11"
100148,宫前佳奈子,0,0,0,0,5,5,5,0,0,3,0,18,,18,"Q1,Q2,Q3,Q4,Q8,Q9,Q11"
100149,祇堂鞠也,5,5,0,0,0,5,5,0,0,0,0,20,,20,"Q3,Q4,Q5,Q8,Q9,Q10,Q11"
100150,汐王寺茉莉花,0,0,0,5,5,5,5,0,5,0,6,31,,31,"Q1,Q2,Q3,Q8,Q10"
