考号,姓名,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,客观总分,主观总分,全卷总分,客观错题题号
100101,日向翔阳,5,5,0,5,0,0,0,0,0,0,0,15,,15,"Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100102,影山飞雄,5,5,5,5,5,5,0,0,0,4,2,36,,36,"Q7,Q8,Q9"
100103,黑子哲也,5,5,5,0,5,0,0,0,5,2,0,27,,27,"Q4,Q6,Q7,Q8,Q11"
100104,越前龙马,5,5,0,0,0,0,5,0,5,6,3,29,,29,"Q3,Q4,Q5,Q6,Q8"
100105,洁世一,0,0,5,0,5,0,0,5,0,2,6,23,,23,"Q1,Q2,Q4,Q6,Q7,Q9"
100106,星野裕,0,0,0,5,5,5,5,5,5,3,0,33,,33,"Q1,Q2,Q3,Q11"
100107,月本诚,0,0,5,0,0,0,5,0,5,0,6,21,,21,"Q1,Q2,Q4,Q5,Q6,Q8,Q10"
100108,风间龙一,0,0,0,0,5,0,5,0,0,0,0,10,,10,"Q1,Q2,Q3,Q4,Q6,Q8,Q9,Q10,Q11"
100109,佐久间学,5,0,5,5,0,0,0,0,5,0,6,26,,26,"Q2,Q5,Q6,Q7,Q8,Q10"
100110,矢口八虎,5,5,5,5,5,0,0,5,0,0,6,36,,36,"Q6,Q7,Q9,Q10"
100111,高桥世田介,5,0,5,5,5,5,0,5,0,6,6,42,,42,"Q2,Q7,Q9"
100112,桥田悠,0,0,5,5,5,0,0,5,0,0,0,20,,20,"Q1,Q2,Q6,Q7,Q9,Q10,Q11"
100113,桑名真希,0,0,0,0,0,0,5,5,0,0,0,10,,10,"Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11"
100114,进藤光,5,0,5,0,0,0,0,5,0,6,0,21,,21,"Q2,Q4,Q5,Q6,Q7,Q9,Q11"
100115,塔矢亮,5,0,0,0,0,0,0,5,0,0,0,10,,10,"Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100116,藤原佐为,5,0,0,0,0,5,0,0,0,0,3,13,,13,"Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q10"
100117,和谷义高,0,5,0,0,5,0,0,0,0,0,0,10,,10,"Q1,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100118,竹本祐太,0,5,5,5,5,5,5,5,5,6,6,52,,52,Q1
100119,森田忍,5,5,0,5,5,0,0,0,0,0,6,26,,26,"Q3,Q6,Q7,Q8,Q9,Q10"
100120,真山巧,5,0,5,5,5,5,5,5,5,0,6,46,,46,"Q2,Q10"
100121,山田亚弓,5,5,5,5,5,0,0,0,5,6,0,36,,36,"Q6,Q7,Q8,Q11"
100122,花本育,0,0,0,5,0,5,0,5,0,0,0,15,,15,"Q1,Q2,Q3,Q5,Q7,Q9,Q10,Q11"
100123,野田惠,0,0,5,0,0,0,0,0,0,0,0,5,,5,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100124,千秋真一,5,5,5,5,5,5,5,5,5,0,6,51,,51,Q10
100125,奥山真澄,0,0,0,0,0,0,0,0,0,0,0,0,,0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11"
100126,峰龙太郎,5,0,0,0,0,0,0,5,0,0,0,10,,10,"Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11"
100127,日野香穗子,0,5,0,5,5,5,0,5,5,2,6,38,,38,"Q1,Q3,Q7"
100128,月森莲,0,5,5,0,5,0,5,5,0,0,0,25,,25,"Q1,Q4,Q6,Q9,Q10,Q11"
100129,土浦梁太郎,5,5,5,5,0,5,5,5,5,0,6,46,,46,"Q5,Q10"
100130,志水桂一,5,0,5,5,5,0,0,5,5,2,3,35,,35,"Q2,Q6,Q7"
100131,泷岛彗,5,5,5,5,5,5,5,5,5,6,3,54,,54,
100132,华园光,0,5,0,5,0,5,5,5,0,0,0,25,,25,"Q1,Q3,Q5,Q9,Q10,Q11"
100133,杂贺八寻,5,0,0,5,0,0,0,5,5,0,0,20,,20,"Q2,Q3,Q5,Q6,Q7,Q10,Q11"
100134,狩野宙,0,0,5,0,0,0,5,5,0,6,0,21,,21,"Q1,Q2,Q4,Q5,Q6,Q9,Q11"
100135,鲇泽美咲,0,5,0,0,0,5,0,0,0,0,0,10,,10,"Q1,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q11"
100136,碓冰拓海,0,0,0,0,5,0,0,0,0,0,0,5,,5,"Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100137,花园樱,0,0,5,5,0,0,0,0,0,0,4,14,,14,"Q1,Q2,Q5,Q6,Q7,Q8,Q9,Q10"
100138,加贺静子,0,5,0,0,5,0,0,0,0,0,0,10,,10,"Q1,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11"
100139,藤冈春绯,5,5,0,0,5,5,5,5,5,0,6,41,,41,"Q3,Q4,Q10"
100140,须王环,0,0,0,5,0,0,5,5,5,0,0,20,,20,"Q1,Q2,Q3,Q5,Q6,Q10,Q11"
100141,凤镜夜,0,0,0,0,0,0,0,0,5,0,0,5,,5,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11"
100142,常陆院光,0,5,5,5,5,0,0,0,0,0,3,23,,23,"Q1,Q6,Q7,Q8,Q9,Q10"
100143,常陆院馨,0,5,0,0,0,0,0,0,5,0,0,10,,10,"Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11"
100144,冢本天满,5,0,0,0,5,0,5,0,0,4,0,19,,19,"Q2,Q3,Q4,Q6,Q8,Q9,Q11"
100145,播磨拳儿,5,5,5,0,5,5,0,5,0,0,0,30,,30,"Q4,Q7,Q9,Q10,Q11"
100146,泽近爱理,0,0,0,5,0,5,0,0,0,6,0,16,,16,"Q1,Q2,Q3,Q5,Q7,Q8,Q9,Q11"
100147,周防美琴,0,0,5,0,0,5,5,5,5,4,6,35,,35,"Q1,Q2,Q4,Q5"
100148,宫前佳奈子,5,0,5,5,5,0,0,0,0,0,0,20,,20,"Q2,Q6,Q7,Q8,Q9,Q10,Q11"
100149,祇堂鞠也,5,5,5,5,5,5,0,5,5,0,0,40,,40,"Q7,Q10,Q11"
100150,汐王寺茉莉花,0,5,5,5,0,5,5,5,5,2,6,43,,43,"Q1,Q5"
